"Date","Price (Close)","Real Volume","Addresses with balance greater than $1"
"2022-08-07","23102.371990492655","11351359488.554556","35530414"
"2022-08-06","22973.781987481354","9256140110.501135","35478659"
"2022-08-05","23262.616744508956","12492945456.374733","35525847"
"2022-08-04","22643.40040811161","6882603309.658835","35386579"
"2022-08-03","22845.872931852075","5149473299.934566","35392658"
"2022-08-02","22990.54109130939","4884897666.81865","35417251"
"2022-08-01","23240.537234266547","4371111308.829642","35450032"
"2022-07-31","23312.84191581874","3872026238.631379","35472679"
"2022-07-30","23644.72286447672","4903678667.647741","35471616"
"2022-07-29","23777.310144559997","6894317376.248458","35458952"
"2022-07-28","23850.08496436764","7183877551.916014","35401236"
"2022-07-27","23006.55570136903","6623645432.971219","35345242"
"2022-07-26","21257.260058904292","4788692533.831587","35086545"
"2022-07-25","21307.303432735098","5365497203.8334","35170453"
"2022-07-24","22583.43794038221","3083751155.3238397","35316887"
"2022-07-23","22450.664717792133","3405386677.364539","35283608"
"2022-07-22","22684.635947777315","5348980962.203237","35280343"
"2022-07-21","23151.70477975491","5661452268.4152565","35272166"
"2022-07-20","23224.02277427661","8095512198.298633","35279836"
"2022-07-19","23397.46313814528","8812350107.389616","35282022"
"2022-07-18","22436.613216346843","7044059014.522719","35203361"
"2022-07-17","20792.1781729013","2913314813.1983438","35002781"
"2022-07-16","21191.602982161963","3141295784.1715083","35053108"
"2022-07-15","20819.915200437626","4070227705.753747","34970873"
"2022-07-14","20574.45676534194","4932040831.713066","34964443"
"2022-07-13","20223.657382910988","6520685380.891951","34924245"
"2022-07-12","19311.50076463776","4244439025.382065","34640136"
"2022-07-11","19945.55395088512","3944236381.7653766","34750237"
"2022-07-10","20849.061867647422","4523403749.935018","34912310"
