"Date","Price (Close)","Real Volume","Addresses with balance greater than $1"
"2022-07-12","0.875928485769963","12178433.123635754","58305"
"2022-07-13","1.0484022298338431","34764787.13099197","59449"
"2022-07-14","1.1673865525840927","37746048.68329806","59696"
"2022-07-15","1.100366767712194","21352860.883210015","59638"
"2022-07-16","1.174256895059397","15245797.483020056","59821"
"2022-07-17","1.0784391282672199","14588680.987161107","59736"
"2022-07-18","1.3409178110061093","39822150.62322247","60122"
"2022-07-19","1.2478646246352987","33866909.22363514","60045"
"2022-07-20","1.1580395012476385","26849308.593689468","60024"
"2022-07-21","1.4039231819644158","51115779.1350531","60429"
"2022-07-22","1.433665866191728","60425528.77100568","60566"
"2022-07-23","1.3968175226358177","30012026.040477604","60560"
"2022-07-24","1.3760261246241738","16580009.241053002","60604"
"2022-07-25","1.1767138540025224","34085280.421139516","60333"
"2022-07-26","1.168960608476231","24453235.548761424","60322"
"2022-07-27","1.3291740802111056","37127159.588661894","60591"
"2022-07-28","1.5435157589808535","60862408.99978771","60882"
"2022-07-29","1.4241810915916107","47618331.55732333",""
"2022-07-30","1.3582288491063306","38518662.28852602",""
"2022-07-31","1.3193839540250347","24625250.96296976","60768"
"2022-08-01","1.3041868097870486","20899560.701863553","60782"
"2022-08-02","1.3346953134178836","34373431.82850172","60890"
"2022-08-03","1.334313736251991","30915664.677272074","60906"
"2022-08-04","1.329601131205705","20248264.242764995","60960"
"2022-08-05","1.4422328973587033","36579148.42089763","61122"
"2022-08-06","1.3752292279919702","12753215.406905642","61105"
"2022-08-07","1.4021494312339695","9851854.775656972","61130"
"2022-08-08","1.4297236240797995","21747078.679455973","61208"
"2022-08-09","1.2927625030731988","31997304.856745627","61088"
"2022-08-10","1.385224706589915","34127878.20709918",""
