"Date","Price (Close)","Real Volume","Addresses with balance greater than $1"
"2022-07-12","1037.4488423451771","2350351192.889612","47634027"
"2022-07-13","1114.4963293623543","3808192268.3080425","48510193"
"2022-07-14","1192.5367046205843","2986532461.8505645","49594191"
"2022-07-15","1225.7942842095445","3443163587.371512","50104090"
"2022-07-16","1355.7989570109967","3450315734.018523","51372023"
"2022-07-17","1338.1175161659894","2760583128.452624","51178887"
"2022-07-18","1581.3046927329674","5725583940.66907","53920504"
"2022-07-19","1542.504185922333","5777305234.020293","53693288"
"2022-07-20","1521.797542455313","4753020380.117002","53471805"
"2022-07-21","1575.3921005331058","3793810943.4896708","53934639"
"2022-07-22","1535.4606727443572","3805296896.22231","53498235"
"2022-07-23","1548.834379778181","2485131140.9820604","53567235"
"2022-07-24","1597.785685303234","2913408319.0111938","53998903"
"2022-07-25","1440.2983322377765","3732310385.1034813","52652280"
"2022-07-26","1449.3129250035133","3354133496.855707","52318012"
"2022-07-27","1639.0560784474274","4771633443.585463","54171366"
"2022-07-28","1724.8704219147426","5473355424.263328","55122092"
"2022-07-29","1721.6880192093065","4683099187.940995","55209900"
"2022-07-30","1697.156084121999","2836923105.1105275","54507251"
"2022-07-31","1679.2863151671556","2465197426.234575","54310212"
"2022-08-01","1628.8786430009757","2852650962.2550726","53746080"
"2022-08-02","1631.1153913108321","3831607392.8583713","53740834"
"2022-08-03","1619.7943752729361","3094510545.521393","53497475"
"2022-08-04","1608.9581083758226","3562177669.0548754","53041177"
"2022-08-05","1730.466633310804","6601252302.5072","54155167"
"2022-08-06","1692.9228123803928","4909537570.023415","53629878"
"2022-08-07","1699.1666896020172","7257595183.667811","53559550"
"2022-08-08","1778.6827279469865","7491988586.216508","54326215"
"2022-08-09","1702.925822573492","6595429325.95198","53684693"
"2022-08-10","1837.0104429815437","7608012719.643265",""
