"Date","Price (Close)","Real Volume","Addresses with balance greater than $1"
"2022-07-12","2.3224163935734614","22109046.278759982","113871"
"2022-07-13","2.5155516710622585","18409528.899472084","113994"
"2022-07-14","2.7090962300214168","26188627.20739267","114216"
"2022-07-15","2.5364053848400507","14489496.473513277","114094"
"2022-07-16","2.804412084761448","17883659.712932345","114362"
"2022-07-17","2.654526083106003","10763696.824738374","114321"
"2022-07-18","2.947725836185853","28392506.699230105","114562"
"2022-07-19","2.9753619494249604","19376049.35440375","114621"
"2022-07-20","2.86083562994","27907913.06792593","114606"
"2022-07-21","3.2838234098198016","26357686.253877107","114874"
"2022-07-22","3.0154144612989837","24837212.115510438","114742"
"2022-07-23","3.2339217637978166","14228586.828385739","114881"
"2022-07-24","3.4252342625620487","25177106.194084276","115007"
"2022-07-25","2.97201681835223","22438680.523717146","114686"
"2022-07-26","2.96920863164973","16782659.31827257","114651"
"2022-07-27","3.7566876718527435","26968262.595947333","115175"
"2022-07-28","4.131557953504108","70484727.36516151","115497"
"2022-07-29","4.040497647741674","35972997.80212046","115480"
"2022-07-30","3.643139475935957","28845454.349264994","115199"
"2022-07-31","3.5650506742010206","23403981.62059762","115161"
"2022-08-01","3.6007781844531914","27955397.467711624","115210"
"2022-08-02","3.803456539247188","50135499.53395192","115343"
"2022-08-03","3.7152820925885965","40267960.1211865","115250"
"2022-08-04","3.780274731243074","30703657.48013308","115318"
"2022-08-05","4.05830589658159","32420043.0376057","115522"
"2022-08-06","4.276899623048161","31050604.44027303","115730"
"2022-08-07","4.07704096884396","15549043.463282246","115511"
"2022-08-08","4.103823452826839","15196924.74098745","115553"
"2022-08-09","3.810565511718936","16715757.068954231","115381"
"2022-08-10","4.091472234375818","19658743.06163366",""
