"Date","Price (Close)","Real Volume","Addresses with balance greater than $1"
"2022-07-12","1.117906222254117","15441757.283356471","68429"
"2022-07-13","1.2372916025803613","19806703.86668906","68932"
"2022-07-14","1.3889145194542085","24505948.946886763","69598"
"2022-07-15","1.3993991676488833","24609359.612824433","69681"
"2022-07-16","1.4541547601191613","20225692.22301023","69953"
"2022-07-17","1.400700198560095","14517756.757941762","69757"
"2022-07-18","1.504759010417217","26351071.12082345","70097"
"2022-07-19","1.419370803805309","34696159.31938635","69808"
"2022-07-20","1.3236127689499693","26230815.062987458","69484"
"2022-07-21","1.4142782448172384","22588311.655194096","69930"
"2022-07-22","1.325697066240754","18471309.083699394","69605"
"2022-07-23","1.3458387688353377","13072385.571425414","69677"
"2022-07-24","1.3632010484055817","11812733.850401264","69625"
"2022-07-25","1.3601630625056378","22359175.08926366","69762"
"2022-07-26","1.2750836358573496","20651179.617764607","69298"
"2022-07-27","1.3853927900846719","19304203.947659068","69826"
"2022-07-28","1.5715243409425492","51631252.3516184","70601"
"2022-07-29","1.492032819877153","31402480.72313725","70417"
"2022-07-30","1.4920027210824","31998400.14162662","70337"
"2022-07-31","1.4469861131326365","24627748.249421768","70198"
"2022-08-01","1.4228890683891189","14981383.982535262","70085"
"2022-08-02","1.36187616424898","15529020.760675516","69790"
"2022-08-03","1.432960888171767","21102827.2250021","70026"
"2022-08-04","1.4672485757464302","21880956.74139546","70223"
"2022-08-05","1.5165772578771008","16330110.52914882","70433"
"2022-08-06","1.5144502581701629","9876863.875746476","70462"
"2022-08-07","1.505216653859811","7737342.259364765","70450"
"2022-08-08","1.5675248634333436","12157367.686033579","70664"
"2022-08-09","1.4265351611773422","15143755.270238282","70239"
"2022-08-10","1.5767864310221116","21807029.093930487",""
