"Date","Real Volume"
"2020-01-01","10304273.51186727"
"2020-01-02","10891211.288161445"
"2020-01-03","17319716.195927147"
"2020-01-04","9051842.506875671"
"2020-01-05","12110853.957053004"
"2020-01-06","18830296.05866977"
"2020-01-07","11255302.45607969"
"2020-01-08","13238017.744741859"
"2020-01-09","17395841.341379445"
"2020-01-10","26442144.931360308"
"2020-01-11","12012024.875974327"
"2020-01-12","7644321.867671256"
"2020-01-13","9293073.141366467"
"2020-01-14","26270439.140513502"
"2020-01-15","31090614.293457776"
"2020-01-16","64099249.60992137"
"2020-01-17","44773997.90801759"
"2020-01-18","20084276.76915606"
"2020-01-19","14119576.37602412"
"2020-01-20","10556685.410562083"
"2020-01-21","12110805.290570375"
"2020-01-22","8203365.038044444"
"2020-01-23","13654980.388751397"
"2020-01-24","8296352.820944749"
"2020-01-25","6372604.759710322"
"2020-01-26","8200178.55005139"
"2020-01-27","15175997.01957841"
"2020-01-28","9127616.98827672"
"2020-01-29","17364895.86878502"
"2020-01-30","15672686.513114236"
"2020-01-31","16643886.580634367"
"2020-02-01","11758592.95333925"
"2020-02-02","11943531.864639683"
"2020-02-03","12800024.8047754"
"2020-02-04","27843997.079770204"
"2020-02-05","23022319.24158885"
"2020-02-06","31856890.73526342"
"2020-02-07","34664367.85719929"
"2020-02-08","25352705.71894186"
"2020-02-09","19114720.687734958"
"2020-02-10","21966704.02106662"
"2020-02-11","37385421.96030571"
"2020-02-12","35508137.6118351"
"2020-02-13","30848438.272993833"
"2020-02-14","17443713.54832567"
"2020-02-15","28299189.13444585"
"2020-02-16","29811185.711879205"
"2020-02-17","32116289.8999538"
"2020-02-18","28160909.151599977"
"2020-02-19","25193703.2883174"
"2020-02-20","27422315.319324784"
"2020-02-21","53138611.68721968"
"2020-02-22","54459797.348768435"
"2020-02-23","33342984.211811107"
"2020-02-24","40503253.91238219"
"2020-02-25","30720070.096177626"
"2020-02-26","32402961.55955538"
"2020-02-27","29704170.781451873"
"2020-02-28","27246098.122210566"
"2020-02-29","14477233.623467717"
"2020-03-01","18030423.69378089"
"2020-03-02","22089566.282178685"
"2020-03-03","18539162.917885933"
"2020-03-04","26122852.654460736"
"2020-03-05","21318293.000870172"
"2020-03-06","16482274.981392272"
"2020-03-07","12282504.008144198"
"2020-03-08","18511372.447246607"
"2020-03-09","23153464.70177871"
"2020-03-10","20820436.993427217"
"2020-03-11","19412780.42057517"
"2020-03-12","44226164.65099865"
"2020-03-13","30775868.91095003"
"2020-03-14","17896818.807145607"
"2020-03-15","16075844.56046024"
"2020-03-16","16342951.853223544"
"2020-03-17","12383476.302023232"
"2020-03-18","12731063.113131564"
"2020-03-19","18606525.608680718"
"2020-03-20","29538988.526125822"
"2020-03-21","15508704.171508843"
"2020-03-22","11015566.34203412"
"2020-03-23","14928089.478244768"
"2020-03-24","17505243.96838279"
"2020-03-25","12216375.879759993"
"2020-03-26","10303138.43029296"
"2020-03-27","12713079.006308319"
"2020-03-28","12827553.354649983"
"2020-03-29","10266003.900120743"
"2020-03-30","11501091.261389771"
"2020-03-31","9134955.115317049"
"2020-04-01","8312165.842112229"
"2020-04-02","10629338.44308727"
"2020-04-03","9124890.889516199"
"2020-04-04","8817251.002756327"
"2020-04-05","11263724.65709592"
"2020-04-06","23853262.261241812"
"2020-04-07","20682203.984481886"
"2020-04-08","21285417.75674673"
"2020-04-09","26599306.20079635"
"2020-04-10","23222581.735122077"
"2020-04-11","15319427.174449923"
"2020-04-12","12020002.869989395"
"2020-04-13","11861743.002319608"
"2020-04-14","20023701.41970639"
"2020-04-15","13499363.019926062"
"2020-04-16","13526547.833606295"
"2020-04-17","13825927.753523625"
"2020-04-18","13750586.492884895"
"2020-04-19","19148622.805772904"
"2020-04-20","20354908.603615604"
"2020-04-21","14333296.476131"
"2020-04-22","13304395.063830098"
"2020-04-23","15126264.96139704"
