"Date","Active Addresses Count"
"2020-01-01","524360"
"2020-01-02","671016"
"2020-01-03","721747"
"2020-01-04","611397"
"2020-01-05","597061"
"2020-01-06","724219"
"2020-01-07","775757"
"2020-01-08","754553"
"2020-01-09","773570"
"2020-01-10","792103"
"2020-01-11","640445"
"2020-01-12","581504"
"2020-01-13","705443"
"2020-01-14","850757"
"2020-01-15","759192"
"2020-01-16","739283"
"2020-01-17","756728"
"2020-01-18","649187"
"2020-01-19","622774"
"2020-01-20","741539"
"2020-01-21","756250"
"2020-01-22","771727"
"2020-01-23","789764"
"2020-01-24","720051"
"2020-01-25","665971"
"2020-01-26","544915"
"2020-01-27","726725"
"2020-01-28","812560"
"2020-01-29","767507"
"2020-01-30","765495"
"2020-01-31","762130"
"2020-02-01","743933"
"2020-02-02","706042"
"2020-02-03","879860"
"2020-02-04","764885"
"2020-02-05","823713"
"2020-02-06","765225"
"2020-02-07","865396"
"2020-02-08","709380"
"2020-02-09","695691"
"2020-02-10","703356"
"2020-02-11","885934"
"2020-02-12","822547"
"2020-02-13","815808"
"2020-02-14","741471"
"2020-02-15","736640"
"2020-02-16","655188"
"2020-02-17","773751"
"2020-02-18","783570"
"2020-02-19","792783"
"2020-02-20","766448"
"2020-02-21","768521"
"2020-02-22","660812"
"2020-02-23","622397"
"2020-02-24","758122"
"2020-02-25","743278"
"2020-02-26","778003"
"2020-02-27","777389"
"2020-02-28","778213"
"2020-02-29","679597"
"2020-03-01","674209"
"2020-03-02","829550"
"2020-03-03","840712"
"2020-03-04","857423"
"2020-03-05","793221"
"2020-03-06","804945"
"2020-03-07","682432"
"2020-03-08","654911"
"2020-03-09","809850"
"2020-03-10","807778"
"2020-03-11","728889"
"2020-03-12","909601"
"2020-03-13","786409"
"2020-03-14","772769"
"2020-03-15","629326"
"2020-03-16","725120"
"2020-03-17","765477"
"2020-03-18","633373"
"2020-03-19","709786"
"2020-03-20","734614"
"2020-03-21","637554"
"2020-03-22","579901"
"2020-03-23","667486"
"2020-03-24","736233"
"2020-03-25","587460"
"2020-03-26","889704"
"2020-03-27","807651"
"2020-03-28","627230"
"2020-03-29","591287"
"2020-03-30","770915"
"2020-03-31","816889"
"2020-04-01","824108"
"2020-04-02","798186"
"2020-04-03","750332"
"2020-04-04","657862"
"2020-04-05","596364"
"2020-04-06","780832"
"2020-04-07","938358"
"2020-04-08","760207"
"2020-04-09","730620"
"2020-04-10","735297"
"2020-04-11","634944"
"2020-04-12","618062"
"2020-04-13","764583"
"2020-04-14","843493"
"2020-04-15","926278"
"2020-04-16","880665"
"2020-04-17","844316"
"2020-04-18","847811"
"2020-04-19","718815"
"2020-04-20","842251"
"2020-04-21","818062"
"2020-04-22","762361"
"2020-04-23","935989"
"2020-04-24","893187"
"2020-04-25","813456"
"2020-04-26","724250"
"2020-04-27","876229"
"2020-04-28","926669"
"2020-04-29","911617"
"2020-04-30","947585"
"2020-05-01","955523"
"2020-05-02","970554"
"2020-05-03","909805"
"2020-05-04","889636"
"2020-05-05","970464"
"2020-05-06","972369"
"2020-05-07","1020443"
"2020-05-08","949216"
"2020-05-09","906900"
"2020-05-10","869262"
"2020-05-11","999192"
"2020-05-12","954129"
"2020-05-13","858458"
"2020-05-14","880861"
"2020-05-15","895670"
"2020-05-16","880534"
"2020-05-17","763444"
"2020-05-18","970423"
"2020-05-19","890493"
"2020-05-20","865708"
"2020-05-21","928630"
"2020-05-22","797526"
"2020-05-23","848702"
"2020-05-24","807939"
"2020-05-25","828919"
"2020-05-26","852839"
"2020-05-27","913075"
"2020-05-28","866559"
"2020-05-29","852420"
"2020-05-30","902498"
"2020-05-31","801889"
"2020-06-01","870833"
"2020-06-02","899961"
"2020-06-03","950153"
"2020-06-04","884109"
"2020-06-05","918647"
"2020-06-06","771819"
"2020-06-07","690992"
"2020-06-08","986341"
"2020-06-09","910121"
"2020-06-10","909669"
"2020-06-11","1048342"
"2020-06-12","909615"
"2020-06-13","800767"
"2020-06-14","698545"
"2020-06-15","867844"
"2020-06-16","986219"
"2020-06-17","918592"
"2020-06-18","854866"
"2020-06-19","947402"
"2020-06-20","760742"
"2020-06-21","710176"
"2020-06-22","850006"
"2020-06-23","1034537"
"2020-06-24","917620"
"2020-06-25","901033"
"2020-06-26","929963"
"2020-06-27","761896"
"2020-06-28","686270"
"2020-06-29","962232"
"2020-06-30","926238"
"2020-07-01","1078007"
"2020-07-02","951042"
"2020-07-03","944676"
"2020-07-04","799989"
"2020-07-05","771473"
"2020-07-06","989688"
"2020-07-07","969354"
"2020-07-08","1024085"
"2020-07-09","1033334"
"2020-07-10","976205"
"2020-07-11","885970"
"2020-07-12","745665"
"2020-07-13","909653"
"2020-07-14","993499"
"2020-07-15","971186"
"2020-07-16","966383"
"2020-07-17","847984"
"2020-07-18","892684"
"2020-07-19","872974"
"2020-07-20","940265"
"2020-07-21","927506"
"2020-07-22","1017627"
"2020-07-23","977856"
"2020-07-24","1083981"
"2020-07-25","972156"
"2020-07-26","999311"
"2020-07-27","1022491"
"2020-07-28","1059084"
"2020-07-29","1039672"
"2020-07-30","968423"
"2020-07-31","1062923"
"2020-08-01","954055"
"2020-08-02","950873"
"2020-08-03","1080975"
"2020-08-04","1003351"
"2020-08-05","957619"
"2020-08-06","1120216"
"2020-08-07","1049182"
"2020-08-08","951540"
"2020-08-09","911571"
"2020-08-10","967780"
"2020-08-11","1086328"
"2020-08-12","1049344"
"2020-08-13","952528"
"2020-08-14","1086754"
"2020-08-15","973628"
"2020-08-16","892624"
"2020-08-17","878796"
"2020-08-18","1008612"
"2020-08-19","988648"
"2020-08-20","994559"
"2020-08-21","1095556"
"2020-08-22","950674"
"2020-08-23","906460"
"2020-08-24","944242"
"2020-08-25","951716"
"2020-08-26","1030264"
"2020-08-27","947577"
"2020-08-28","1080096"
"2020-08-29","972062"
"2020-08-30","821271"
"2020-08-31","935410"
"2020-09-01","1074307"
"2020-09-02","1029017"
"2020-09-03","983249"
"2020-09-04","1004854"
"2020-09-05","984198"
"2020-09-06","988383"
"2020-09-07","1086059"
"2020-09-08","974053"
"2020-09-09","968245"
"2020-09-10","1103924"
"2020-09-11","951505"
"2020-09-12","890683"
"2020-09-13","803998"
"2020-09-14","1016193"
"2020-09-15","976024"
"2020-09-16","1064243"
"2020-09-17","1101957"
"2020-09-18","974291"
"2020-09-19","892685"
"2020-09-20","820833"
"2020-09-21","946997"
"2020-09-22","968239"
"2020-09-23","1013565"
"2020-09-24","943668"
"2020-09-25","1140261"
"2020-09-26","952990"
"2020-09-27","784428"
"2020-09-28","884124"
"2020-09-29","998051"
"2020-09-30","1118241"
"2020-10-01","922880"
"2020-10-02","996361"
"2020-10-03","1002444"
"2020-10-04","923546"
"2020-10-05","946902"
"2020-10-06","978521"
"2020-10-07","1063425"
"2020-10-08","1033122"
"2020-10-09","1006667"
"2020-10-10","917402"
"2020-10-11","791020"
"2020-10-12","945894"
"2020-10-13","1049377"
"2020-10-14","952949"
"2020-10-15","1035214"
"2020-10-16","973228"
"2020-10-17","851147"
"2020-10-18","744786"
"2020-10-19","930306"
"2020-10-20","1011847"
"2020-10-21","1013298"
"2020-10-22","1048775"
"2020-10-23","977710"
"2020-10-24","1098917"
"2020-10-25","851199"
"2020-10-26","825846"
"2020-10-27","827512"
"2020-10-28","817505"
"2020-10-29","887772"
"2020-10-30","901403"
"2020-10-31","875335"
"2020-11-01","897445"
"2020-11-02","777173"
"2020-11-03","1029970"
"2020-11-04","1175181"
"2020-11-05","1071518"
"2020-11-06","1080743"
"2020-11-07","1055012"
"2020-11-08","920529"
"2020-11-09","1188873"
"2020-11-10","1026623"
"2020-11-11","1004339"
"2020-11-12","1064270"
"2020-11-13","999523"
"2020-11-14","915336"
"2020-11-15","845204"
"2020-11-16","1041491"
"2020-11-17","1142716"
"2020-11-18","1197076"
"2020-11-19","1052034"
"2020-11-20","1177776"
"2020-11-21","1007240"
"2020-11-22","875364"
"2020-11-23","1014814"
"2020-11-24","1052398"
"2020-11-25","1127776"
"2020-11-26","1115848"
"2020-11-27","1099990"
"2020-11-28","1038684"
"2020-11-29","875712"
"2020-11-30","903580"
"2020-12-01","1179012"
"2020-12-02","1015318"
