"Date","Addresses with balance greater than $10"
"2020-01-01","13522589"
"2020-01-02","13421004"
"2020-01-03","13552750"
"2020-01-04","13584040"
"2020-01-05","13607539"
"2020-01-06","13734026"
"2020-01-07","13852611"
"2020-01-08","13839570"
"2020-01-09","13743753"
"2020-01-10","13870795"
"2020-01-11","13874848"
"2020-01-12","13943907"
"2020-01-13","13938496"
"2020-01-14","14137637"
"2020-01-15","14145916"
"2020-01-16","14133499"
"2020-01-17","14200188"
"2020-01-18","14239062"
"2020-01-19","14185190"
"2020-01-20","14160314"
"2020-01-21","14176509"
"2020-01-22","14129399"
"2020-01-23","14034594"
"2020-01-24","14053502"
"2020-01-25","14047590"
"2020-01-26","14131080"
"2020-01-27","14210524"
"2020-01-28","14319226"
"2020-01-29","14328268"
"2020-01-30","14392844"
"2020-01-31","14354701"
"2020-02-01","14357253"
"2020-02-02","14341719"
"2020-02-03","14312634"
"2020-02-04","14291022"
"2020-02-05","14432933"
"2020-02-06","14481659"
"2020-02-07","14508619"
"2020-02-08","14547839"
"2020-02-09","14954464"
"2020-02-10","14576267"
"2020-02-11","15022753"
"2020-02-12","15080080"
"2020-02-13","15033433"
"2020-02-14","15116312"
"2020-02-15","14651125"
"2020-02-16","14682339"
"2020-02-17","14600808"
"2020-02-18","15077301"
"2020-02-19","14585149"
"2020-02-20","14582772"
"2020-02-21","14622218"
"2020-02-22","14662349"
"2020-02-23","14787035"
"2020-02-24","14680792"
"2020-02-25","14620506"
"2020-02-26","14463129"
"2020-02-27","14453144"
"2020-02-28","14466400"
"2020-02-29","14447146"
"2020-03-01","14455908"
"2020-03-02","14570804"
"2020-03-03","14509284"
"2020-03-04","14524640"
"2020-03-05","14635515"
"2020-03-06","14681162"
"2020-03-07","14628793"
"2020-03-08","14408338"
"2020-03-09","14340721"
"2020-03-10","14346796"
"2020-03-11","14379742"
"2020-03-12","13014941"
"2020-03-13","13464460"
"2020-03-14","13171368"
"2020-03-15","13255852"
"2020-03-16","13090638"
"2020-03-17","13324690"
"2020-03-18","13361756"
"2020-03-19","13768405"
"2020-03-20","13808433"
"2020-03-21","13814442"
"2020-03-22","13695128"
"2020-03-23","14002176"
"2020-03-24","14157381"
"2020-03-25","14191707"
"2020-03-26","14117036"
"2020-03-27","13961946"
"2020-03-28","13903622"
"2020-03-29","13796811"
"2020-03-30","14029985"
"2020-03-31","14017670"
"2020-04-01","14106061"
"2020-04-02","14194918"
"2020-04-03","14196032"
"2020-04-04","14287546"
"2020-04-05","14295124"
"2020-04-06","14530285"
"2020-04-07","14492269"
"2020-04-08","14570674"
"2020-04-09","14574382"
"2020-04-10","14416828"
"2020-04-11","14469661"
"2020-04-12","14536944"
"2020-04-13","14479753"
"2020-04-14","14469679"
"2020-04-15","14348068"
"2020-04-16","14606755"
"2020-04-17","14575059"
"2020-04-18","14603662"
"2020-04-19","14600973"
"2020-04-20","14470463"
"2020-04-21","14506014"
"2020-04-22","14686823"
"2020-04-23","14844916"
"2020-04-24","14887594"
"2020-04-25","14899428"
"2020-04-26","14965582"
"2020-04-27","15036989"
"2020-04-28","15013975"
"2020-04-29","15401606"
"2020-04-30","15413920"
"2020-05-01","15480261"
"2020-05-02","15454603"
"2020-05-03","15355628"
"2020-05-04","15383538"
"2020-05-05","15381347"
"2020-05-06","15468808"
"2020-05-07","15696587"
"2020-05-08","15665320"
