"Date","Transaction Volume"
"2020-01-01","1982380180.4347694"
"2020-01-02","3357940292.7512383"
"2020-01-03","5762347643.24605"
"2020-01-04","3372691297.6241055"
"2020-01-05","2508919058.7063947"
"2020-01-06","3984224288.3970966"
"2020-01-07","4366193045.859041"
"2020-01-08","4442532357.045078"
"2020-01-09","7427863176.4128275"
"2020-01-10","5449109242.761304"
"2020-01-11","3137934638.186742"
"2020-01-12","2800205759.7077856"
"2020-01-13","4082806855.0875072"
"2020-01-14","7836437613.965008"
"2020-01-15","11878696173.061417"
"2020-01-16","4626049547.562599"
"2020-01-17","6771240582.35453"
"2020-01-18","3368643189.3923626"
"2020-01-19","3172089616.9733896"
"2020-01-20","5619131847.993788"
"2020-01-21","4274827719.7288623"
"2020-01-22","4899753933.899658"
"2020-01-23","5817441575.64786"
"2020-01-24","4311512992.849405"
"2020-01-25","2846153839.659904"
"2020-01-26","3200560322.292802"
"2020-01-27","4861164101.491343"
"2020-01-28","5785335529.767189"
"2020-01-29","5647479257.09529"
"2020-01-30","7309018125.23215"
"2020-01-31","8232481679.072875"
"2020-02-01","6162931395.565447"
"2020-02-02","4723491858.6225395"
"2020-02-03","8920005192.196539"
"2020-02-04","5377234880.808531"
"2020-02-05","5104908858.320395"
"2020-02-06","10387504600.222294"
"2020-02-07","6443895837.458102"
"2020-02-08","5562553492.601874"
"2020-02-09","4319597417.052234"
"2020-02-10","6073597350.279924"
"2020-02-11","6936198259.271182"
"2020-02-12","6918495809.894622"
"2020-02-13","6616958225.538974"
"2020-02-14","6816092495.096309"
"2020-02-15","5229204907.438308"
"2020-02-16","6268088662.81816"
"2020-02-17","9180342923.452698"
"2020-02-18","5835669949.980835"
"2020-02-19","7730143636.550676"
"2020-02-20","6126025325.407168"
"2020-02-21","5492138305.575587"
"2020-02-22","3696586512.7752733"
"2020-02-23","5182170342.876422"
"2020-02-24","5325706752.602009"
"2020-02-25","6335718110.571105"
"2020-02-26","5282245477.357322"
"2020-02-27","6553800741.682658"
"2020-02-28","6285040548.741371"
"2020-02-29","3497787255.096231"
"2020-03-01","3121101794.99627"
"2020-03-02","5064510124.926917"
"2020-03-03","4774658489.824991"
"2020-03-04","5058838783.057581"
"2020-03-05","5334426697.761731"
"2020-03-06","6604189430.834096"
"2020-03-07","3943102730.434127"
"2020-03-08","3530089462.07768"
"2020-03-09","6485661734.695114"
"2020-03-10","5685282177.522277"
"2020-03-11","6280156909.315062"
"2020-03-12","8320482656.116678"
"2020-03-13","8714671764.62037"
"2020-03-14","3746492776.597141"
"2020-03-15","2662922188.5691442"
"2020-03-16","5498128616.303808"
"2020-03-17","5360979606.107497"
"2020-03-18","3991244227.3040833"
"2020-03-19","4654749419.770074"
"2020-03-20","5607906546.841467"
"2020-03-21","2558341723.121435"
"2020-03-22","3349981634.384163"
"2020-03-23","3728732695.1897955"
"2020-03-24","6468277913.225008"
"2020-03-25","3783660591.040833"
"2020-03-26","3779567758.0350227"
"2020-03-27","3748738285.272656"
"2020-03-28","2562763119.1304197"
"2020-03-29","2391889687.5873733"
"2020-03-30","4004340200.02729"
"2020-03-31","4451568000.186296"
"2020-04-01","4459432428.987901"
"2020-04-02","4013590701.2004995"
"2020-04-03","4477968340.476642"
"2020-04-04","4486295384.458012"
"2020-04-05","2408095315.8590965"
