"Date","Active Addresses Count"
"2020-03-04","2"
"2020-03-05","0"
"2020-03-06","2"
"2020-03-07","0"
"2020-03-08","0"
"2020-03-09","3"
"2020-03-10","0"
"2020-03-11","0"
"2020-03-12","0"
"2020-03-13","2"
"2020-03-14","2"
"2020-03-15","0"
"2020-03-16","2"
"2020-03-17","27"
"2020-03-18","0"
"2020-03-19","0"
"2020-03-20","2"
"2020-03-21","0"
"2020-03-22","0"
"2020-03-23","3"
"2020-03-24","9"
"2020-03-25","4"
"2020-03-26","0"
"2020-03-27","0"
"2020-03-28","0"
"2020-03-29","0"
"2020-03-30","0"
"2020-03-31","0"
"2020-04-01","2"
"2020-04-02","4"
"2020-04-03","2"
"2020-04-04","0"
"2020-04-05","0"
"2020-04-06","2"
"2020-04-07","0"
"2020-04-08","3"
"2020-04-09","2"
"2020-04-10","0"
"2020-04-11","4"
"2020-04-12","0"
"2020-04-13","2"
"2020-04-14","5"
"2020-04-15","0"
"2020-04-16","9"
"2020-04-17","5"
"2020-04-18","0"
"2020-04-19","0"
"2020-04-20","0"
"2020-04-21","4"
"2020-04-22","4"
"2020-04-23","0"
"2020-04-24","8"
"2020-04-25","0"
"2020-04-26","0"
"2020-04-27","2"
"2020-04-28","2"
"2020-04-29","0"
"2020-04-30","0"
"2020-05-01","0"
"2020-05-02","0"
"2020-05-03","0"
"2020-05-04","2"
"2020-05-05","0"
"2020-05-06","0"
"2020-05-07","0"
"2020-05-08","2"
"2020-05-09","0"
"2020-05-10","0"
"2020-05-11","0"
"2020-05-12","0"
"2020-05-13","0"
"2020-05-14","4"
"2020-05-15","2"
"2020-05-16","0"
"2020-05-17","0"
"2020-05-18","0"
"2020-05-19","0"
"2020-05-20","0"
"2020-05-21","0"
"2020-05-22","0"
"2020-05-23","2"
"2020-05-24","0"
"2020-05-25","0"
"2020-05-26","0"
"2020-05-27","0"
"2020-05-28","0"
"2020-05-29","0"
"2020-05-30","0"
"2020-05-31","0"
"2020-06-01","0"
"2020-06-02","0"
"2020-06-03","0"
"2020-06-04","0"
"2020-06-05","2"
"2020-06-06","0"
"2020-06-07","0"
"2020-06-08","0"
"2020-06-09","2"
"2020-06-10","0"
"2020-06-11","0"
"2020-06-12","0"
"2020-06-13","3"
"2020-06-14","2"
"2020-06-15","451"
"2020-06-16","1318"
"2020-06-17","1301"
"2020-06-18","1994"
"2020-06-19","2396"
"2020-06-20","2189"
"2020-06-21","3252"
"2020-06-22","3283"
"2020-06-23","3034"
"2020-06-24","2764"
"2020-06-25","2858"
"2020-06-26","2963"
"2020-06-27","3046"
"2020-06-28","2235"
"2020-06-29","1974"
"2020-06-30","1999"
"2020-07-01","2053"
"2020-07-02","2510"
"2020-07-03","2755"
"2020-07-04","2039"
"2020-07-05","2208"
"2020-07-06","2103"
"2020-07-07","1900"
"2020-07-08","1969"
"2020-07-09","1628"
"2020-07-10","1405"
"2020-07-11","1430"
"2020-07-12","1491"
"2020-07-13","1613"
"2020-07-14","1542"
"2020-07-15","1564"
"2020-07-16","1530"
"2020-07-17","1677"
"2020-07-18","1453"
"2020-07-19","1563"
"2020-07-20","1533"
"2020-07-21","1337"
"2020-07-22","1396"
"2020-07-23","1528"
"2020-07-24","1505"
"2020-07-25","1736"
"2020-07-26","1690"
"2020-07-27","1823"
"2020-07-28","1865"
"2020-07-29","1728"
"2020-07-30","1393"
"2020-07-31","1408"
"2020-08-01","1990"
"2020-08-02","1833"
"2020-08-03","1575"
"2020-08-04","1487"
"2020-08-05","1442"
"2020-08-06","1360"
"2020-08-07","1506"
"2020-08-08","1601"
"2020-08-09","1444"
"2020-08-10","1580"
"2020-08-11","2034"
"2020-08-12","5251"
"2020-08-13","4021"
"2020-08-14","2530"
"2020-08-15","2176"
"2020-08-16","2120"
"2020-08-17","1943"
"2020-08-18","1795"
"2020-08-19","2580"
"2020-08-20","1924"
"2020-08-21","1762"
"2020-08-22","1593"
"2020-08-23","1513"
"2020-08-24","1743"
"2020-08-25","1508"
"2020-08-26","1782"
"2020-08-27","1740"
"2020-08-28","1960"
"2020-08-29","1692"
"2020-08-30","1873"
"2020-08-31","2151"
"2020-09-01","2695"
"2020-09-02","2000"
"2020-09-03","2202"
"2020-09-04","2007"
"2020-09-05","2146"
"2020-09-06","1892"
"2020-09-07","1792"
"2020-09-08","1706"
"2020-09-09","1606"
"2020-09-10","1694"
"2020-09-11","1982"
"2020-09-12","2225"
"2020-09-13","1624"
"2020-09-14","1348"
"2020-09-15","1513"
"2020-09-16","2091"
"2020-09-17","1719"
"2020-09-18","1991"
"2020-09-19","1783"
"2020-09-20","1686"
"2020-09-21","1710"
"2020-09-22","1429"
"2020-09-23","1456"
"2020-09-24","1519"
"2020-09-25","1474"
"2020-09-26","1456"
"2020-09-27","1328"
"2020-09-28","1207"
"2020-09-29","1209"
"2020-09-30","1163"
"2020-10-01","1319"
"2020-10-02","1412"
"2020-10-03","1329"
"2020-10-04","1404"
"2020-10-05","1451"
"2020-10-06","1389"
"2020-10-07","1256"
"2020-10-08","1270"
"2020-10-09","2825"
"2020-10-10","1280"
"2020-10-11","1175"
"2020-10-12","1219"
"2020-10-13","1025"
"2020-10-14","1369"
"2020-10-15","2632"
"2020-10-16","2958"
"2020-10-17","2574"
"2020-10-18","2140"
"2020-10-19","1804"
"2020-10-20","2250"
"2020-10-21","3058"
"2020-10-22","3204"
"2020-10-23","2861"
"2020-10-24","2897"
"2020-10-25","2744"
"2020-10-26","2500"
"2020-10-27","2989"
"2020-10-28","3004"
"2020-10-29","3268"
"2020-10-30","3166"
"2020-10-31","3924"
"2020-11-01","3880"
"2020-11-02","3466"
"2020-11-03","4064"
"2020-11-04","3591"
"2020-11-05","2313"
"2020-11-06","3509"
"2020-11-07","3999"
"2020-11-08","4579"
"2020-11-09","3555"
"2020-11-10","3833"
"2020-11-11","8264"
"2020-11-12","3228"
"2020-11-13","3304"
"2020-11-14","3869"
"2020-11-15","3833"
"2020-11-16","4125"
"2020-11-17","4322"
"2020-11-18","3865"
"2020-11-19","4230"
"2020-11-20","4779"
"2020-11-21","5288"
"2020-11-22","5196"
"2020-11-23","4424"
"2020-11-24","4571"
"2020-11-25","5449"
"2020-11-26","3465"
"2020-11-27","3164"
"2020-11-28","3889"
"2020-11-29","4167"
"2020-11-30","3804"
"2020-12-01","4022"
"2020-12-02","2844"
"2020-12-03","3249"
"2020-12-04","3288"
"2020-12-05","2717"
"2020-12-06","2629"
"2020-12-07","2471"
"2020-12-08","3726"
"2020-12-09","3047"
"2020-12-10","2874"
"2020-12-11","3434"
"2020-12-12","6748"
"2020-12-13","8192"
"2020-12-14","6298"
"2020-12-15","4802"
"2020-12-16","4844"
"2020-12-17","4811"
"2020-12-18","3733"
"2020-12-19","3359"
"2020-12-20","3141"
"2020-12-21","2420"
"2020-12-22","2362"
"2020-12-23","2055"
"2020-12-24","2152"
"2020-12-25","2024"
"2020-12-26","2208"
"2020-12-27","2104"
"2020-12-28","2031"
"2020-12-29","2104"
"2020-12-30","5675"
"2020-12-31","3503"
"2021-01-01","3732"
"2021-01-02","2849"
"2021-01-03","2598"
"2021-01-04","2054"
"2021-01-05","2238"
"2021-01-06","2537"
"2021-01-07","2345"
"2021-01-08","2330"
"2021-01-09","2294"
"2021-01-10","2949"
"2021-01-11","1454"
"2021-01-12","2451"
"2021-01-13","2611"
"2021-01-14","2514"
"2021-01-15","2176"
"2021-01-16","2504"
"2021-01-17","2565"
"2021-01-18","2354"
"2021-01-19","2381"
"2021-01-20","2009"
"2021-01-21","1704"
"2021-01-22","1849"
"2021-01-23","2119"
"2021-01-24","2266"
"2021-01-25","2079"
"2021-01-26","2229"
"2021-01-27","1739"
"2021-01-28","2420"
"2021-01-29","3061"
"2021-01-30","4191"
"2021-01-31","3586"
"2021-02-01","3642"
"2021-02-02","2581"
"2021-02-03","2351"
"2021-02-04","3234"
"2021-02-05","3118"
"2021-02-06","3516"
"2021-02-07","3106"
"2021-02-08","2688"
"2021-02-09","3483"
"2021-02-10","3075"
"2021-02-11","2990"
"2021-02-12","3408"
"2021-02-13","2787"
"2021-02-14","2518"
"2021-02-15","1776"
"2021-02-16","2744"
"2021-02-17","2014"
"2021-02-18","1984"
