Date,TVL,Adjusted TVL
Sun Aug 29 2021,10517428493.45,3930616071.35
Mon Aug 30 2021,10585673664.77,3896173629.04
Tue Aug 31 2021,11620940851.15,3920630856.18
Wed Sep 01 2021,11725603356.51,3853439971.66
Thu Sep 02 2021,11824684762.96,3787831035.39
Fri Sep 03 2021,12024089490.08,3585673968.48
Sat Sep 04 2021,12184215831.92,3656981029.39
Sun Sep 05 2021,12177725580.07,3471383539.15
Mon Sep 06 2021,11199114045.57,3581278778.45
Tue Sep 07 2021,11308866872.88,3889071197.19
Wed Sep 08 2021,11225442340.54,3932030803.8
Thu Sep 09 2021,10579339830.53,3976035356.25
Fri Sep 10 2021,10634617301.17,3987460953.35
Sat Sep 11 2021,10883616729.79,3947168273.1
Sun Sep 12 2021,10508167143.91,3917413368.67
Mon Sep 13 2021,10718951899.09,3808427966.94
Tue Sep 14 2021,10924939728.59,3714453599.54
Wed Sep 15 2021,10989999093.83,3573074468.81
Thu Sep 16 2021,10714239226.02,3560914341.99
Fri Sep 17 2021,10772399265.73,3604489759.35
Sat Sep 18 2021,10528947498.26,3604576199.86
Sun Sep 19 2021,9822437657.78,3608869857.53
Mon Sep 20 2021,9421502399.6,3542441504.44
Tue Sep 21 2021,10196943750.62,3377018521.04
Wed Sep 22 2021,10462031142.58,3370192799.01
Thu Sep 23 2021,9985617936.13,3392658395.52
Fri Sep 24 2021,9966294128.09,3455924462.57
Sat Sep 25 2021,10268410322.7,3528649862.06
Sun Sep 26 2021,10022107649.6,3508000026.97
Mon Sep 27 2021,9716865817.59,3559494597.47
Tue Sep 28 2021,9771268136.12,3551959155.14
Wed Sep 29 2021,9190134099.6,2591381939.79
Thu Sep 30 2021,9799445863.04,2543489600.19
Fri Oct 01 2021,10084296746.29,2534563256.09
Sat Oct 02 2021,9723956662.83,2535551703.33
Sun Oct 03 2021,9582034530.36,2488870425.48
Mon Oct 04 2021,9889913339.7,2499834442.68
Tue Oct 05 2021,10107982927.64,2475643786.07
Wed Oct 06 2021,10011702256.33,2441148647.47
Thu Oct 07 2021,9718540380.35,2473389099.19
Fri Oct 08 2021,9794708282.63,2557719220.61
Sat Oct 09 2021,9742878231.48,2660511340.56
Sun Oct 10 2021,9920821306.93,2675729459.78
Mon Oct 11 2021,10079009634.32,2830006877.93
Tue Oct 12 2021,10615498597.11,3336686270.17
Wed Oct 13 2021,10559909590.51,3216770793.16
Thu Oct 14 2021,10806490657.31,3178167421.63
Fri Oct 15 2021,11138725812.45,3089167575.39
Sat Oct 16 2021,11047019126.6,3051267292.86
Sun Oct 17 2021,10994457604.58,3007345784.43
Mon Oct 18 2021,10707714630.54,2911478499.14
Tue Oct 19 2021,10955231856.99,2848243920.01
Wed Oct 20 2021,11224478013.2,2806978519.53
Thu Oct 21 2021,11081136072,2992956929.68
Fri Oct 22 2021,10870657652.86,3027514704.05
Sat Oct 23 2021,11089534992.54,3013570466.59
Sun Oct 24 2021,10925553938.05,2983085836.88
Mon Oct 25 2021,11133670296.82,2896921800.91
