"Date","Real Volume"
"2020-06-15","390202.2820344719"
"2020-06-16","789234.0336457784"
"2020-06-17","99355.90883318897"
"2020-06-18","1938458.1182256693"
"2020-06-19","3195544.532246389"
"2020-06-20","1741530.5769818793"
"2020-06-21","7393631.763911746"
"2020-06-22","3796908.441431816"
"2020-06-23","22465081.23499277"
"2020-06-24","11814729.53508031"
"2020-06-25","54573551.5325584"
"2020-06-26","41149057.15645754"
"2020-06-27","22392636.467588056"
"2020-06-28","6456236.538266069"
"2020-06-29","3819330.6294443137"
"2020-06-30","4017401.4960497483"
"2020-07-01","9919629.000269732"
"2020-07-02","20362441.758513954"
"2020-07-03","15605217.320202062"
"2020-07-04","17026869.599946965"
"2020-07-05","40440122.22045605"
"2020-07-06","17727011.23710117"
"2020-07-07","10504813.901299603"
"2020-07-08","13802113.280637085"
"2020-07-09","11374030.596430577"
"2020-07-10","6848129.954730636"
"2020-07-11","9268194.306387926"
"2020-07-12","7078903.325866714"
"2020-07-13","9883010.798588166"
"2020-07-14","8007630.337421838"
"2020-07-15","6407197.39167018"
"2020-07-16","8621173.75617643"
"2020-07-17","22125540.191002537"
"2020-07-18","10031957.256168213"
"2020-07-19","6204057.219892942"
"2020-07-20","19001979.167480744"
"2020-07-21","6621460.5084358845"
"2020-07-22","10325555.320157379"
"2020-07-23","9498024.481188875"
"2020-07-24","6293021.517946206"
"2020-07-25","7463380.603775802"
"2020-07-26","12103739.22623977"
"2020-07-27","26843195.67428156"
"2020-07-28","11219421.744180677"
"2020-07-29","6073709.484706561"
"2020-07-30","6178106.785247897"
"2020-07-31","12665050.101599924"
"2020-08-01","13925723.501751812"
"2020-08-02","14743138.862267924"
"2020-08-03","5860994.261671813"
"2020-08-04","7243272.83830576"
"2020-08-05","15553608.074064441"
"2020-08-06","10363782.075895168"
"2020-08-07","33447809.334657308"
"2020-08-08","21715120.530690875"
"2020-08-09","23543586.16893901"
"2020-08-10","30897711.835121617"
"2020-08-11","57208719.276114725"
"2020-08-12","272867202.2171838"
"2020-08-13","163093946.87736273"
"2020-08-14","38993582.12379013"
"2020-08-15","32607796.081966687"
"2020-08-16","24016491.73078355"
"2020-08-17","28602951.364541944"
"2020-08-18","23308337.300819833"
"2020-08-19","65921225.924180344"
"2020-08-20","18471731.526025753"
"2020-08-21","28832977.11714958"
"2020-08-22","21617340.50703545"
"2020-08-23","10211086.086280702"
"2020-08-24","25451096.83593204"
"2020-08-25","20304449.039873455"
"2020-08-26","22336822.376036163"
"2020-08-27","17381603.46036738"
"2020-08-28","41289032.22087066"
"2020-08-29","21953336.636957392"
"2020-08-30","62743968.31178672"
"2020-08-31","59918857.65013524"
"2020-09-01","137252408.71563938"
"2020-09-02","61219514.52119007"
"2020-09-03","119193707.5675992"
"2020-09-04","56675255.57064377"
"2020-09-05","63339705.206693225"
"2020-09-06","29889610.56105419"
"2020-09-07","38955156.65395224"
"2020-09-08","23721241.47122703"
"2020-09-09","24666401.52883764"
"2020-09-10","32609744.55299306"
"2020-09-11","31014643.1147018"
"2020-09-12","15315304.55541753"
"2020-09-13","21152056.548404075"
"2020-09-14","13307005.861020654"
"2020-09-15","10608991.204810007"
"2020-09-16","13118240.92772446"
"2020-09-17","29081847.629495274"
"2020-09-18","23873909.865111895"
"2020-09-19","9993693.569800362"
"2020-09-20","12601715.136356995"
"2020-09-21","18343670.705068663"
"2020-09-22","19611766.735646643"
"2020-09-23","18451127.461209558"
"2020-09-24","13794575.789490622"
"2020-09-25","13964525.771424206"
"2020-09-26","13142166.869607972"
"2020-09-27","7998838.396098203"
"2020-09-28","25885073.351958893"
"2020-09-29","8804569.52898867"
"2020-09-30","10261365.258461012"
"2020-10-01","17928328.257691175"
"2020-10-02","17002631.90088892"
"2020-10-03","5800706.432527669"
"2020-10-04","8274709.842980562"
"2020-10-05","10544302.73683122"
"2020-10-06","25708404.507896207"
"2020-10-07","31390255.439919204"
"2020-10-08","31220029.91130539"
"2020-10-09","34026548.099538945"
"2020-10-10","21230126.891186807"
"2020-10-11","9729325.355773905"
"2020-10-12","14443641.143022815"
"2020-10-13","8943311.857870823"
"2020-10-14","11613176.590681486"
"2020-10-15","8981945.864187926"
"2020-10-16","11023245.015976276"
"2020-10-17","5877186.2333916"
"2020-10-18","11425226.347500239"
"2020-10-19","7392254.127141208"
"2020-10-20","12096914.128972221"
"2020-10-21","11749155.981965585"
"2020-10-22","13109439.795055827"
"2020-10-23","11151121.677039575"
"2020-10-24","7999748.871356785"
"2020-10-25","7488058.216642305"
"2020-10-26","8913955.005035197"
"2020-10-27","24439114.76443655"
"2020-10-28","39669029.62927076"
"2020-10-29","24298400.9291711"
"2020-10-30","18170682.5139967"
"2020-10-31","12012635.93756939"
"2020-11-01","6277377.403990194"
"2020-11-02","6420443.4841365535"
"2020-11-03","18770332.79091589"
"2020-11-04","8483771.29451541"
"2020-11-05","12738278.54188833"
"2020-11-06","17126789.823857903"
"2020-11-07","39646535.49874769"
"2020-11-08","11387762.952907503"
"2020-11-09","10373515.81898205"
"2020-11-10","13576348.710027888"
"2020-11-11","25068358.010756712"
"2020-11-12","11339888.577394703"
"2020-11-13","18531457.81942425"
"2020-11-14","45445884.55628018"
"2020-11-15","37536439.84822204"
"2020-11-16","20858600.00999665"
"2020-11-17","20221500.71375258"
"2020-11-18","35492677.350544624"
"2020-11-19","16198773.111926485"
"2020-11-20","17291166.676871832"
"2020-11-21","26854545.141899303"
"2020-11-22","24244300.003166217"
"2020-11-23","23829556.017141208"
"2020-11-24","38061822.654361725"
"2020-11-25","31244162.114842057"
"2020-11-26","34334437.0373644"
"2020-11-27","10676457.107563807"
"2020-11-28","9230001.535099233"
"2020-11-29","4826723.935691584"
"2020-11-30","9323536.320366176"
"2020-12-01","18771993.903056916"
"2020-12-02","13595468.583478488"
"2020-12-03","47224879.26021274"
"2020-12-04","71104979.89806464"
"2020-12-05","36429789.73941196"
"2020-12-06","12994418.398153847"
"2020-12-07","26975017.978849314"
"2020-12-08","183186569.5440504"
"2020-12-09","91546593.99641746"
"2020-12-10","34280925.15297507"
"2020-12-11","34616249.079195365"
"2020-12-12","32893930.013743285"
"2020-12-13","15748935.005446305"
"2020-12-14","26700151.95643892"
"2020-12-15","25861947.10362781"
"2020-12-16","26231989.08080009"
"2020-12-17","61448503.33729738"
"2020-12-18","47663856.107467875"
"2020-12-19","17574913.489713196"
"2020-12-20","18713154.166530855"
"2020-12-21","17947957.45431573"
"2020-12-22","12684680.408193167"
"2020-12-23","20906308.079529274"
"2020-12-24","11590378.524415879"
"2020-12-25","7917322.356391414"
"2020-12-26","14355254.95618417"
"2020-12-27","16798322.81316082"
"2020-12-28","12966136.012056204"
"2020-12-29","30483746.26351142"
"2020-12-30","36371345.57781167"
"2020-12-31","30094473.66375152"
"2021-01-01","43869213.61428775"
"2021-01-02","18132469.849828158"
"2021-01-03","23603827.824421976"
"2021-01-04","38588348.66729491"
"2021-01-05","38590004.69148208"
"2021-01-06","38692246.40439136"
"2021-01-07","55646620.705250695"
"2021-01-08","39948607.22008319"
"2021-01-09","29641840.508535113"
"2021-01-10","75135615.68999468"
"2021-01-11","67620784.06174031"
"2021-01-12","48376477.78482275"
"2021-01-13","48721051.29514147"
"2021-01-14","43737196.043543"
"2021-01-15","40045222.58294011"
"2021-01-16","32394240.593797788"
"2021-01-17","44465882.70652247"
"2021-01-18","44510408.91212677"
"2021-01-19","33309604.056057326"
"2021-01-20","28815160.035209768"
"2021-01-21","34424524.15285614"
"2021-01-22","30457516.021910686"
"2021-01-23","16393268.110441009"
"2021-01-24","62551022.79536316"
"2021-01-25","84682932.19188821"
"2021-01-26","55236803.30978951"
"2021-01-27","47177747.29627542"
"2021-01-28","56035555.861373566"
"2021-01-29","117219617.18792284"
"2021-01-30","223562202.22905555"
"2021-01-31","108287864.79758099"
"2021-02-01","121297832.06476517"
"2021-02-02","64818639.90999855"
"2021-02-03","56005939.34453072"
"2021-02-04","310106242.56543297"
"2021-02-05","230765702.6005099"
"2021-02-06","189850042.64081523"
"2021-02-07","126113406.74260819"
"2021-02-08","153532260.91187865"
"2021-02-09","134982975.91585812"
"2021-02-10","196717813.03231144"
"2021-02-11","118894056.54656331"
"2021-02-12","244690388.29872218"
"2021-02-13","108566312.56725341"
"2021-02-14","80579934.37687454"
"2021-02-15","143133154.44503608"
"2021-02-16","76250238.83789694"
"2021-02-17","86207743.82852748"
"2021-02-18","48692750.207810454"
"2021-02-19","69504436.41048783"
"2021-02-20","148122208.97419474"
"2021-02-21","47491904.4542124"
"2021-02-22","121543929.4503233"
"2021-02-23","145315750.19067013"
"2021-02-24","115667205.01467735"
"2021-02-25","54272821.79925476"
"2021-02-26","112653594.85115914"
"2021-02-27","48569608.55917803"
"2021-02-28","56158935.50070543"
"2021-03-01","153873494.765957"
"2021-03-02","159914646.92742386"
"2021-03-03","51634269.19569264"
"2021-03-04","39636108.73558366"
"2021-03-05","30954215.70043748"
"2021-03-06","57433456.82916242"
"2021-03-07","33178369.30698619"
"2021-03-08","40838183.99535021"
"2021-03-09","54850261.693144046"
"2021-03-10","54418139.134450406"
"2021-03-11","42657066.117218584"
"2021-03-12","33932886.373047926"
"2021-03-13","48379229.0059948"
"2021-03-14","25729128.539356403"
"2021-03-15","27980813.188379694"
"2021-03-16","28452457.712754797"
"2021-03-17","25601829.45697105"
"2021-03-18","30311157.21927226"
"2021-03-19","26136981.515877638"
"2021-03-20","51863965.8425616"
"2021-03-21","51920434.448819436"
"2021-03-22","68424395.0305428"
"2021-03-23","38030295.39397467"
"2021-03-24","54045745.64068297"
"2021-03-25","41241870.3096807"
"2021-03-26","47568942.3527026"
"2021-03-27","42693887.991719626"
"2021-03-28","23202460.690570608"
"2021-03-29","45201581.709765166"
"2021-03-30","38726968.05532724"
"2021-03-31","32160587.334312066"
"2021-04-01","128693739.8158796"
"2021-04-02","68561392.16380051"
"2021-04-03","72563177.73267062"
"2021-04-04","163124963.24692437"
"2021-04-05","111727575.59333795"
"2021-04-06","75946853.63613811"
"2021-04-07","100600975.47462437"
"2021-04-08","60598193.62278865"
"2021-04-09","78104503.46483395"
"2021-04-10","64158263.970709115"
"2021-04-11","60381459.878076434"
"2021-04-12","72895741.53793336"
"2021-04-13","94094435.4173798"
"2021-04-14","98098117.81744514"
"2021-04-15","270071271.399035"
"2021-04-16","258603493.654756"
"2021-04-17","77108680.73495118"
"2021-04-18","121218889.26217322"
"2021-04-19","130598134.0667672"
"2021-04-20","128688218.8434121"
"2021-04-21","86288897.80078927"
"2021-04-22","291600066.0849322"
"2021-04-23","577449846.3027374"
"2021-04-24","345849281.8916204"
"2021-04-25","126727328.69260718"
"2021-04-26","231978361.35614768"
"2021-04-27","159755674.82668015"
"2021-04-28","121717499.33482629"
"2021-04-29","93787803.05248767"
"2021-04-30","188543417.01911"
"2021-05-01","266054995.21794882"
"2021-05-02","280663830.3292127"
"2021-05-03","310062065.0949495"
"2021-05-04","211199870.49680716"
"2021-05-05","107713975.48598243"
"2021-05-06","127993683.95646197"
"2021-05-07","105290766.38589402"
"2021-05-08","162503629.08579394"
"2021-05-09","83547361.72984217"
"2021-05-10","151737992.23844156"
"2021-05-11","298160794.6544841"
"2021-05-12","231128778.821165"
"2021-05-13","228460978.33768082"
"2021-05-14","145720691.30816907"
"2021-05-15","122432646.27611922"
"2021-05-16","87756350.52937911"
"2021-05-17","156744605.76359484"
"2021-05-18","179023865.6393194"
"2021-05-19","257898759.7191552"
"2021-05-20","148477788.3558009"
"2021-05-21","159136083.94173443"
"2021-05-22","127939457.7874196"
"2021-05-23","154838405.53548142"
"2021-05-24","122323280.27570878"
"2021-05-25","113552749.72148605"
"2021-05-26","106449428.05383314"
"2021-05-27","82625640.94060883"
"2021-05-28","80638509.74243858"
"2021-05-29","65138436.45606218"
"2021-05-30","82150280.38379039"
"2021-05-31","60305265.77878691"
"2021-06-01","61303181.30411104"
"2021-06-02","49359484.475716956"
"2021-06-03","40130711.11256091"
"2021-06-04","52582336.90138954"
"2021-06-05","34493270.3896111"
"2021-06-06","33961086.03835306"
"2021-06-07","75706610.55612046"
"2021-06-08","68644104.25317867"
"2021-06-09","58853773.01264843"
"2021-06-10","45131830.217869"
"2021-06-11","41653892.992623486"
"2021-06-12","43305509.34828323"
"2021-06-13","47665176.09568313"
"2021-06-14","41633825.8019172"
"2021-06-15","45063764.857122265"
"2021-06-16","36288776.59245032"
"2021-06-17","25970522.815478336"
"2021-06-18","37238161.54055095"
"2021-06-19","15641368.23538205"
