"Date","Active Addresses Count"
"2020-08-12","2"
"2020-08-13","717"
"2020-08-14","7064"
"2020-08-15","5182"
"2020-08-16","3081"
"2020-08-17","3124"
"2020-08-18","2773"
"2020-08-19","2701"
"2020-08-20","2279"
"2020-08-21","2336"
"2020-08-22","2134"
"2020-08-23","2044"
"2020-08-24","2010"
"2020-08-25","1790"
"2020-08-26","2526"
"2020-08-27","2433"
"2020-08-28","2462"
"2020-08-29","1828"
"2020-08-30","1694"
"2020-08-31","1929"
"2020-09-01","2560"
"2020-09-02","1604"
"2020-09-03","1607"
"2020-09-04","1946"
"2020-09-05","1642"
"2020-09-06","1702"
"2020-09-07","1578"
"2020-09-08","1639"
"2020-09-09","1699"
"2020-09-10","1481"
"2020-09-11","1516"
"2020-09-12","1516"
"2020-09-13","1394"
"2020-09-14","1215"
"2020-09-15","1337"
"2020-09-16","1310"
"2020-09-17","743"
"2020-09-18","1038"
"2020-09-19","1632"
"2020-09-20","1695"
"2020-09-21","1226"
"2020-09-22","1047"
"2020-09-23","1240"
"2020-09-24","1279"
"2020-09-25","1258"
"2020-09-26","1326"
"2020-09-27","1200"
"2020-09-28","1008"
"2020-09-29","928"
"2020-09-30","917"
"2020-10-01","1036"
"2020-10-02","1049"
"2020-10-03","993"
"2020-10-04","993"
"2020-10-05","1024"
"2020-10-06","959"
"2020-10-07","997"
"2020-10-08","965"
"2020-10-09","1017"
"2020-10-10","919"
"2020-10-11","912"
"2020-10-12","822"
"2020-10-13","730"
"2020-10-14","788"
"2020-10-15","771"
"2020-10-16","816"
"2020-10-17","836"
"2020-10-18","847"
"2020-10-19","739"
"2020-10-20","826"
"2020-10-21","787"
"2020-10-22","928"
"2020-10-23","721"
"2020-10-24","832"
"2020-10-25","735"
"2020-10-26","1068"
"2020-10-27","1287"
"2020-10-28","1208"
"2020-10-29","761"
"2020-10-30","779"
"2020-10-31","748"
"2020-11-01","715"
"2020-11-02","736"
"2020-11-03","727"
"2020-11-04","731"
"2020-11-05","788"
"2020-11-06","957"
"2020-11-07","1556"
"2020-11-08","1010"
"2020-11-09","826"
"2020-11-10","945"
"2020-11-11","1113"
"2020-11-12","794"
"2020-11-13","1023"
"2020-11-14","1190"
"2020-11-15","1515"
"2020-11-16","1147"
"2020-11-17","1079"
"2020-11-18","992"
"2020-11-19","1205"
"2020-11-20","1155"
"2020-11-21","890"
"2020-11-22","935"
"2020-11-23","901"
"2020-11-24","927"
"2020-11-25","886"
"2020-11-26","769"
"2020-11-27","1021"
"2020-11-28","939"
"2020-11-29","989"
"2020-11-30","773"
"2020-12-01","790"
"2020-12-02","1111"
"2020-12-03","1035"
"2020-12-04","850"
"2020-12-05","891"
"2020-12-06","877"
"2020-12-07","786"
"2020-12-08","656"
"2020-12-09","713"
"2020-12-10","669"
"2020-12-11","572"
"2020-12-12","666"
"2020-12-13","673"
"2020-12-14","601"
"2020-12-15","528"
"2020-12-16","609"
"2020-12-17","705"
"2020-12-18","864"
"2020-12-19","905"
"2020-12-20","837"
"2020-12-21","697"
"2020-12-22","708"
"2020-12-23","648"
"2020-12-24","779"
"2020-12-25","722"
"2020-12-26","789"
"2020-12-27","733"
"2020-12-28","680"
"2020-12-29","731"
"2020-12-30","2925"
"2020-12-31","1315"
"2021-01-01","1530"
"2021-01-02","1181"
"2021-01-03","994"
"2021-01-04","1035"
"2021-01-05","980"
"2021-01-06","1019"
"2021-01-07","828"
"2021-01-08","865"
"2021-01-09","965"
"2021-01-10","1026"
"2021-01-11","564"
"2021-01-12","779"
"2021-01-13","909"
"2021-01-14","838"
"2021-01-15","2206"
"2021-01-16","1679"
"2021-01-17","2599"
"2021-01-18","1782"
"2021-01-19","1195"
"2021-01-20","1381"
"2021-01-21","1579"
"2021-01-22","1656"
"2021-01-23","1866"
"2021-01-24","1661"
"2021-01-25","1399"
"2021-01-26","1456"
"2021-01-27","1289"
"2021-01-28","1370"
"2021-01-29","1074"
"2021-01-30","1639"
"2021-01-31","1860"
"2021-02-01","1237"
"2021-02-02","1231"
"2021-02-03","1322"
"2021-02-04","1330"
"2021-02-05","1386"
"2021-02-06","1906"
"2021-02-07","1510"
"2021-02-08","1200"
"2021-02-09","1125"
"2021-02-10","1317"
"2021-02-11","1431"
"2021-02-12","1430"
"2021-02-13","1328"
"2021-02-14","1341"
"2021-02-15","1296"
"2021-02-16","1098"
"2021-02-17","1035"
"2021-02-18","1039"
"2021-02-19","1086"
"2021-02-20","1340"
"2021-02-21","1467"
"2021-02-22","1297"
"2021-02-23","1162"
"2021-02-24","1080"
"2021-02-25","1016"
"2021-02-26","1032"
"2021-02-27","1220"
"2021-02-28","1311"
"2021-03-01","1024"
"2021-03-02","1441"
"2021-03-03","1174"
"2021-03-04","1053"
"2021-03-05","850"
"2021-03-06","1035"
"2021-03-07","879"
"2021-03-08","982"
"2021-03-09","1066"
"2021-03-10","970"
"2021-03-11","852"
"2021-03-12","678"
"2021-03-13","733"
"2021-03-14","808"
"2021-03-15","693"
"2021-03-16","849"
"2021-03-17","699"
"2021-03-18","898"
"2021-03-19","824"
"2021-03-20","1028"
"2021-03-21","806"
"2021-03-22","633"
"2021-03-23","1425"
"2021-03-24","1397"
"2021-03-25","1800"
"2021-03-26","1208"
"2021-03-27","1650"
"2021-03-28","1698"
"2021-03-29","1499"
"2021-03-30","1161"
"2021-03-31","968"
"2021-04-01","1024"
"2021-04-02","1040"
"2021-04-03","1280"
"2021-04-04","1462"
"2021-04-05","1425"
"2021-04-06","1133"
"2021-04-07","1036"
"2021-04-08","1033"
"2021-04-09","942"
"2021-04-10","1130"
"2021-04-11","1321"
"2021-04-12","1170"
"2021-04-13","1122"
"2021-04-14","1002"
"2021-04-15","1848"
"2021-04-16","1549"
"2021-04-17","1172"
"2021-04-18","1466"
"2021-04-19","896"
"2021-04-20","917"
"2021-04-21","955"
"2021-04-22","1190"
"2021-04-23","1130"
"2021-04-24","1391"
"2021-04-25","1565"
"2021-04-26","1258"
"2021-04-27","1301"
"2021-04-28","2042"
"2021-04-29","1126"
"2021-04-30","1233"
"2021-05-01","1407"
"2021-05-02","1207"
"2021-05-03","1031"
"2021-05-04","1103"
"2021-05-05","1206"
"2021-05-06","1109"
"2021-05-07","1413"
"2021-05-08","950"
"2021-05-09","746"
"2021-05-10","623"
"2021-05-11","550"
"2021-05-12","848"
"2021-05-13","1445"
"2021-05-14","978"
"2021-05-15","989"
"2021-05-16","1085"
"2021-05-17","1149"
"2021-05-18","1274"
"2021-05-19","1162"
"2021-05-20","1279"
"2021-05-21","1314"
"2021-05-22","1318"
"2021-05-23","1314"
"2021-05-24","1121"
"2021-05-25","1032"
"2021-05-26","1207"
"2021-05-27","1201"
"2021-05-28","962"
"2021-05-29","1156"
"2021-05-30","1160"
"2021-05-31","1224"
"2021-06-01","1481"
"2021-06-02","2336"
"2021-06-03","1882"
"2021-06-04","3011"
"2021-06-05","2688"
"2021-06-06","2375"
"2021-06-07","1989"
"2021-06-08","1750"
"2021-06-09","2074"
"2021-06-10","1897"
"2021-06-11","1558"
"2021-06-12","1575"
"2021-06-13","1786"
"2021-06-14","1583"
"2021-06-15","1627"
"2021-06-16","1590"
"2021-06-17","1479"
"2021-06-18","1517"
"2021-06-19","1465"
"2021-06-20","1433"
"2021-06-21","1401"
"2021-06-22","1318"
"2021-06-23","1660"
"2021-06-24","1488"
"2021-06-25","1435"
"2021-06-26","1531"
"2021-06-27","1625"
"2021-06-28","1415"
"2021-06-29","1690"
"2021-06-30","1558"
"2021-07-01","1427"
"2021-07-02","1780"
"2021-07-03","1559"
"2021-07-04","1666"
"2021-07-05","1413"
"2021-07-06","1162"
"2021-07-07","1125"
"2021-07-08","1018"
"2021-07-09","1135"
"2021-07-10","1512"
"2021-07-11","1511"
"2021-07-12","1192"
"2021-07-13","957"
"2021-07-14","874"
"2021-07-15","932"
"2021-07-16","963"
"2021-07-17","1154"
"2021-07-18","1148"
"2021-07-19","1142"
"2021-07-20","1063"
"2021-07-21","1234"
"2021-07-22","1209"
"2021-07-23","1327"
"2021-07-24","1321"
"2021-07-25","1102"
"2021-07-26","1080"
"2021-07-27","1016"
"2021-07-28","893"
"2021-07-29","990"
"2021-07-30","940"
"2021-07-31","1123"
"2021-08-01","1053"
"2021-08-02","889"
"2021-08-03","840"
"2021-08-04","836"
"2021-08-05","820"
"2021-08-06","963"
"2021-08-07","970"
"2021-08-08","1106"
"2021-08-09","916"
"2021-08-10","972"
"2021-08-11","1064"
"2021-08-12","1150"
"2021-08-13","1191"
"2021-08-14","1642"
"2021-08-15","1430"
"2021-08-16","1131"
"2021-08-17","1035"
"2021-08-18","1082"
"2021-08-19","1360"
"2021-08-20","1384"
"2021-08-21","1455"
"2021-08-22","1335"
"2021-08-23","1076"
"2021-08-24","781"
"2021-08-25","685"
"2021-08-26","667"
"2021-08-27","622"
"2021-08-28","687"
"2021-08-29","745"
"2021-08-30","920"
"2021-08-31","1090"
"2021-09-01","936"
"2021-09-02","814"
"2021-09-03","808"
"2021-09-04","734"
"2021-09-05","1023"
"2021-09-06","1072"
"2021-09-07","945"
"2021-09-08","803"
"2021-09-09","1136"
"2021-09-10","1337"
"2021-09-11","1374"
"2021-09-12","1330"
"2021-09-13","1035"
"2021-09-14","1643"
"2021-09-15","1749"
"2021-09-16","2017"
"2021-09-17","1221"
"2021-09-18","1281"
"2021-09-19","1187"
"2021-09-20","1008"
"2021-09-21","992"
"2021-09-22","1056"
"2021-09-23","1064"
"2021-09-24","980"
"2021-09-25","1212"
"2021-09-26","1511"
"2021-09-27","1358"
"2021-09-28","955"
"2021-09-29","1086"
"2021-09-30","967"
"2021-10-01","997"
"2021-10-02","1237"
"2021-10-03","1424"
"2021-10-04","895"
"2021-10-05","1098"
"2021-10-06","847"
"2021-10-07","809"
"2021-10-08","925"
"2021-10-09","1443"
"2021-10-10","1284"
"2021-10-11","957"
"2021-10-12","1030"
"2021-10-13","1145"
"2021-10-14","1021"
"2021-10-15","851"
"2021-10-16","1224"
"2021-10-17","1126"
"2021-10-18","954"
"2021-10-19","1194"
"2021-10-20","1398"
"2021-10-21","1241"
"2021-10-22","1320"
"2021-10-23","1610"
"2021-10-24","1799"
"2021-10-25","2496"
"2021-10-26","2598"
"2021-10-27","1196"
"2021-10-28","1473"
"2021-10-29","1127"
"2021-10-30","1177"
"2021-10-31","1054"
"2021-11-01","1048"
"2021-11-02","1000"
"2021-11-03","1065"
