"Date","Addresses with balance greater than $10"
"2020-08-12","0"
"2020-08-13","0"
"2020-08-14","0"
"2020-08-15","3014"
"2020-08-16","3364"
"2020-08-17","3558"
"2020-08-18","3599"
"2020-08-19","3854"
"2020-08-20","3986"
"2020-08-21","4030"
"2020-08-22","4142"
"2020-08-23","4190"
"2020-08-24","4376"
"2020-08-25","4450"
"2020-08-26","4777"
"2020-08-27","4903"
"2020-08-28","5019"
"2020-08-29","4957"
"2020-08-30","5265"
"2020-08-31","5680"
"2020-09-01","6359"
"2020-09-02","6275"
"2020-09-03","6192"
"2020-09-04","6211"
"2020-09-05","6026"
"2020-09-06","6281"
"2020-09-07","6330"
"2020-09-08","6247"
"2020-09-09","6427"
"2020-09-10","6511"
"2020-09-11","6486"
"2020-09-12","6613"
"2020-09-13","6564"
"2020-09-14","6590"
"2020-09-15","6451"
"2020-09-16","6447"
"2020-09-17","6576"
"2020-09-18","6580"
"2020-09-19","6902"
"2020-09-20","6909"
"2020-09-21","6679"
"2020-09-22","6675"
"2020-09-23","6455"
"2020-09-24","6613"
"2020-09-25","6640"
"2020-09-26","6993"
"2020-09-27","6956"
"2020-09-28","6971"
"2020-09-29","6899"
"2020-09-30","6929"
"2020-10-01","6847"
"2020-10-02","6777"
"2020-10-03","6806"
"2020-10-04","6722"
"2020-10-05","6621"
"2020-10-06","6411"
"2020-10-07","6489"
"2020-10-08","6604"
"2020-10-09","6809"
"2020-10-10","6676"
"2020-10-11","6710"
"2020-10-12","6740"
"2020-10-13","6703"
"2020-10-14","6655"
"2020-10-15","6677"
"2020-10-16","6469"
"2020-10-17","6527"
"2020-10-18","6647"
"2020-10-19","6503"
"2020-10-20","6356"
"2020-10-21","6480"
"2020-10-22","6652"
"2020-10-23","6542"
"2020-10-24","6552"
"2020-10-25","6417"
"2020-10-26","6728"
"2020-10-27","7287"
"2020-10-28","7015"
"2020-10-29","6885"
"2020-10-30","6786"
"2020-10-31","6835"
"2020-11-01","6791"
"2020-11-02","6715"
"2020-11-03","6738"
"2020-11-04","6723"
"2020-11-05","6833"
"2020-11-06","7111"
"2020-11-07","6639"
"2020-11-08","6800"
"2020-11-09","6752"
"2020-11-10","7137"
"2020-11-11","7160"
"2020-11-12","7169"
"2020-11-13","7546"
"2020-11-14","7687"
"2020-11-15","7874"
"2020-11-16","7999"
"2020-11-17","8152"
"2020-11-18","8006"
"2020-11-19","8114"
"2020-11-20","8276"
