Date,TVL,Adjusted TVL
Sun Aug 29 2021,11866043564.26,3397595639
Mon Aug 30 2021,11916002862.52,3394275848.39
Tue Aug 31 2021,12271059190.32,3353193803.18
Wed Sep 01 2021,12965675742.41,3422676774.67
Thu Sep 02 2021,13111189050.86,3411040784.94
Fri Sep 03 2021,13302689275.84,3374664213.45
Sat Sep 04 2021,13321284675.63,3394039379.35
Sun Sep 05 2021,13501023715.58,3379589622.42
Mon Sep 06 2021,13223262308.39,3407196236.38
Tue Sep 07 2021,12356752381.4,3373265730.24
Wed Sep 08 2021,12571810200.29,3452866834.11
Thu Sep 09 2021,11950514244.56,3477827215.12
Fri Sep 10 2021,11853424862.05,3550049532.73
Sat Sep 11 2021,12145740296.35,3669399194.1
Sun Sep 12 2021,12270109314.57,3684003568.46
Mon Sep 13 2021,12336730942.03,3696767031.97
Tue Sep 14 2021,12696296737.87,3787767503.29
Wed Sep 15 2021,13302766494.53,3902423131.58
Thu Sep 16 2021,13400276055.65,4028625312.26
Fri Sep 17 2021,13569739217.2,4120969427.15
Sat Sep 18 2021,13380153295.64,4059392854.07
Sun Sep 19 2021,13042416128.95,4076232647.61
Mon Sep 20 2021,12419616557.71,3962328753.29
Tue Sep 21 2021,12203954564.94,3897119859.02
Wed Sep 22 2021,12719138109.46,3931030277.5
Thu Sep 23 2021,12787211822.77,4016710314.78
Fri Sep 24 2021,12503629065.5,3949274346.43
Sat Sep 25 2021,12602835330.56,3937917991.86
Sun Sep 26 2021,12914312342.07,3967317408.25
Mon Sep 27 2021,12658311439.36,3948811037.35
Tue Sep 28 2021,12581048689.81,3854721033.43
Wed Sep 29 2021,12761301064.23,3869017303.86
Thu Sep 30 2021,13049281656.72,3913174619.3
Fri Oct 01 2021,13525549003.17,3976177960.85
Sat Oct 02 2021,13703353043.48,4011836617.11
Sun Oct 03 2021,13771803885.5,4093559818.13
Mon Oct 04 2021,14001524524.62,4155221051.41
Tue Oct 05 2021,14415109716.58,4309897064.64
Wed Oct 06 2021,14629839900.22,4309289738.94
Thu Oct 07 2021,14715081040.55,4322050587.7
Fri Oct 08 2021,14809334958.81,4374207577.42
Sat Oct 09 2021,14837984724.42,4472203461.49
Sun Oct 10 2021,14758209301.94,4558418363.64
Mon Oct 11 2021,14827804179.53,4668265506.73
Tue Oct 12 2021,14848872237.57,4647787880.78
Wed Oct 13 2021,15279785308.45,4831000486.43
Thu Oct 14 2021,15790420176.49,4859752379
Fri Oct 15 2021,16038271467.89,4877466970.9
Sat Oct 16 2021,15886966923.27,4795283393.12
Sun Oct 17 2021,15925365276.84,4825352248.55
Mon Oct 18 2021,15895355917.5,4811139978.78
Tue Oct 19 2021,16249857528.61,4808367327.67
Wed Oct 20 2021,16796670667.59,4771097535.57
Thu Oct 21 2021,16579765695.45,4766416259.48
Fri Oct 22 2021,16555482487.96,4811975680.49
Sat Oct 23 2021,16751945393.46,4887543115.81
Sun Oct 24 2021,16863957089.02,4918926023.73
Mon Oct 25 2021,17087957876.89,5047504146.89
Tue Oct 26 2021,16806306384.51,5151502092.05
Wed Oct 27 2021,17102532515.34,5270653036.17
Thu Oct 28 2021,17758181528.29,5388235797.22
Fri Oct 29 2021,17868852396.1,5395213030.58
Sat Oct 30 2021,17923757956.82,5394978223.9
Sun Oct 31 2021,17998737267.27,5512260555.66
Mon Nov 01 2021,18298953670.57,5570434831.36
Tue Nov 02 2021,18763940100.89,5649564165.69
Wed Nov 03 2021,18749852436.76,5679055079.98
Thu Nov 04 2021,18464914910.88,5744282648.71
Fri Nov 05 2021,18483744520.52,5829211855.84
Sat Nov 06 2021,18683006846.84,5879251428.77
Sun Nov 07 2021,19269240618.82,6109181146.02
Mon Nov 08 2021,19479751053.88,6107850955.61
Tue Nov 09 2021,19445687202.27,6142264075.95
Wed Nov 10 2021,19306562296.09,6081653500.99
Thu Nov 11 2021,19332014467.7,6046625362.24
Fri Nov 12 2021,19288994330.05,6106958560.4
Sat Nov 13 2021,19666666580.35,6329126669.39
Sun Nov 14 2021,19705196928.1,6324227494.73
Mon Nov 15 2021,19322999024.44,6367826629.51
Tue Nov 16 2021,18684462263.85,6199778967.82
Wed Nov 17 2021,19001907994.2,6214079874.37
Thu Nov 18 2021,18824749836.51,6267687686.31
Fri Nov 19 2021,19127300131.5,6347030852.63
Sat Nov 20 2021,19278613389.79,6361071379.36
Sun Nov 21 2021,18637041895.78,6337164848.76
Mon Nov 22 2021,18459564708,6330271914.63
Tue Nov 23 2021,18594502395.22,6385659280.99
Wed Nov 24 2021,18717762535.72,6396068225.69
Thu Nov 25 2021,18648196360.05,6291850313.96
Fri Nov 26 2021,18218318533.6,6303641255.82
Sat Nov 27 2021,18116912069.47,6409450594.06
Sun Nov 28 2021,18662769369.42,6453511904.33
Mon Nov 29 2021,19120216916.8,6703550006.52
Tue Nov 30 2021,19514469754.86,6811683584.44
Wed Dec 01 2021,19487274058.26,6581693458.44
Thu Dec 02 2021,19316928841.5,6678826544.6
Fri Dec 03 2021,18566003056.85,6625546116.94
Sat Dec 04 2021,18092070588.58,6554761602.34
Sun Dec 05 2021,18118676517.42,6623089772.5
Mon Dec 06 2021,18657595444.5,6719658139.97
Tue Dec 07 2021,18745660026.47,6722093199.17
Wed Dec 08 2021,18808183994.67,6737897666.42
Thu Dec 09 2021,18520809018.51,6743985671.1
Fri Dec 10 2021,18345573469.86,6713687644.9
Sat Dec 11 2021,18646678737.47,6794976246.97
Sun Dec 12 2021,18629496461.57,6876424215.49
Mon Dec 13 2021,18251245945.27,6849181145
Tue Dec 14 2021,18288310803.62,6816102575.89
Wed Dec 15 2021,18558009903.49,6914037547.72
Thu Dec 16 2021,18281299772.03,7091254335.2
Fri Dec 17 2021,18213251328.75,7204699584.38
Sat Dec 18 2021,18696503902.52,7240121878.61
Sun Dec 19 2021,18531271348.88,7353443708.32
Mon Dec 20 2021,18761792631.25,8874631365.92
Tue Dec 21 2021,19014782877.47,9093198650.48
Wed Dec 22 2021,19100461569.28,9170168869.39
Thu Dec 23 2021,19722875351.91,9211553782.43
Fri Dec 24 2021,19735982198.62,9308016003.48
Sat Dec 25 2021,20090274451.83,9740547378.49
Sun Dec 26 2021,20269226887.99,10001272127.98
Mon Dec 27 2021,20282804006.66,10167491519.66
Tue Dec 28 2021,20078673112.97,10268944537.89
Wed Dec 29 2021,20194448423.79,10717076246.63
Thu Dec 30 2021,20238014936.88,10852722425.32
Fri Dec 31 2021,20301502814.14,11040712028.91
Sat Jan 01 2022,20685213188.37,11422680066.81
Sun Jan 02 2022,20854116169.31,11719053111.05
Mon Jan 03 2022,20899834080.61,12055012826.87
Tue Jan 04 2022,21182034086.41,12179469847.72
Wed Jan 05 2022,20831625928.48,12902798955.58
Thu Jan 06 2022,20456071472.56,13075293076.76
Fri Jan 07 2022,20220421187.67,13033857523.74
Sat Jan 08 2022,20088293571.01,13055687132.59
Sun Jan 09 2022,19227447264.67,12425354246.19
Mon Jan 10 2022,19463064965.55,12358871150.32
Tue Jan 11 2022,19832236883.3,12351129374.02
Wed Jan 12 2022,19921397611.83,12327043007.36
Thu Jan 13 2022,19902882965.29,12660200370.56
Fri Jan 14 2022,19897195052.37,12601891419.91
Sat Jan 15 2022,19895202847.15,12674686508.98
Sun Jan 16 2022,19860414265.96,12743952150.67
Mon Jan 17 2022,19682839941.48,12806033351.56
Tue Jan 18 2022,19567290367.84,13010880141.89
Wed Jan 19 2022,19504089156.36,13069269603.54
Thu Jan 20 2022,19010578660.9,13174328507.51
Fri Jan 21 2022,18048577833.37,12953932525.95
Sat Jan 22 2022,16679317449.43,12211660817.84
Sun Jan 23 2022,16659633693.07,12230421359.68
Mon Jan 24 2022,16360195747.82,12218540029.95
Tue Jan 25 2022,17108160708.05,12298922731.47
Wed Jan 26 2022,16893564506.57,12151677556.23
Thu Jan 27 2022,14868323482.95,10795716062.61
Fri Jan 28 2022,14194065300.12,10790862336.05
Sat Jan 29 2022,14223267185.73,10770218736
Sun Jan 30 2022,14435099586.08,10843067792.57
Mon Jan 31 2022,14900424218.18,10815438741.9
Tue Feb 01 2022,14970547007.4,10908081128.28
Wed Feb 02 2022,14873301809.63,11162794568.37
Thu Feb 03 2022,15261633294.26,11492198069.69
Fri Feb 04 2022,15791484381.69,11540623107.96
Sat Feb 05 2022,15876694635.76,11735789479.81
Sun Feb 06 2022,16040055682.15,11684549912.6
Mon Feb 07 2022,16084508012.48,11602486465.05
Tue Feb 08 2022,16155282978.58,11984167684.19
Wed Feb 09 2022,16332846504.46,12040039283.31
Thu Feb 10 2022,16152204405.66,12071070308.09
Fri Feb 11 2022,16000594784.76,12177643417.17
Sat Feb 12 2022,15917873903.42,12219722370.29
Sun Feb 13 2022,15926218168,12189138330.77
Mon Feb 14 2022,16209790902.61,12081713425.04
Tue Feb 15 2022,16103015465.28,12071319311.57
Wed Feb 16 2022,15612739936.95,12138871911.77
Thu Feb 17 2022,15645372856.52,12443687444.82
Fri Feb 18 2022,15569490633.56,12483495864.75
Sat Feb 19 2022,15330761765.02,12670902705.53
Sun Feb 20 2022,15113462348.83,12600755898.5
Mon Feb 21 2022,15216725773.13,12391761530.97
Tue Feb 22 2022,15085522856.69,11938761580.47
Wed Feb 23 2022,14957247316.13,11761657704.61
Thu Feb 24 2022,14449485467.72,11429855670.27
Fri Feb 25 2022,14279043518.65,11045385170.93
Sat Feb 26 2022,14343983951.99,11130840791.47
Sun Feb 27 2022,13994464426.29,10988400896.24
Mon Feb 28 2022,14379779724.24,11009156744.42
Tue Mar 01 2022,14506470891.39,11163101309.67
Wed Mar 02 2022,14809109511.14,11525843268.41
Thu Mar 03 2022,14965912980.62,11515752816.76
Fri Mar 04 2022,14779495381.58,11484607690.32
