"Date","Active Addresses Count"
"2020-01-01","231794"
"2020-01-02","220624"
"2020-01-03","255934"
"2020-01-04","240546"
"2020-01-05","229160"
"2020-01-06","274755"
"2020-01-07","276248"
"2020-01-08","283219"
"2020-01-09","282797"
"2020-01-10","329508"
"2020-01-11","281332"
"2020-01-12","231191"
"2020-01-13","260729"
"2020-01-14","311555"
"2020-01-15","321562"
"2020-01-16","305974"
"2020-01-17","295218"
"2020-01-18","290720"
"2020-01-19","269233"
"2020-01-20","258251"
"2020-01-21","287729"
"2020-01-22","272179"
"2020-01-23","257578"
"2020-01-24","209705"
"2020-01-25","208598"
"2020-01-26","195000"
"2020-01-27","238758"
"2020-01-28","231471"
"2020-01-29","231564"
"2020-01-30","244211"
"2020-01-31","239398"
"2020-02-01","236095"
"2020-02-02","235359"
"2020-02-03","277543"
"2020-02-04","234304"
"2020-02-05","274536"
"2020-02-06","287091"
"2020-02-07","285999"
"2020-02-08","348397"
"2020-02-09","305845"
"2020-02-10","318635"
"2020-02-11","319771"
"2020-02-12","394534"
"2020-02-13","374630"
"2020-02-14","323942"
"2020-02-15","343999"
"2020-02-16","337792"
"2020-02-17","333123"
"2020-02-18","344572"
"2020-02-19","333141"
"2020-02-20","317504"
"2020-02-21","323587"
"2020-02-22","314925"
"2020-02-23","311622"
"2020-02-24","320273"
"2020-02-25","308551"
"2020-02-26","368983"
"2020-02-27","367385"
"2020-02-28","387502"
"2020-02-29","294354"
"2020-03-01","321679"
"2020-03-02","332395"
"2020-03-03","335468"
"2020-03-04","313708"
"2020-03-05","321218"
"2020-03-06","332267"
"2020-03-07","290494"
"2020-03-08","327289"
"2020-03-09","383558"
"2020-03-10","326753"
"2020-03-11","348656"
"2020-03-12","408928"
"2020-03-13","400311"
"2020-03-14","460743"
"2020-03-15","438224"
"2020-03-16","473741"
"2020-03-17","445445"
"2020-03-18","434714"
"2020-03-19","465615"
"2020-03-20","497777"
"2020-03-21","537404"
"2020-03-22","379207"
"2020-03-23","426308"
"2020-03-24","387996"
"2020-03-25","380672"
"2020-03-26","411661"
"2020-03-27","394055"
"2020-03-28","376618"
"2020-03-29","318335"
"2020-03-30","344397"
"2020-03-31","353932"
"2020-04-01","333042"
"2020-04-02","340841"
"2020-04-03","327371"
"2020-04-04","325061"
"2020-04-05","309777"
"2020-04-06","388788"
"2020-04-07","365713"
"2020-04-08","419382"
"2020-04-09","383729"
"2020-04-10","376454"
"2020-04-11","387711"
"2020-04-12","365811"
"2020-04-13","380405"
"2020-04-14","384946"
"2020-04-15","366353"
"2020-04-16","368015"
"2020-04-17","384794"
"2020-04-18","408020"
"2020-04-19","377254"
"2020-04-20","386452"
"2020-04-21","371823"
"2020-04-22","369457"
"2020-04-23","412555"
"2020-04-24","391035"
"2020-04-25","385847"
"2020-04-26","397842"
"2020-04-27","390999"
"2020-04-28","404598"
"2020-04-29","427482"
"2020-04-30","417656"
"2020-05-01","404034"
"2020-05-02","398595"
"2020-05-03","401201"
"2020-05-04","362848"
"2020-05-05","366254"
"2020-05-06","384165"
"2020-05-07","401731"
"2020-05-08","407113"
"2020-05-09","412090"
"2020-05-10","415159"
"2020-05-11","414250"
"2020-05-12","378729"
"2020-05-13","365732"
"2020-05-14","364002"
"2020-05-15","377934"
"2020-05-16","375179"
"2020-05-17","375674"
"2020-05-18","381426"
"2020-05-19","402897"
"2020-05-20","385900"
"2020-05-21","399759"
"2020-05-22","413266"
"2020-05-23","403516"
"2020-05-24","366826"
"2020-05-25","384146"
"2020-05-26","399709"
"2020-05-27","375085"
"2020-05-28","405928"
"2020-05-29","448382"
"2020-05-30","420854"
"2020-05-31","411586"
"2020-06-01","418707"
"2020-06-02","459219"
"2020-06-03","418567"
"2020-06-04","464243"
"2020-06-05","562284"
"2020-06-06","453437"
"2020-06-07","395673"
"2020-06-08","440239"
"2020-06-09","436143"
"2020-06-10","402483"
"2020-06-11","409839"
"2020-06-12","448201"
"2020-06-13","443429"
"2020-06-14","411985"
"2020-06-15","442189"
"2020-06-16","429484"
"2020-06-17","396283"
"2020-06-18","469733"
"2020-06-19","457647"
"2020-06-20","496236"
"2020-06-21","470005"
"2020-06-22","447809"
"2020-06-23","489995"
"2020-06-24","485760"
"2020-06-25","498356"
"2020-06-26","503748"
"2020-06-27","489823"
"2020-06-28","513042"
"2020-06-29","545051"
"2020-06-30","512942"
"2020-07-01","504674"
"2020-07-02","542715"
"2020-07-03","506616"
"2020-07-04","530885"
"2020-07-05","564010"
"2020-07-06","521875"
