"Date","Addresses with balance greater than $10"
"2020-01-01","3575935"
"2020-01-02","3550736"
"2020-01-03","3608345"
"2020-01-04","3610649"
"2020-01-05","3617445"
"2020-01-06","3685578"
"2020-01-07","3676311"
"2020-01-08","3650447"
"2020-01-09","3624212"
"2020-01-10","3674091"
"2020-01-11","3659958"
"2020-01-12","3684390"
"2020-01-13","3671330"
"2020-01-14","3808805"
"2020-01-15","3807703"
"2020-01-16","3797611"
"2020-01-17","3845275"
"2020-01-18","3867809"
"2020-01-19","3807491"
"2020-01-20","3803849"
"2020-01-21","3814697"
"2020-01-22","3802004"
"2020-01-23","3757735"
"2020-01-24","3757220"
"2020-01-25","3747926"
"2020-01-26","3793858"
"2020-01-27","3815533"
"2020-01-28","3845933"
"2020-01-29","3841784"
"2020-01-30","3906071"
"2020-01-31","3879971"
"2020-02-01","3904109"
"2020-02-02","3936030"
"2020-02-03","3938136"
"2020-02-04","3934048"
"2020-02-05","4174033"
"2020-02-06","4250324"
"2020-02-07","4313793"
"2020-02-08","4323364"
"2020-02-09","4350675"
"2020-02-10","4330357"
"2020-02-11","4397449"
"2020-02-12","4563847"
"2020-02-13","4573756"
"2020-02-14","4640906"
"2020-02-15","4569900"
"2020-02-16","4553020"
"2020-02-17","4581672"
"2020-02-18","4647901"
"2020-02-19","4555399"
"2020-02-20","4545446"
"2020-02-21","4582552"
"2020-02-22","4564537"
"2020-02-23","4621654"
"2020-02-24","4581825"
"2020-02-25","4478326"
"2020-02-26","4375783"
"2020-02-27","4366995"
"2020-02-28","4385994"
"2020-02-29","4327029"
"2020-03-01","4321929"
"2020-03-02","4394062"
"2020-03-03","4361973"
"2020-03-04","4364615"
"2020-03-05","4384084"
"2020-03-06","4454739"
"2020-03-07","4423874"
"2020-03-08","4179286"
"2020-03-09","4094774"
"2020-03-10","4110006"
"2020-03-11","3992532"
"2020-03-12","3294252"
"2020-03-13","3576782"
"2020-03-14","3448938"
"2020-03-15","3460002"
"2020-03-16","3289199"
"2020-03-17","3392414"
"2020-03-18","3386547"
"2020-03-19","3573802"
"2020-03-20","3525065"
"2020-03-21","3527482"
"2020-03-22","3415515"
"2020-03-23","3537433"
"2020-03-24","3555003"
"2020-03-25","3525310"
"2020-03-26","3537081"
"2020-03-27","3490445"
"2020-03-28","3458600"
"2020-03-29","3385555"
"2020-03-30","3455760"
"2020-03-31","3465717"
"2020-04-01","3487379"
"2020-04-02","3534656"
"2020-04-03","3540322"
"2020-04-04","3570195"
"2020-04-05","3562636"
"2020-04-06","3774498"
"2020-04-07","3727980"
"2020-04-08","3806820"
"2020-04-09","3786187"
"2020-04-10","3686270"
"2020-04-11","3696387"
"2020-04-12","3713380"
"2020-04-13","3675237"
"2020-04-14","3669557"
"2020-04-15","3604062"
"2020-04-16","3760629"
"2020-04-17","3736103"
"2020-04-18","3829691"
"2020-04-19","3760549"
"2020-04-20","3671512"
"2020-04-21","3667931"
"2020-04-22","3756836"
"2020-04-23","3779680"
"2020-04-24","3796050"
"2020-04-25","3843185"
"2020-04-26","3872705"
"2020-04-27","3878160"
"2020-04-28","3894178"
"2020-04-29","4216934"
"2020-04-30","4150306"
"2020-05-01","4218468"
"2020-05-02","4238250"
"2020-05-03","4214843"
"2020-05-04","4185889"
"2020-05-05","4166020"
"2020-05-06","4138279"
"2020-05-07","4268483"
"2020-05-08","4270031"
"2020-05-09","4263668"
"2020-05-10","3924694"
"2020-05-11","3920900"
"2020-05-12","3958578"
"2020-05-13","4046226"
"2020-05-14","4220906"
"2020-05-15","4020513"
"2020-05-16","4140955"
"2020-05-17","4294450"
"2020-05-18","4372914"
"2020-05-19","4374708"
"2020-05-20","4351976"
"2020-05-21","4093231"
"2020-05-22","4335956"
"2020-05-23","4340084"
"2020-05-24","4274870"
"2020-05-25","4322144"
"2020-05-26","4228889"
