"Date","Transaction Volume"
"2020-01-01","110372797.1939352"
"2020-01-02","176873032.65339243"
"2020-01-03","316357523.4563443"
"2020-01-04","187364768.9784391"
"2020-01-05","173200514.0025248"
"2020-01-06","301303622.68789625"
"2020-01-07","273346251.1836737"
"2020-01-08","355559641.43260586"
"2020-01-09","225182110.92829093"
"2020-01-10","215968121.33113444"
"2020-01-11","215761183.6191461"
"2020-01-12","162304757.98245248"
"2020-01-13","233957252.90345216"
"2020-01-14","523889883.90925187"
"2020-01-15","411551457.287217"
"2020-01-16","413432562.67709464"
"2020-01-17","333853654.74047655"
"2020-01-18","344407876.3294497"
"2020-01-19","244249570.27714276"
"2020-01-20","216105928.05735904"
"2020-01-21","205958962.53122073"
"2020-01-22","181107911.29806772"
"2020-01-23","221762434.89877865"
"2020-01-24","328062158.32688725"
"2020-01-25","92610749.79800943"
"2020-01-26","119438228.45044173"
"2020-01-27","249338055.39783472"
"2020-01-28","270661485.89080316"
"2020-01-29","267313194.61924595"
"2020-01-30","345515264.62118334"
"2020-01-31","404324685.18448967"
"2020-02-01","234839759.88959432"
"2020-02-02","283583202.51312065"
"2020-02-03","322171415.37573355"
"2020-02-04","356558870.78863907"
"2020-02-05","422979490.9807312"
"2020-02-06","585748604.5546012"
"2020-02-07","633117479.5138737"
"2020-02-08","337659683.9698641"
"2020-02-09","383277886.51681465"
"2020-02-10","496365554.6528157"
"2020-02-11","429514961.4862604"
"2020-02-12","942022474.0501603"
"2020-02-13","751924240.7004472"
"2020-02-14","670856256.17814"
"2020-02-15","633919063.5476729"
"2020-02-16","548877702.0839852"
"2020-02-17","856141724.143914"
"2020-02-18","887194090.922195"
"2020-02-19","710103752.1211498"
"2020-02-20","726512329.0233384"
"2020-02-21","519437309.5701737"
"2020-02-22","290584799.9586567"
"2020-02-23","396019048.2369152"
"2020-02-24","549262125.6431383"
"2020-02-25","545681758.5597079"
"2020-02-26","805778356.4018359"
"2020-02-27","737729435.7284739"
"2020-02-28","515332553.3522237"
"2020-02-29","290443804.0538069"
"2020-03-01","442637090.4021366"
"2020-03-02","659831680.4417032"
"2020-03-03","464089524.5392525"
"2020-03-04","403806720.47941643"
"2020-03-05","481443669.6567886"
"2020-03-06","620920020.3557154"
"2020-03-07","349275677.92976695"
"2020-03-08","492264332.5020555"
"2020-03-09","1026014391.6238406"
"2020-03-10","725439902.1883743"
"2020-03-11","623315924.6021999"
"2020-03-12","1450919006.7739987"
"2020-03-13","1494416210.787128"
"2020-03-14","500287701.9097154"
"2020-03-15","542636540.4958694"
"2020-03-16","939719704.6558033"
"2020-03-17","520335485.11832744"
"2020-03-18","403325153.71858144"
"2020-03-19","701683886.9075065"
"2020-03-20","611688250.8141817"
"2020-03-21","270469505.52007425"
"2020-03-22","255391135.6935103"
"2020-03-23","433863362.01344496"
"2020-03-24","766581400.7692356"
