Date,TVL,Adjusted TVL
Fri Jul 29 2022,7396554450.08,4494215899.85
Sat Jul 30 2022,7234760203.71,4540638947.73
Sun Jul 31 2022,7192833589.05,4553986786.9
Mon Aug 01 2022,6979825971.16,4585193393.58
Tue Aug 02 2022,6988960194.5,4921994687.06
Wed Aug 03 2022,6920235961.84,4841147485.85
Thu Aug 04 2022,6886811020.44,5072757742.83
Fri Aug 05 2022,7400517083.21,5295106271.01
Sat Aug 06 2022,7218934347.15,5259406797.51
Sun Aug 07 2022,7263077221.43,5206990376.97
Mon Aug 08 2022,7587140919.07,4990752964.27
Tue Aug 09 2022,7301763418.32,4686923965.27
Wed Aug 10 2022,7929894017.08,4451328832.39
Thu Aug 11 2022,8043913427.36,4774129346.37
Fri Aug 12 2022,8383583952.24,5094823733.26
Sat Aug 13 2022,8485012164.35,5271665274.27
Sun Aug 14 2022,8286605125.9,5798398306.85
Mon Aug 15 2022,8158386365.5,5720779253.85
Tue Aug 16 2022,8054171684.54,6738295367.3
Wed Aug 17 2022,7864730867.51,6605559274.26
Thu Aug 18 2022,6924190217.35,6487041966.34
Fri Aug 19 2022,6926657129.19,6744307916.74
Sat Aug 20 2022,6760562008.51,6587603151.07
Sun Aug 21 2022,6965165485.82,6653333337.38
Mon Aug 22 2022,6962296081.57,6850885283.95
Tue Aug 23 2022,7136360356.45,6220092116.21
Wed Aug 24 2022,7108024244.08,6184334938.78
Thu Aug 25 2022,7282265689.96,7026850718.73
Fri Aug 26 2022,6474048691.79,7406410230.68
Sat Aug 27 2022,6370339165.63,7445484490.79
