"Date","Active Addresses Count"
"2020-01-01","970"
"2020-01-02","1042"
"2020-01-03","1251"
"2020-01-04","939"
"2020-01-05","1033"
"2020-01-06","1252"
"2020-01-07","1528"
"2020-01-08","2135"
"2020-01-09","1619"
"2020-01-10","1563"
"2020-01-11","1473"
"2020-01-12","1747"
"2020-01-13","1173"
"2020-01-14","1926"
"2020-01-15","2002"
"2020-01-16","1684"
"2020-01-17","2655"
"2020-01-18","1795"
"2020-01-19","1675"
"2020-01-20","1430"
"2020-01-21","1701"
"2020-01-22","1300"
"2020-01-23","1476"
"2020-01-24","1390"
"2020-01-25","1184"
"2020-01-26","1647"
"2020-01-27","1412"
"2020-01-28","1544"
"2020-01-29","1692"
"2020-01-30","2105"
"2020-01-31","1792"
"2020-02-01","1554"
"2020-02-02","1620"
"2020-02-03","1408"
"2020-02-04","1649"
"2020-02-05","1781"
"2020-02-06","2020"
"2020-02-07","3228"
"2020-02-08","2622"
"2020-02-09","2887"
"2020-02-10","1992"
"2020-02-11","3348"
"2020-02-12","4566"
"2020-02-13","3419"
"2020-02-14","3227"
"2020-02-15","3831"
"2020-02-16","3673"
"2020-02-17","3327"
"2020-02-18","2856"
"2020-02-19","3225"
"2020-02-20","2986"
"2020-02-21","2331"
"2020-02-22","2193"
"2020-02-23","2101"
"2020-02-24","2569"
"2020-02-25","2940"
"2020-02-26","3182"
"2020-02-27","2895"
"2020-02-28","2936"
"2020-02-29","2734"
"2020-03-01","2980"
"2020-03-02","2897"
"2020-03-03","2963"
"2020-03-04","4661"
"2020-03-05","3643"
"2020-03-06","3251"
"2020-03-07","2661"
"2020-03-08","2962"
"2020-03-09","3677"
"2020-03-10","2571"
"2020-03-11","2638"
"2020-03-12","5615"
"2020-03-13","5653"
"2020-03-14","3027"
"2020-03-15","3535"
"2020-03-16","4335"
"2020-03-17","3037"
"2020-03-18","2902"
"2020-03-19","4329"
"2020-03-20","4165"
"2020-03-21","2522"
"2020-03-22","2221"
"2020-03-23","2396"
"2020-03-24","2505"
"2020-03-25","2117"
"2020-03-26","2428"
"2020-03-27","2120"
"2020-03-28","2204"
"2020-03-29","2422"
"2020-03-30","1961"
"2020-03-31","2156"
"2020-04-01","2143"
"2020-04-02","2261"
"2020-04-03","1939"
"2020-04-04","1869"
"2020-04-05","1639"
"2020-04-06","2465"
"2020-04-07","3280"
"2020-04-08","3282"
"2020-04-09","4664"
"2020-04-10","3530"
"2020-04-11","3241"
"2020-04-12","3848"
"2020-04-13","3101"
"2020-04-14","2766"
"2020-04-15","3034"
"2020-04-16","3305"
"2020-04-17","2851"
"2020-04-18","3316"
"2020-04-19","3049"
"2020-04-20","2981"
"2020-04-21","2923"
"2020-04-22","2969"
"2020-04-23","3581"
"2020-04-24","3274"
"2020-04-25","3428"
"2020-04-26","4103"
"2020-04-27","3347"
"2020-04-28","2909"
"2020-04-29","4191"
"2020-04-30","4185"
"2020-05-01","3340"
"2020-05-02","2856"
"2020-05-03","2791"
"2020-05-04","3066"
"2020-05-05","2979"
"2020-05-06","3224"
"2020-05-07","4122"
"2020-05-08","3984"
"2020-05-09","4593"
"2020-05-10","4880"
"2020-05-11","3932"
"2020-05-12","3591"
"2020-05-13","3327"
"2020-05-14","3517"
"2020-05-15","3768"
"2020-05-16","3550"
"2020-05-17","3241"
"2020-05-18","3335"
"2020-05-19","3104"
"2020-05-20","4106"
"2020-05-21","3742"
"2020-05-22","3919"
"2020-05-23","3257"
"2020-05-24","3632"
"2020-05-25","3089"
"2020-05-26","2905"
"2020-05-27","2820"
"2020-05-28","3046"
"2020-05-29","3568"
"2020-05-30","3302"
"2020-05-31","3220"
"2020-06-01","3696"
"2020-06-02","4015"
"2020-06-03","3110"
"2020-06-04","3341"
"2020-06-05","3241"
"2020-06-06","2959"
"2020-06-07","2975"
"2020-06-08","3871"
"2020-06-09","3413"
"2020-06-10","3542"
"2020-06-11","4593"
"2020-06-12","3659"
"2020-06-13","2865"
"2020-06-14","2797"
"2020-06-15","3899"
"2020-06-16","3488"
"2020-06-17","3283"
"2020-06-18","3299"
"2020-06-19","3274"
"2020-06-20","3824"
"2020-06-21","3506"
"2020-06-22","3789"
"2020-06-23","5530"
"2020-06-24","5014"
"2020-06-25","4247"
"2020-06-26","3764"
"2020-06-27","3832"
"2020-06-28","3771"
"2020-06-29","3504"
"2020-06-30","3699"
"2020-07-01","4875"
"2020-07-02","3660"
"2020-07-03","3879"
"2020-07-04","8311"
"2020-07-05","3680"
"2020-07-06","4604"
"2020-07-07","7411"
"2020-07-08","9264"
"2020-07-09","6717"
"2020-07-10","5100"
"2020-07-11","5541"
"2020-07-12","8758"
"2020-07-13","14255"
"2020-07-14","10476"
"2020-07-15","11219"
"2020-07-16","9564"
"2020-07-17","7677"
"2020-07-18","7634"
"2020-07-19","6651"
"2020-07-20","6841"
"2020-07-21","6935"
"2020-07-22","6909"
"2020-07-23","6496"
"2020-07-24","5978"
"2020-07-25","13840"
"2020-07-26","6894"
"2020-07-27","9179"
"2020-07-28","6253"
"2020-07-29","5409"
"2020-07-30","5016"
"2020-07-31","5717"
"2020-08-01","6251"
"2020-08-02","8207"
"2020-08-03","6240"
"2020-08-04","10071"
"2020-08-05","7212"
"2020-08-06","6822"
"2020-08-07","7948"
"2020-08-08","22623"
"2020-08-09","16771"
"2020-08-10","13241"
"2020-08-11","11144"
"2020-08-12","15141"
"2020-08-13","20799"
"2020-08-14","13613"
"2020-08-15","14872"
"2020-08-16","14360"
"2020-08-17","13048"
"2020-08-18","16069"
"2020-08-19","10711"
"2020-08-20","10109"
"2020-08-21","23288"
"2020-08-22","10095"
"2020-08-23","8588"
"2020-08-24","7807"
"2020-08-25","7991"
"2020-08-26","7292"
"2020-08-27","7251"
"2020-08-28","6934"
"2020-08-29","8088"
"2020-08-30","8284"
"2020-08-31","8112"
"2020-09-01","8748"
"2020-09-02","8225"
"2020-09-03","8563"
"2020-09-04","9481"
"2020-09-05","8008"
"2020-09-06","10975"
"2020-09-07","6821"
"2020-09-08","6396"
"2020-09-09","7018"
"2020-09-10","6243"
"2020-09-11","5929"
"2020-09-12","6078"
"2020-09-13","5709"
"2020-09-14","5552"
"2020-09-15","6067"
"2020-09-16","6351"
"2020-09-17","5979"
"2020-09-18","7476"
"2020-09-19","6185"
"2020-09-20","6036"
"2020-09-21","7560"
"2020-09-22","5860"
"2020-09-23","6822"
"2020-09-24","8774"
"2020-09-25","6893"
"2020-09-26","5568"
"2020-09-27","4763"
"2020-09-28","4877"
"2020-09-29","4777"
"2020-09-30","4495"
"2020-10-01","5057"
"2020-10-02","5907"
"2020-10-03","4200"
"2020-10-04","4605"
"2020-10-05","4243"
"2020-10-06","4458"
"2020-10-07","4718"
"2020-10-08","4724"
"2020-10-09","5104"
"2020-10-10","4659"
"2020-10-11","4186"
"2020-10-12","5593"
"2020-10-13","4683"
