"Date","Addresses with balance greater than $10"
"2020-01-01","54488"
"2020-01-02","54529"
"2020-01-03","54693"
"2020-01-04","54808"
"2020-01-05","54903"
"2020-01-06","55195"
"2020-01-07","55789"
"2020-01-08","56123"
"2020-01-09","56062"
"2020-01-10","56343"
"2020-01-11","56586"
"2020-01-12","56671"
"2020-01-13","56709"
"2020-01-14","57222"
"2020-01-15","57406"
"2020-01-16","57615"
"2020-01-17","57969"
"2020-01-18","58218"
"2020-01-19","58257"
"2020-01-20","58505"
"2020-01-21","58341"
"2020-01-22","58458"
"2020-01-23","58276"
"2020-01-24","58445"
"2020-01-25","58522"
"2020-01-26","58815"
"2020-01-27","59009"
"2020-01-28","59200"
"2020-01-29","59503"
"2020-01-30","59759"
"2020-01-31","59725"
"2020-02-01","59890"
"2020-02-02","60095"
"2020-02-03","60131"
"2020-02-04","60281"
"2020-02-05","60558"
"2020-02-06","60792"
"2020-02-07","61607"
"2020-02-08","62049"
"2020-02-09","62289"
"2020-02-10","62444"
"2020-02-11","63530"
"2020-02-12","63851"
"2020-02-13","63853"
"2020-02-14","64926"
"2020-02-15","65414"
"2020-02-16","65991"
"2020-02-17","65978"
"2020-02-18","66578"
"2020-02-19","66750"
"2020-02-20","66679"
"2020-02-21","66997"
"2020-02-22","66943"
"2020-02-23","67472"
"2020-02-24","67282"
"2020-02-25","66993"
"2020-02-26","67338"
"2020-02-27","68057"
"2020-02-28","68536"
"2020-02-29","68736"
"2020-03-01","68645"
"2020-03-02","69030"
"2020-03-03","69779"
"2020-03-04","70166"
"2020-03-05","70627"
"2020-03-06","70603"
"2020-03-07","70651"
"2020-03-08","70654"
"2020-03-09","70796"
"2020-03-10","71138"
"2020-03-11","70970"
"2020-03-12","68964"
"2020-03-13","70305"
"2020-03-14","69943"
"2020-03-15","70083"
"2020-03-16","69499"
"2020-03-17","70063"
"2020-03-18","70381"
"2020-03-19","71911"
"2020-03-20","71856"
"2020-03-21","71839"
"2020-03-22","71161"
"2020-03-23","72336"
"2020-03-24","72821"
"2020-03-25","72977"
"2020-03-26","72944"
"2020-03-27","72976"
"2020-03-28","73106"
"2020-03-29","73141"
"2020-03-30","73618"
"2020-03-31","74176"
"2020-04-01","74453"
"2020-04-02","74736"
"2020-04-03","74955"
"2020-04-04","74971"
"2020-04-05","75083"
"2020-04-06","75734"
"2020-04-07","76369"
"2020-04-08","77445"
"2020-04-09","77691"
"2020-04-10","77917"
"2020-04-11","78106"
"2020-04-12","78795"
"2020-04-13","78955"
"2020-04-14","79077"
"2020-04-15","79329"
"2020-04-16","80182"
"2020-04-17","80507"
"2020-04-18","81451"
"2020-04-19","81637"
"2020-04-20","81711"
"2020-04-21","82139"
"2020-04-22","82833"
"2020-04-23","83503"
"2020-04-24","83957"
"2020-04-25","84124"
"2020-04-26","84419"
"2020-04-27","84699"
"2020-04-28","85050"
"2020-04-29","85847"
"2020-04-30","86081"
"2020-05-01","86561"
"2020-05-02","86857"
"2020-05-03","87009"
"2020-05-04","87457"
"2020-05-05","87709"
"2020-05-06","88067"
"2020-05-07","88574"
"2020-05-08","89176"
"2020-05-09","90054"
"2020-05-10","90187"
"2020-05-11","90475"
"2020-05-12","91087"
"2020-05-13","91654"
"2020-05-14","92149"
"2020-05-15","92401"
"2020-05-16","92881"
"2020-05-17","93305"
"2020-05-18","93890"
"2020-05-19","94279"
"2020-05-20","95043"
"2020-05-21","95092"
"2020-05-22","96027"
"2020-05-23","96215"
"2020-05-24","96430"
"2020-05-25","96918"
"2020-05-26","97221"
"2020-05-27","97573"
"2020-05-28","98151"
"2020-05-29","98435"
"2020-05-30","98899"
"2020-05-31","99131"
"2020-06-01","99860"
"2020-06-02","100321"
"2020-06-03","100648"
"2020-06-04","101030"
"2020-06-05","101331"
"2020-06-06","101664"
"2020-06-07","101903"
"2020-06-08","102341"
"2020-06-09","102703"
"2020-06-10","103058"
"2020-06-11","102942"
"2020-06-12","103569"
"2020-06-13","103886"
"2020-06-14","103873"
"2020-06-15","104286"
"2020-06-16","104739"
"2020-06-17","105041"
"2020-06-18","105348"
"2020-06-19","105606"
"2020-06-20","105753"
"2020-06-21","105953"
"2020-06-22","106543"
"2020-06-23","107425"
"2020-06-24","107714"
"2020-06-25","108192"
"2020-06-26","108434"
"2020-06-27","108486"
"2020-06-28","108923"
"2020-06-29","109358"
"2020-06-30","109711"
"2020-07-01","108760"
"2020-07-02","109179"
"2020-07-03","109482"
"2020-07-04","104518"
"2020-07-05","104739"
"2020-07-06","106171"
"2020-07-07","107271"
"2020-07-08","109301"
"2020-07-09","109230"
"2020-07-10","109791"
"2020-07-11","109598"
"2020-07-12","110686"
"2020-07-13","111859"
"2020-07-14","112489"
"2020-07-15","114050"
"2020-07-16","114943"
"2020-07-17","115427"
"2020-07-18","115551"
"2020-07-19","116087"
"2020-07-20","116317"
"2020-07-21","116851"
"2020-07-22","116442"
"2020-07-23","117342"
"2020-07-24","117589"
"2020-07-25","118015"
"2020-07-26","118288"
"2020-07-27","118404"
"2020-07-28","119076"
"2020-07-29","119415"
"2020-07-30","120073"
"2020-07-31","120857"
"2020-08-01","121815"
"2020-08-02","122466"
"2020-08-03","123412"
"2020-08-04","124790"
"2020-08-05","125526"
"2020-08-06","128046"
"2020-08-07","128904"
"2020-08-08","124581"
"2020-08-09","127288"
"2020-08-10","128514"
"2020-08-11","128292"
"2020-08-12","132246"
"2020-08-13","136552"
"2020-08-14","138153"
"2020-08-15","141017"
"2020-08-16","142053"
"2020-08-17","142995"
"2020-08-18","143955"
"2020-08-19","145436"
"2020-08-20","146136"
"2020-08-21","145160"
"2020-08-22","146872"
"2020-08-23","147287"
"2020-08-24","147673"
"2020-08-25","147783"
"2020-08-26","149189"
"2020-08-27","149765"
"2020-08-28","150872"
"2020-08-29","152310"
"2020-08-30","153546"
"2020-08-31","154355"
"2020-09-01","155892"
"2020-09-02","156329"
"2020-09-03","155356"
"2020-09-04","156502"
"2020-09-05","156188"
"2020-09-06","156080"
"2020-09-07","156008"
"2020-09-08","155857"
"2020-09-09","156354"
"2020-09-10","157184"
"2020-09-11","157552"
"2020-09-12","158175"
"2020-09-13","157969"
"2020-09-14","158769"
"2020-09-15","158168"
"2020-09-16","158350"
"2020-09-17","159487"
"2020-09-18","159565"
"2020-09-19","160143"
"2020-09-20","158017"
"2020-09-21","157725"
"2020-09-22","158246"
"2020-09-23","157874"
"2020-09-24","158636"
"2020-09-25","162498"
"2020-09-26","162644"
"2020-09-27","163393"
"2020-09-28","163482"
"2020-09-29","163572"
"2020-09-30","161440"
"2020-10-01","161631"
"2020-10-02","161721"
"2020-10-03","161819"
"2020-10-04","162268"
"2020-10-05","162778"
"2020-10-06","162229"
"2020-10-07","162697"
"2020-10-08","163676"
"2020-10-09","167410"
"2020-10-10","167968"
"2020-10-11","168563"
"2020-10-12","169694"
"2020-10-13","169588"
"2020-10-14","169805"
"2020-10-15","169297"
"2020-10-16","169696"
"2020-10-17","169935"
"2020-10-18","170375"
"2020-10-19","170750"
"2020-10-20","167029"
"2020-10-21","171344"
"2020-10-22","172982"
"2020-10-23","173490"
"2020-10-24","174762"
"2020-10-25","174588"
"2020-10-26","174885"
"2020-10-27","175431"
"2020-10-28","175322"
"2020-10-29","175729"
"2020-10-30","175315"
"2020-10-31","175627"
"2020-11-01","176165"
"2020-11-02","176065"
"2020-11-03","176101"
"2020-11-04","176626"
"2020-11-05","177677"
"2020-11-06","179701"
"2020-11-07","179787"
"2020-11-08","181040"
"2020-11-09","181377"
"2020-11-10","182408"
"2020-11-11","182626"
"2020-11-12","180748"
"2020-11-13","181910"
"2020-11-14","182203"
"2020-11-15","181973"
"2020-11-16","183206"
"2020-11-17","184565"
"2020-11-18","185669"
"2020-11-19","186080"
"2020-11-20","187695"
"2020-11-21","190020"
"2020-11-22","189838"
"2020-11-23","191560"
"2020-11-24","193200"
"2020-11-25","192423"
"2020-11-26","189562"
"2020-11-27","184065"
"2020-11-28","185208"
"2020-11-29","186035"
"2020-11-30","188045"
"2020-12-01","187643"
"2020-12-02","189166"
"2020-12-03","189599"
"2020-12-04","188659"
"2020-12-05","189402"
"2020-12-06","190129"
"2020-12-07","189666"
"2020-12-08","188803"
"2020-12-09","190033"
"2020-12-10","189184"
"2020-12-11","189065"
"2020-12-12","190243"
"2020-12-13","191657"
"2020-12-14","192260"
"2020-12-15","192333"
"2020-12-16","194029"
"2020-12-17","194871"
"2020-12-18","195538"
"2020-12-19","195828"
"2020-12-20","195561"
"2020-12-21","194724"
"2020-12-22","195626"
"2020-12-23","194048"
"2020-12-24","195301"
"2020-12-25","196053"
"2020-12-26","195879"
"2020-12-27","198567"
"2020-12-28","199495"
"2020-12-29","198912"
"2020-12-30","199052"
"2020-12-31","198689"
"2021-01-01","200041"
"2021-01-02","201464"
"2021-01-03","205843"
"2021-01-04","207247"
"2021-01-05","210784"
"2021-01-06","216503"
"2021-01-07","217183"
"2021-01-08","217747"
"2021-01-09","222622"
"2021-01-10","222573"
"2021-01-11","221305"
"2021-01-12","220304"
"2021-01-13","225273"
"2021-01-14","229201"
"2021-01-15","233853"
"2021-01-16","236281"
"2021-01-17","240938"
"2021-01-18","242202"
"2021-01-19","243080"
"2021-01-20","245565"
"2021-01-21","243600"
"2021-01-22","248562"
"2021-01-23","253182"
"2021-01-24","255072"
"2021-01-25","256386"
"2021-01-26","257382"
"2021-01-27","256848"
"2021-01-28","260670"
"2021-01-29","263239"
"2021-01-30","266350"
"2021-01-31","267777"
"2021-02-01","270292"
"2021-02-02","273200"
"2021-02-03","276657"
"2021-02-04","278608"
"2021-02-05","282956"
"2021-02-06","283556"
"2021-02-07","285028"
"2021-02-08","287758"
"2021-02-09","292013"
"2021-02-10","293753"
"2021-02-11","296003"
"2021-02-12","300785"
"2021-02-13","305351"
"2021-02-14","306980"
"2021-02-15","305833"
"2021-02-16","305212"
"2021-02-17","307180"
"2021-02-18","306187"
"2021-02-19","309534"
"2021-02-20","312462"
"2021-02-21","314817"
"2021-02-22","315895"
"2021-02-23","315494"
"2021-02-24","317882"
"2021-02-25","318341"
"2021-02-26","319447"
"2021-02-27","320761"
"2021-02-28","320920"
"2021-03-01","323822"
"2021-03-02","327094"
"2021-03-03","326798"
