"Date","Transaction Volume"
"2020-01-01","2100533.3699914184"
"2020-01-02","3018926.281637513"
"2020-01-03","2281947.8237366667"
"2020-01-04","1881042.5614474113"
"2020-01-05","3158335.2123049274"
"2020-01-06","4781532.5100781685"
"2020-01-07","9881451.849659493"
"2020-01-08","15075597.408003673"
"2020-01-09","12279441.278220162"
"2020-01-10","8666190.305937456"
"2020-01-11","10334459.838510519"
"2020-01-12","4991927.311766484"
"2020-01-13","5384303.607773303"
"2020-01-14","12728993.905169867"
"2020-01-15","14151178.03649958"
"2020-01-16","8597157.403900808"
"2020-01-17","23305157.43108339"
"2020-01-18","13871873.941773877"
"2020-01-19","9264494.660947934"
"2020-01-20","9834414.56774805"
"2020-01-21","7518181.644537831"
"2020-01-22","6575086.472764379"
"2020-01-23","11518859.493935041"
"2020-01-24","7176911.993855305"
"2020-01-25","5141118.94102412"
"2020-01-26","4853829.999586625"
"2020-01-27","6477367.252346275"
"2020-01-28","4037030.48909929"
"2020-01-29","13862376.262775348"
"2020-01-30","12736362.13796605"
"2020-01-31","15430867.466603784"
"2020-02-01","6299895.442579846"
"2020-02-02","20649997.56329422"
"2020-02-03","20429022.59942136"
"2020-02-04","9174789.729752883"
"2020-02-05","10973041.915373102"
"2020-02-06","11363199.862282922"
"2020-02-07","40607671.51131279"
"2020-02-08","23463420.377603136"
"2020-02-09","21354716.700996067"
"2020-02-10","26388323.605124716"
"2020-02-11","56382188.83022601"
"2020-02-12","162795001.07585803"
"2020-02-13","34787411.91621229"
"2020-02-14","42901379.02431"
"2020-02-15","38967831.58340637"
"2020-02-16","69619203.53339365"
"2020-02-17","63941093.87181314"
"2020-02-18","21643984.682139236"
"2020-02-19","45001270.77991298"
"2020-02-20","30262287.493764386"
"2020-02-21","18561727.950288545"
"2020-02-22","15538242.225085411"
"2020-02-23","12800340.767421773"
"2020-02-24","22559728.55023963"
"2020-02-25","35073834.699291535"
"2020-02-26","38339689.16890876"
"2020-02-27","27971729.24903918"
"2020-02-28","30071518.068137903"
"2020-02-29","24421619.41919695"
"2020-03-01","23779063.127374157"
"2020-03-02","26133585.831763066"
"2020-03-03","34793671.235437766"
"2020-03-04","69208492.41444263"
"2020-03-05","30409063.294478282"
"2020-03-06","37757985.414217524"
"2020-03-07","15596193.827131456"
