Date,TVL,Adjusted TVL
Sun Aug 29 2021,1746139914.93,215638874.34
Mon Aug 30 2021,1740840047.67,230916540.84
Tue Aug 31 2021,1857656674.81,232572506.91
Wed Sep 01 2021,2032326337.73,255584461.54
Thu Sep 02 2021,2039246980.84,237528182.6
Fri Sep 03 2021,2107548561.93,202556104.54
Sat Sep 04 2021,2096904412.47,209397568.23
Sun Sep 05 2021,2128981366.07,179485766.59
Mon Sep 06 2021,2123219446.31,190689028.93
Tue Sep 07 2021,1862205464.08,190077926.38
Wed Sep 08 2021,1896945401.18,182110279.87
Thu Sep 09 2021,1860583951.63,190089113.5
Fri Sep 10 2021,1740937207.52,199305261.07
Sat Sep 11 2021,1719576070.06,196784872.39
Sun Sep 12 2021,1782332397.66,201857001.27
Mon Sep 13 2021,1716666565.47,190491616.63
Tue Sep 14 2021,1782558027.85,196123073.49
Wed Sep 15 2021,1883541475.24,189890640.75
Thu Sep 16 2021,1864382417.44,190585328.83
Fri Sep 17 2021,1775751661.98,202873982.17
Sat Sep 18 2021,1686209312.69,187599167.36
Sun Sep 19 2021,1631590140.46,188412990.12
Mon Sep 20 2021,1510361301.56,190738166.61
Tue Sep 21 2021,1412741547.46,177495876.14
Wed Sep 22 2021,1591624160.36,178774607.97
Thu Sep 23 2021,1639232050.18,167051137.74
Fri Sep 24 2021,1528159065.03,181839527.41
Sat Sep 25 2021,1534473538.07,183486098.3
Sun Sep 26 2021,1591368112.47,184913107.59
Mon Sep 27 2021,1542642133.16,186672730.91
Tue Sep 28 2021,1472486500.85,186041759.61
Wed Sep 29 2021,1495530669.44,188391549.18
Thu Sep 30 2021,1577335146.73,187727734.3
Fri Oct 01 2021,1729372081.25,184877921.51
Sat Oct 02 2021,1776238392.93,181319161.89
Sun Oct 03 2021,1817879165.94,184105871.9
Mon Oct 04 2021,1805730826.23,186882758.98
Tue Oct 05 2021,1873275343.24,187819510.59
Wed Oct 06 2021,1898207082.46,179283377.84
Thu Oct 07 2021,1893810137.49,180141234.28
Fri Oct 08 2021,1879739872.92,184642413.13
Sat Oct 09 2021,1880686919.11,191479972.91
Sun Oct 10 2021,1804128841.71,195039783.49
Mon Oct 11 2021,1859302450.37,197032729.52
Tue Oct 12 2021,1847761265.08,204628318.65
Wed Oct 13 2021,1944713935.82,205911289.22
Thu Oct 14 2021,2045703810.22,205051702.87
Fri Oct 15 2021,1665054932.84,162323817.26
Sat Oct 16 2021,1655243358.23,157611453.2
Sun Oct 17 2021,1645613443.83,158181693.93
Mon Oct 18 2021,1600457055.95,160955541.24
Tue Oct 19 2021,1650761278.86,161505317.02
Wed Oct 20 2021,1768261304.02,157142819.52
Thu Oct 21 2021,1743748259.04,167258127.58
Fri Oct 22 2021,1706963311.67,176999321.3
Sat Oct 23 2021,1787687361.84,175120202.61
Sun Oct 24 2021,1694507989.74,171113043.34
Mon Oct 25 2021,1766011139.44,169896858.49
Tue Oct 26 2021,1730572270.27,164971165.18
Wed Oct 27 2021,1646500852.24,168684304.91
Thu Oct 28 2021,1790885503.59,162857110.56
Fri Oct 29 2021,1843730750.2,160910681.39
Sat Oct 30 2021,1890746016.7,167190674.06
Sun Oct 31 2021,1845714761.21,165776713.31
Mon Nov 01 2021,1857876846.3,169872830.57
Tue Nov 02 2021,1969630147.44,164028314.47
Wed Nov 03 2021,1969736905.25,166273409.71
Thu Nov 04 2021,1950002947.52,171670164.24
Fri Nov 05 2021,1926297718.2,178304753.7
Sat Nov 06 2021,1942572574.67,195549425.93
Sun Nov 07 2021,2037566930.19,191981476.68
Mon Nov 08 2021,2123357794.56,201510603.67
Tue Nov 09 2021,2097853721.65,196094903.87
Wed Nov 10 2021,2058632237.68,200155388.34
Thu Nov 11 2021,2109104241.89,205743115.66
Fri Nov 12 2021,2091954329.92,206472130.12
Sat Nov 13 2021,2080022882.82,212205112.78
Sun Nov 14 2021,2077638851.68,207093626.75
Mon Nov 15 2021,2056443667.9,201229306.57
Tue Nov 16 2021,1940851110.84,210030210.49
