"Date","Active Addresses Count"
"2020-01-01","195"
"2020-01-02","226"
"2020-01-03","246"
"2020-01-04","206"
"2020-01-05","233"
"2020-01-06","224"
"2020-01-07","241"
"2020-01-08","283"
"2020-01-09","218"
"2020-01-10","214"
"2020-01-11","202"
"2020-01-12","179"
"2020-01-13","185"
"2020-01-14","284"
"2020-01-15","314"
"2020-01-16","253"
"2020-01-17","305"
"2020-01-18","280"
"2020-01-19","264"
"2020-01-20","289"
"2020-01-21","268"
"2020-01-22","211"
"2020-01-23","190"
"2020-01-24","174"
"2020-01-25","161"
"2020-01-26","160"
"2020-01-27","194"
"2020-01-28","293"
"2020-01-29","251"
"2020-01-30","220"
"2020-01-31","209"
"2020-02-01","181"
"2020-02-02","219"
"2020-02-03","191"
"2020-02-04","213"
"2020-02-05","270"
"2020-02-06","278"
"2020-02-07","323"
"2020-02-08","272"
"2020-02-09","290"
"2020-02-10","278"
"2020-02-11","290"
"2020-02-12","389"
"2020-02-13","366"
"2020-02-14","293"
"2020-02-15","302"
"2020-02-16","296"
"2020-02-17","276"
"2020-02-18","292"
"2020-02-19","491"
"2020-02-20","298"
"2020-02-21","221"
"2020-02-22","204"
"2020-02-23","214"
"2020-02-24","219"
"2020-02-25","246"
"2020-02-26","264"
"2020-02-27","255"
"2020-02-28","263"
"2020-02-29","183"
"2020-03-01","199"
"2020-03-02","173"
"2020-03-03","219"
"2020-03-04","221"
"2020-03-05","206"
"2020-03-06","236"
"2020-03-07","284"
"2020-03-08","348"
"2020-03-09","376"
"2020-03-10","286"
"2020-03-11","282"
"2020-03-12","859"
"2020-03-13","854"
"2020-03-14","538"
"2020-03-15","556"
"2020-03-16","675"
"2020-03-17","457"
"2020-03-18","452"
"2020-03-19","475"
"2020-03-20","417"
"2020-03-21","278"
"2020-03-22","326"
"2020-03-23","300"
"2020-03-24","319"
"2020-03-25","325"
"2020-03-26","418"
"2020-03-27","372"
"2020-03-28","260"
"2020-03-29","244"
"2020-03-30","274"
"2020-03-31","265"
"2020-04-01","292"
"2020-04-02","305"
"2020-04-03","263"
"2020-04-04","233"
"2020-04-05","245"
"2020-04-06","354"
"2020-04-07","302"
"2020-04-08","256"
"2020-04-09","268"
"2020-04-10","303"
"2020-04-11","225"
"2020-04-12","259"
"2020-04-13","304"
"2020-04-14","271"
"2020-04-15","303"
"2020-04-16","373"
"2020-04-17","311"
"2020-04-18","303"
"2020-04-19","310"
"2020-04-20","299"
"2020-04-21","226"
"2020-04-22","254"
"2020-04-23","264"
"2020-04-24","223"
"2020-04-25","231"
"2020-04-26","225"
"2020-04-27","175"
"2020-04-28","231"
"2020-04-29","290"
"2020-04-30","366"
"2020-05-01","278"
"2020-05-02","266"
"2020-05-03","260"
"2020-05-04","229"
"2020-05-05","235"
"2020-05-06","305"
"2020-05-07","282"
"2020-05-08","325"
"2020-05-09","340"
"2020-05-10","427"
"2020-05-11","263"
"2020-05-12","192"
"2020-05-13","204"
"2020-05-14","192"
"2020-05-15","220"
"2020-05-16","213"
"2020-05-17","199"
"2020-05-18","274"
"2020-05-19","236"
"2020-05-20","275"
"2020-05-21","222"
"2020-05-22","248"
"2020-05-23","244"
"2020-05-24","256"
"2020-05-25","245"
"2020-05-26","223"
"2020-05-27","210"
"2020-05-28","207"
"2020-05-29","1008"
"2020-05-30","730"
"2020-05-31","474"
"2020-06-01","438"
"2020-06-02","530"
"2020-06-03","449"
"2020-06-04","389"
"2020-06-05","431"
"2020-06-06","482"
"2020-06-07","573"
"2020-06-08","1003"
"2020-06-09","1917"
"2020-06-10","1125"
"2020-06-11","1131"
"2020-06-12","1049"
"2020-06-13","737"
"2020-06-14","670"
"2020-06-15","779"
"2020-06-16","854"
"2020-06-17","588"
"2020-06-18","597"
"2020-06-19","596"
"2020-06-20","504"
"2020-06-21","515"
"2020-06-22","596"
"2020-06-23","676"
"2020-06-24","623"
"2020-06-25","481"
"2020-06-26","452"
"2020-06-27","504"
"2020-06-28","419"
"2020-06-29","381"
"2020-06-30","477"
"2020-07-01","497"
"2020-07-02","474"
"2020-07-03","478"
"2020-07-04","526"
"2020-07-05","490"
"2020-07-06","434"
"2020-07-07","466"
"2020-07-08","504"
"2020-07-09","375"
"2020-07-10","374"
"2020-07-11","430"
"2020-07-12","376"
"2020-07-13","465"
"2020-07-14","405"
"2020-07-15","355"
"2020-07-16","314"
"2020-07-17","365"
"2020-07-18","336"
"2020-07-19","343"
"2020-07-20","333"
"2020-07-21","348"
"2020-07-22","445"
"2020-07-23","1768"
"2020-07-24","577"
"2020-07-25","483"
"2020-07-26","575"
"2020-07-27","504"
"2020-07-28","455"
"2020-07-29","448"
"2020-07-30","485"
"2020-07-31","428"
"2020-08-01","484"
"2020-08-02","515"
"2020-08-03","462"
"2020-08-04","464"
"2020-08-05","415"
"2020-08-06","432"
"2020-08-07","425"
"2020-08-08","371"
"2020-08-09","373"
"2020-08-10","509"
"2020-08-11","663"
"2020-08-12","2257"
"2020-08-13","1909"
"2020-08-14","1205"
"2020-08-15","890"
"2020-08-16","569"
"2020-08-17","599"
"2020-08-18","571"
"2020-08-19","687"
"2020-08-20","661"
"2020-08-21","523"
"2020-08-22","519"
"2020-08-23","490"
"2020-08-24","471"
"2020-08-25","447"
