"Date","Addresses with balance greater than $10"
"2020-01-01","11265"
"2020-01-02","11257"
"2020-01-03","11299"
"2020-01-04","11321"
"2020-01-05","11320"
"2020-01-06","11380"
"2020-01-07","11388"
"2020-01-08","11413"
"2020-01-09","11376"
"2020-01-10","11396"
"2020-01-11","11415"
"2020-01-12","11445"
"2020-01-13","11442"
"2020-01-14","11578"
"2020-01-15","11589"
"2020-01-16","11596"
"2020-01-17","11603"
"2020-01-18","11629"
"2020-01-19","11609"
"2020-01-20","11563"
"2020-01-21","11587"
"2020-01-22","11575"
"2020-01-23","11556"
"2020-01-24","11556"
"2020-01-25","11556"
"2020-01-26","11607"
"2020-01-27","11627"
"2020-01-28","11748"
"2020-01-29","11748"
"2020-01-30","11783"
"2020-01-31","11772"
"2020-02-01","11803"
"2020-02-02","11812"
"2020-02-03","11826"
"2020-02-04","11799"
"2020-02-05","11853"
"2020-02-06","11872"
"2020-02-07","11891"
"2020-02-08","11896"
"2020-02-09","11930"
"2020-02-10","11902"
"2020-02-11","11961"
"2020-02-12","11958"
"2020-02-13","12007"
"2020-02-14","12048"
"2020-02-15","12029"
"2020-02-16","12067"
"2020-02-17","12052"
"2020-02-18","12091"
"2020-02-19","12083"
"2020-02-20","12083"
"2020-02-21","12067"
"2020-02-22","12088"
"2020-02-23","11977"
"2020-02-24","12102"
"2020-02-25","12073"
"2020-02-26","11987"
"2020-02-27","12033"
"2020-02-28","12093"
"2020-02-29","12035"
"2020-03-01","12023"
"2020-03-02","12071"
"2020-03-03","12029"
"2020-03-04","12049"
"2020-03-05","12066"
"2020-03-06","12164"
"2020-03-07","12250"
"2020-03-08","12100"
"2020-03-09","12127"
"2020-03-10","12117"
"2020-03-11","12082"
"2020-03-12","11332"
"2020-03-13","11796"
"2020-03-14","11514"
"2020-03-15","11449"
"2020-03-16","11460"
"2020-03-17","11502"
"2020-03-18","11586"
"2020-03-19","11873"
"2020-03-20","11853"
"2020-03-21","11965"
"2020-03-22","11937"
"2020-03-23","12025"
"2020-03-24","12095"
"2020-03-25","12130"
"2020-03-26","12426"
"2020-03-27","12308"
"2020-03-28","12314"
"2020-03-29","12254"
"2020-03-30","12289"
"2020-03-31","12313"
"2020-04-01","12325"
"2020-04-02","12392"
"2020-04-03","12390"
"2020-04-04","12414"
"2020-04-05","12406"
"2020-04-06","12474"
"2020-04-07","12478"
"2020-04-08","12506"
"2020-04-09","12536"
"2020-04-10","12525"
"2020-04-11","12464"
"2020-04-12","12472"
"2020-04-13","12504"
"2020-04-14","12494"
"2020-04-15","12455"
"2020-04-16","12537"
"2020-04-17","12548"
"2020-04-18","12630"
"2020-04-19","12631"
"2020-04-20","12557"
"2020-04-21","12586"
"2020-04-22","12666"
"2020-04-23","12686"
"2020-04-24","12765"
"2020-04-25","12772"
"2020-04-26","12805"
"2020-04-27","12789"
"2020-04-28","12791"
"2020-04-29","12844"
"2020-04-30","12819"
"2020-05-01","12866"
"2020-05-02","12880"
"2020-05-03","12870"
"2020-05-04","12874"
"2020-05-05","12838"
"2020-05-06","12802"
"2020-05-07","12907"
"2020-05-08","12885"
"2020-05-09","12895"
"2020-05-10","12843"
"2020-05-11","12812"
"2020-05-12","12846"
"2020-05-13","12874"
"2020-05-14","12873"
"2020-05-15","12863"
"2020-05-16","12927"
"2020-05-17","13003"
"2020-05-18","12911"
"2020-05-19","12924"
"2020-05-20","12951"
"2020-05-21","12913"
"2020-05-22","12955"
"2020-05-23","13079"
"2020-05-24","13035"
"2020-05-25","13146"
"2020-05-26","13136"
"2020-05-27","13178"
"2020-05-28","13216"
"2020-05-29","13617"
"2020-05-30","13703"
"2020-05-31","13611"
"2020-06-01","13639"
"2020-06-02","13664"
"2020-06-03","13601"
"2020-06-04","13641"
"2020-06-05","13811"
"2020-06-06","13880"
"2020-06-07","14063"
"2020-06-08","14375"
"2020-06-09","15018"
"2020-06-10","15099"
"2020-06-11","15110"
"2020-06-12","14832"
"2020-06-13","14790"
"2020-06-14","14773"
"2020-06-15","14950"
"2020-06-16","14965"
"2020-06-17","14990"
"2020-06-18","14960"
"2020-06-19","14964"
"2020-06-20","14971"
"2020-06-21","14960"
"2020-06-22","15012"
"2020-06-23","14962"
"2020-06-24","14886"
"2020-06-25","14860"
"2020-06-26","14851"
"2020-06-27","14833"
"2020-06-28","14869"
"2020-06-29","14895"
"2020-06-30","14932"
"2020-07-01","14941"
"2020-07-02","14949"
"2020-07-03","14980"
"2020-07-04","15141"
"2020-07-05","15103"
"2020-07-06","15126"
"2020-07-07","15123"
"2020-07-08","15149"
"2020-07-09","15136"
"2020-07-10","15157"
"2020-07-11","15229"
"2020-07-12","15193"
"2020-07-13","15189"
"2020-07-14","15301"
"2020-07-15","15248"
"2020-07-16","15241"
"2020-07-17","15277"
"2020-07-18","15303"
"2020-07-19","15351"
"2020-07-20","15322"
"2020-07-21","15345"
"2020-07-22","15461"
"2020-07-23","15719"
"2020-07-24","15681"
"2020-07-25","15735"
"2020-07-26","15665"
"2020-07-27","15670"
"2020-07-28","15711"
"2020-07-29","15797"
