"Date","Transaction Volume"
"2020-01-01","437638.74468585127"
"2020-01-02","1354536.4377981136"
"2020-01-03","1551125.1658348937"
"2020-01-04","1210809.5496802826"
"2020-01-05","2015020.6277583574"
"2020-01-06","11993267.874179464"
"2020-01-07","44351072.04831638"
"2020-01-08","4432043.8953707935"
"2020-01-09","14182032.881844971"
"2020-01-10","830073.2585249841"
"2020-01-11","1596689.2256361165"
"2020-01-12","822039.0567706412"
"2020-01-13","1798956.6581970134"
"2020-01-14","2526663.276616381"
"2020-01-15","3739703.4795672954"
"2020-01-16","5525890.453868905"
"2020-01-17","24713042.83539618"
"2020-01-18","1835773.7227224596"
"2020-01-19","3902348.367622606"
"2020-01-20","23042960.763635788"
"2020-01-21","2557852.374054444"
"2020-01-22","2492144.383201813"
"2020-01-23","1203230.4010112786"
"2020-01-24","2330942.197979732"
"2020-01-25","668731.2495313506"
"2020-01-26","1570723.5370929923"
"2020-01-27","664071.0132200243"
"2020-01-28","5444319.568356241"
"2020-01-29","25474010.44125759"
"2020-01-30","2351589.348299531"
"2020-01-31","2226624.0592532028"
"2020-02-01","2287303.9923519325"
"2020-02-02","3540362.4717826806"
"2020-02-03","2178320.310869562"
"2020-02-04","3301867.7783470373"
"2020-02-05","2844921.831918798"
"2020-02-06","6540297.801214344"
"2020-02-07","10623725.835645618"
"2020-02-08","2699577.3305592113"
"2020-02-09","1184957.3552548275"
"2020-02-10","2045865.1659098305"
"2020-02-11","3927789.875176613"
"2020-02-12","3125428.5507687517"
"2020-02-13","7098718.328195925"
"2020-02-14","9029977.712313803"
"2020-02-15","2613281.1108574946"
"2020-02-16","6048891.229368096"
"2020-02-17","3227885.4515354326"
"2020-02-18","9144371.50286066"
"2020-02-19","20742488.17830909"
"2020-02-20","8534565.182398783"
"2020-02-21","9378949.49697456"
"2020-02-22","12925199.290697834"
"2020-02-23","1516737.1044811697"
"2020-02-24","3538785.244593493"
"2020-02-25","2892827.166211644"
"2020-02-26","2205247.486448823"
"2020-02-27","2133256.678903108"
"2020-02-28","13552807.195255987"
"2020-02-29","983843.0402633467"
"2020-03-01","1248177.9644894334"
"2020-03-02","1629118.4775941088"
"2020-03-03","1889503.196758713"
"2020-03-04","8978622.681423184"
"2020-03-05","2097632.980415076"
"2020-03-06","1900015.783385496"
"2020-03-07","3012156.8744128137"
"2020-03-08","4591915.308242213"
"2020-03-09","9897651.640397217"
"2020-03-10","3245327.592325662"
"2020-03-11","2904395.895538536"
"2020-03-12","11242798.991039436"
"2020-03-13","30278624.22950064"
"2020-03-14","7435802.918538211"
"2020-03-15","7212057.060443124"
"2020-03-16","9889168.769498508"
"2020-03-17","6613583.00921986"
"2020-03-18","7043075.988155969"
"2020-03-19","3132679.1048702463"
"2020-03-20","4977068.642150955"
"2020-03-21","2997873.4889815534"
"2020-03-22","850244.567604703"
"2020-03-23","3723646.4052765584"
"2020-03-24","21343325.935429353"
"2020-03-25","1071670.5845983482"
"2020-03-26","4330835.08574243"
"2020-03-27","5377046.466955357"
"2020-03-28","2940384.5771402405"
"2020-03-29","433848.052487514"
"2020-03-30","1022915.8726307278"
"2020-03-31","2235844.9714457327"
"2020-04-01","1295536.6366826026"
"2020-04-02","1881700.92882465"
"2020-04-03","2849497.419455108"
"2020-04-04","1113297.3408933375"
"2020-04-05","770552.8241318438"
"2020-04-06","3278790.616778994"
"2020-04-07","11741638.161071453"
"2020-04-08","1087169.383982519"
"2020-04-09","1343766.367602181"
"2020-04-10","1104617.4809387594"
"2020-04-11","1218529.5315564356"
"2020-04-12","821309.2992385145"
"2020-04-13","1478688.488041557"
"2020-04-14","1768355.8014000282"
"2020-04-15","1016373.0823970474"
"2020-04-16","3791221.1631718623"
"2020-04-17","1371854.5224627005"
"2020-04-18","2147212.782726349"
"2020-04-19","6561813.205830897"
"2020-04-20","4941136.099906131"
"2020-04-21","3575687.831327794"
"2020-04-22","11349487.89022676"
"2020-04-23","15290819.85831312"
"2020-04-24","8262278.807067487"
"2020-04-25","1919886.563128627"
"2020-04-26","3712505.7937072986"
"2020-04-27","11697194.277877705"
"2020-04-28","4022232.489328263"
"2020-04-29","4202222.544556807"
"2020-04-30","8168400.175368137"
"2020-05-01","2493462.749959452"
"2020-05-02","2424565.8525586464"
"2020-05-03","1872429.9362780028"
"2020-05-04","4872931.358070729"
"2020-05-05","2090642.2819938755"
"2020-05-06","3214671.30346659"
"2020-05-07","3353955.972114721"
"2020-05-08","3824964.131269156"
"2020-05-09","3056397.914802555"
"2020-05-10","2887436.9689967884"
"2020-05-11","2793751.7225413113"
"2020-05-12","1649068.235606265"
"2020-05-13","1976976.1869979692"
"2020-05-14","6555920.627929527"
"2020-05-15","2694229.930158498"
"2020-05-16","1092829.8863238823"
"2020-05-17","1228412.9828594746"
"2020-05-18","6885550.266999252"
"2020-05-19","2505951.2791562155"
"2020-05-20","1731624.7072447794"
"2020-05-21","1080389.7935465886"
"2020-05-22","4513778.082109849"
"2020-05-23","2772487.843197356"
"2020-05-24","2176020.6293383716"
"2020-05-25","4835551.015664808"
"2020-05-26","3869329.6323089437"
"2020-05-27","4652993.606942475"
"2020-05-28","7399185.03894138"
"2020-05-29","38654413.565541625"
"2020-05-30","10090078.816782782"
"2020-05-31","19411810.37915808"
"2020-06-01","6294541.430618611"
"2020-06-02","9314711.754660882"
"2020-06-03","10988588.689755406"
"2020-06-04","14161242.298310516"
"2020-06-05","5377525.377831861"
"2020-06-06","7780142.361218599"
"2020-06-07","11033789.293546438"
"2020-06-08","27735135.38080602"
"2020-06-09","97657192.97742032"
"2020-06-10","25444403.320247125"
"2020-06-11","39946706.21579527"
"2020-06-12","43245766.45274328"
"2020-06-13","6123690.59118329"
"2020-06-14","3153510.434994688"
"2020-06-15","10301540.297025027"
"2020-06-16","10351865.315512039"
"2020-06-17","4268278.19748408"
"2020-06-18","7444883.50475156"
"2020-06-19","4811036.257113063"
"2020-06-20","10692107.12768238"
"2020-06-21","9747923.760827687"
"2020-06-22","4222781.22767324"
"2020-06-23","5005057.534450695"
"2020-06-24","13032595.194549756"
"2020-06-25","4336523.631693976"
"2020-06-26","1936021.720209809"
"2020-06-27","2809454.056102156"
"2020-06-28","5680176.1078632055"
"2020-06-29","1311737.8588880824"
"2020-06-30","7100004.945976331"
"2020-07-01","7652736.927653906"
"2020-07-02","10144915.057723531"
"2020-07-03","3352677.4417618867"
"2020-07-04","7869139.145773539"
"2020-07-05","3773542.636285369"
"2020-07-06","5433827.875673501"
"2020-07-07","2571923.225210723"
"2020-07-08","4416445.595630109"
"2020-07-09","1708369.898069787"
"2020-07-10","3490394.205257876"
"2020-07-11","1573491.9025586124"
"2020-07-12","852977.1988335667"
"2020-07-13","1913615.7520058237"
"2020-07-14","2442564.3480670196"
"2020-07-15","1203242.5630286315"
"2020-07-16","961163.9927361469"
"2020-07-17","1875625.3999113138"
"2020-07-18","1795852.9082780762"
"2020-07-19","3216577.981611625"
"2020-07-20","1102676.7456891923"
"2020-07-21","1220053.1592943643"
"2020-07-22","4836705.996593307"
"2020-07-23","45255439.24289906"
"2020-07-24","7726095.07750777"
"2020-07-25","4880710.674205643"
"2020-07-26","6981536.019954534"
"2020-07-27","4020929.0393578084"
"2020-07-28","2602503.5625745626"
"2020-07-29","4623484.446058962"
"2020-07-30","8053383.871467682"
"2020-07-31","18483491.0961275"
"2020-08-01","9447912.840914432"
"2020-08-02","16003869.098227464"
"2020-08-03","12076341.22869002"
"2020-08-04","12651369.683339879"
"2020-08-05","2429105.522025232"
"2020-08-06","5335932.857724033"
"2020-08-07","4570751.079376253"
"2020-08-08","1596369.9102855902"
"2020-08-09","4783692.517615552"
"2020-08-10","10625630.660539666"
"2020-08-11","36548606.576745234"
"2020-08-12","222820056.16331306"
"2020-08-13","150375995.462298"
"2020-08-14","82067028.02662966"
"2020-08-15","19389985.710861564"
"2020-08-16","11826828.345642606"
"2020-08-17","13637006.510962954"
"2020-08-18","22495228.43978176"
"2020-08-19","105471414.29594976"
"2020-08-20","57833887.62871565"
"2020-08-21","44792877.08925417"
"2020-08-22","19164541.77061798"
"2020-08-23","10577107.97945491"
"2020-08-24","57505924.78032118"
"2020-08-25","40852416.65283697"
"2020-08-26","13590609.738825463"
"2020-08-27","6741561.446557846"
"2020-08-28","18073475.706563838"
"2020-08-29","9620714.601324057"
"2020-08-30","15783418.62576668"
"2020-08-31","8816869.41495922"
"2020-09-01","15099826.148362897"
"2020-09-02","7653869.17492718"
"2020-09-03","56926649.58356991"
"2020-09-04","15294607.18435256"
"2020-09-05","10198966.034557614"
"2020-09-06","4257333.50045438"
"2020-09-07","3741550.860429312"
"2020-09-08","12244730.973018557"
"2020-09-09","125704832.21143387"
"2020-09-10","8170616.886601628"
"2020-09-11","46834334.62707624"
"2020-09-12","12066710.581606826"
"2020-09-13","13656070.159672884"
"2020-09-14","26313767.761273205"
"2020-09-15","6861312.416377735"
"2020-09-16","30453348.72363574"
"2020-09-17","10962170.891213585"
"2020-09-18","6105979.779798098"
"2020-09-19","6695069.2195039345"
"2020-09-20","3332298.032517215"
"2020-09-21","18812632.190181095"
"2020-09-22","6743294.927594719"
"2020-09-23","11583211.201546548"
"2020-09-24","9892671.49987554"
"2020-09-25","16710232.847089728"
"2020-09-26","4929698.805006973"
"2020-09-27","11413352.94262737"
"2020-09-28","39382201.91430067"
"2020-09-29","44569024.99686031"
"2020-09-30","12030935.81018372"
"2020-10-01","10342854.83781577"
"2020-10-02","12615891.327229679"
"2020-10-03","9736739.390077751"
"2020-10-04","7659085.491356693"
"2020-10-05","5640037.506515014"
"2020-10-06","7854526.615647955"
"2020-10-07","9352997.986356292"
"2020-10-08","11394020.924516566"
"2020-10-09","17680097.343100257"
"2020-10-10","8765401.861767316"
"2020-10-11","2965311.4971801424"
"2020-10-12","5838855.051166909"
"2020-10-13","14342332.749227524"
"2020-10-14","5677910.220958937"
"2020-10-15","20855073.196148276"
"2020-10-16","30135734.879191756"
"2020-10-17","2129251.215140407"
"2020-10-18","2115615.4094002587"
"2020-10-19","3446358.051297525"
"2020-10-20","4654236.1015049"
"2020-10-21","59256135.047076374"
"2020-10-22","6079169.4534438355"
"2020-10-23","2013400.7562269997"
"2020-10-24","1957919.7018852422"
"2020-10-25","2331246.232119951"
"2020-10-26","47513103.052630275"
"2020-10-27","3613646.69694424"
"2020-10-28","10892346.960615458"
"2020-10-29","7253333.603477336"
"2020-10-30","5394569.200441097"
"2020-10-31","1415640.9065048643"
"2020-11-01","1643755.063476257"
"2020-11-02","39585675.504376374"
"2020-11-03","18073742.989853498"
"2020-11-04","10994033.45081003"
"2020-11-05","14160521.83091865"
"2020-11-06","19206015.759101346"
"2020-11-07","46913003.15602442"
"2020-11-08","10382037.969873792"
"2020-11-09","4828463.205999777"
"2020-11-10","12925665.926270973"
"2020-11-11","3568126.1449072342"
"2020-11-12","4588566.176766612"
"2020-11-13","2877659.7349250396"
"2020-11-14","16942265.255997285"
