"Date","Price (Close)"
"2022-04-27","0.126525"
"2022-04-28","0.122175"
"2022-04-29","0.119675"
"2022-04-30","0.113775"
"2022-05-01","0.114025"
"2022-05-02","0.112225"
"2022-05-03","0.107275"
"2022-05-04","0.110025"
"2022-05-05","0.103075"
"2022-05-06","0.1002"
"2022-05-07","0.0995"
"2022-05-08","0.096225"
"2022-05-09","0.0828"
"2022-05-10","0.0878"
"2022-05-11","0.076775"
"2022-05-12","0.07295"
"2022-05-13","0.0715"
"2022-05-14","0.069975"
"2022-05-15","0.072175"
"2022-05-16","0.06815"
"2022-05-17","0.06995"
"2022-05-18","0.067"
"2022-05-19","0.069075"
"2022-05-20","0.066025"
"2022-05-21","0.064825"
"2022-05-22","0.0641"
"2022-05-23","0.062475"
"2022-05-24","0.06225"
"2022-05-25","0.06015"
"2022-05-26","0.055925"
"2022-05-27","0.0555"
"2022-05-28","0.056525"
"2022-05-29","0.0558"
"2022-05-30","0.05885"
"2022-05-31","0.056375"
"2022-06-01","0.055225"
"2022-06-02","0.055875"
"2022-06-03","0.0554"
"2022-06-04","0.05525"
"2022-06-05","0.0549"
"2022-06-06","0.05495"
"2022-06-07","0.051775"
"2022-06-08","0.052325"
"2022-06-09","0.051725"
"2022-06-10","0.050025"
"2022-06-11","0.048225"
"2022-06-12","0.047"
"2022-06-13","0.044625"
"2022-06-14","0.04225"
"2022-06-15","0.046325"
"2022-06-16","0.0461"
"2022-06-17","0.0487"
"2022-06-18","0.0473"
"2022-06-19","0.0498"
"2022-06-20","0.0529"
"2022-06-21","0.05135"
"2022-06-22","0.050325"
"2022-06-23","0.052"
"2022-06-24","0.0527"
"2022-06-25","0.0524"
"2022-06-26","0.0516"
"2022-06-27","0.051775"
"2022-06-28","0.051025"
"2022-06-29","0.04965"
"2022-06-30","0.0481"
"2022-07-01","0.048325"
"2022-07-02","0.04785"
"2022-07-03","0.0476"
"2022-07-04","0.04830319366115701"
"2022-07-05","0.046775"
"2022-07-06","0.046575"
"2022-07-07","0.04645"
"2022-07-08","0.0471"
"2022-07-09","0.04725"
"2022-07-10","0.0451"
"2022-07-11","0.043575"
"2022-07-12","0.0424"
"2022-07-13","0.0437"
"2022-07-14","0.044325"
"2022-07-15","0.04445"
"2022-07-16","0.046125"
"2022-07-17","0.0447"
"2022-07-18","0.047925"
"2022-07-19","0.048875"
"2022-07-20","0.046725"
"2022-07-21","0.047945869999999995"
"2022-07-22","0.0467"
"2022-07-23","0.0473"
"2022-07-24","0.047375"
"2022-07-25","0.044775"
"2022-07-26","0.044825"
"2022-07-27","0.04805"
"2022-07-28","0.049875"
"2022-07-29","0.049625"
"2022-07-30","0.049425"
"2022-07-31","0.0492"
"2022-08-01","0.04895"
"2022-08-02","0.0485"
"2022-08-03","0.047725"
"2022-08-04","0.047425"
"2022-08-05","0.04885"
"2022-08-06","0.04825"
"2022-08-07","0.048675"
"2022-08-08","0.05045"
"2022-08-09","0.050525"
"2022-08-10","0.053125"
"2022-08-11","0.0495"
"2022-08-12","0.050525"
"2022-08-13","0.04995"
"2022-08-14","0.04975"
"2022-08-15","0.049175"
"2022-08-16","0.04945"
"2022-08-17","0.04895"
"2022-08-18","0.0486"
"2022-08-19","0.047325"
"2022-08-20","0.04753306442385633"
"2022-08-21","0.047025"
"2022-08-22","0.0459"
2022-08-23,0.046
2022-08-24,0.046
2022-08-25,0.047
2022-08-26,0.045
2022-08-27,0.044
2022-08-28,0.044
2022-08-29,0.044
2022-08-30,0.044
