"Date","Active Addresses Count"
"2020-08-26","0"
"2020-08-27","0"
"2020-08-28","1895"
"2020-08-29","3656"
"2020-08-30","5087"
"2020-08-31","8419"
"2020-09-01","14176"
"2020-09-02","9889"
"2020-09-03","8750"
"2020-09-04","7327"
"2020-09-05","8930"
"2020-09-06","7641"
"2020-09-07","5796"
"2020-09-08","5198"
"2020-09-09","6919"
"2020-09-10","6750"
"2020-09-11","7015"
"2020-09-12","5948"
"2020-09-13","10944"
"2020-09-14","4312"
"2020-09-15","4657"
"2020-09-16","2636"
"2020-09-17","2177"
"2020-09-18","2191"
"2020-09-19","2037"
"2020-09-20","1896"
"2020-09-21","2069"
"2020-09-22","1496"
"2020-09-23","1567"
"2020-09-24","1451"
"2020-09-25","1298"
"2020-09-26","1293"
"2020-09-27","1214"
"2020-09-28","1348"
"2020-09-29","1169"
"2020-09-30","1345"
"2020-10-01","1248"
"2020-10-02","1220"
"2020-10-03","1120"
"2020-10-04","1292"
"2020-10-05","1234"
"2020-10-06","1469"
"2020-10-07","1236"
"2020-10-08","1068"
"2020-10-09","1070"
"2020-10-10","1028"
"2020-10-11","1041"
"2020-10-12","1000"
"2020-10-13","916"
"2020-10-14","929"
"2020-10-15","869"
"2020-10-16","618"
"2020-10-17","873"
"2020-10-18","886"
"2020-10-19","724"
"2020-10-20","895"
"2020-10-21","943"
"2020-10-22","995"
"2020-10-23","798"
"2020-10-24","838"
"2020-10-25","560"
"2020-10-26","575"
"2020-10-27","665"
"2020-10-28","497"
"2020-10-29","467"
"2020-10-30","435"
"2020-10-31","405"
"2020-11-01","399"
"2020-11-02","450"
"2020-11-03","500"
"2020-11-04","571"
"2020-11-05","512"
"2020-11-06","508"
"2020-11-07","600"
"2020-11-08","440"
"2020-11-09","448"
"2020-11-10","501"
"2020-11-11","651"
"2020-11-12","487"
"2020-11-13","757"
"2020-11-14","1021"
"2020-11-15","1446"
"2020-11-16","1216"
"2020-11-17","1299"
"2020-11-18","906"
"2020-11-19","1410"
"2020-11-20","1185"
"2020-11-21","890"
"2020-11-22","843"
"2020-11-23","1147"
"2020-11-24","877"
"2020-11-25","804"
"2020-11-26","841"
"2020-11-27","1175"
"2020-11-28","805"
"2020-11-29","729"
"2020-11-30","802"
"2020-12-01","2000"
"2020-12-02","2162"
"2020-12-03","1350"
"2020-12-04","1177"
"2020-12-05","1213"
"2020-12-06","1069"
"2020-12-07","1394"
"2020-12-08","1169"
"2020-12-09","935"
"2020-12-10","830"
"2020-12-11","811"
"2020-12-12","1067"
"2020-12-13","1014"
"2020-12-14","972"
"2020-12-15","1395"
"2020-12-16","1179"
"2020-12-17","927"
"2020-12-18","866"
"2020-12-19","1200"
"2020-12-20","1002"
"2020-12-21","881"
"2020-12-22","1331"
"2020-12-23","870"
"2020-12-24","1745"
"2020-12-25","1981"
"2020-12-26","1242"
"2020-12-27","1100"
"2020-12-28","1338"
"2020-12-29","1150"
"2020-12-30","1288"
"2020-12-31","1016"
"2021-01-01","1649"
