"Date","Addresses with balance greater than $10"
"2020-08-26","0"
"2020-08-27","0"
"2020-08-28","0"
"2020-08-29","0"
"2020-08-30","0"
"2020-08-31","0"
"2020-09-01","9670"
"2020-09-02","9632"
"2020-09-03","9819"
"2020-09-04","10115"
"2020-09-05","10234"
"2020-09-06","11375"
"2020-09-07","11489"
"2020-09-08","11593"
"2020-09-09","11780"
"2020-09-10","11373"
"2020-09-11","11891"
"2020-09-12","11858"
"2020-09-13","13714"
"2020-09-14","13569"
"2020-09-15","12333"
"2020-09-16","11904"
"2020-09-17","12074"
"2020-09-18","12214"
"2020-09-19","12228"
"2020-09-20","12175"
"2020-09-21","11919"
"2020-09-22","11926"
"2020-09-23","11751"
"2020-09-24","11849"
"2020-09-25","11780"
"2020-09-26","11797"
"2020-09-27","11769"
"2020-09-28","11426"
"2020-09-29","11416"
"2020-09-30","11449"
"2020-10-01","11445"
"2020-10-02","11263"
"2020-10-03","11169"
"2020-10-04","10747"
"2020-10-05","10689"
"2020-10-06","10169"
"2020-10-07","10263"
"2020-10-08","10590"
"2020-10-09","10760"
"2020-10-10","10565"
"2020-10-11","10598"
"2020-10-12","10610"
"2020-10-13","10564"
"2020-10-14","10528"
"2020-10-15","10488"
"2020-10-16","10312"
"2020-10-17","10350"
"2020-10-18","10580"
"2020-10-19","10486"
"2020-10-20","10329"
"2020-10-21","10499"
"2020-10-22","10529"
"2020-10-23","10528"
"2020-10-24","10504"
"2020-10-25","10342"
"2020-10-26","10308"
"2020-10-27","10489"
"2020-10-28","10324"
"2020-10-29","10330"
"2020-10-30","10207"
"2020-10-31","10207"
"2020-11-01","10200"
"2020-11-02","10172"
"2020-11-03","9980"
"2020-11-04","9812"
"2020-11-05","9998"
"2020-11-06","10363"
"2020-11-07","10338"
"2020-11-08","10425"
"2020-11-09","10319"
"2020-11-10","10586"
"2020-11-11","10646"
"2020-11-12","10638"
"2020-11-13","11250"
"2020-11-14","11624"
"2020-11-15","11969"
"2020-11-16","12215"
"2020-11-17","12240"
"2020-11-18","12038"
"2020-11-19","12625"
"2020-11-20","12724"
"2020-11-21","12811"
"2020-11-22","12808"
"2020-11-23","12357"
"2020-11-24","12156"
"2020-11-25","11974"
"2020-11-26","12379"
"2020-11-27","12523"
"2020-11-28","12420"
"2020-11-29","12436"
"2020-11-30","12674"
"2020-12-01","13403"
"2020-12-02","13876"
"2020-12-03","13755"
"2020-12-04","13517"
"2020-12-05","13912"
"2020-12-06","13856"
"2020-12-07","14161"
"2020-12-08","13958"
"2020-12-09","14066"
"2020-12-10","14020"
"2020-12-11","13779"
"2020-12-12","14098"
"2020-12-13","14281"
"2020-12-14","14519"
"2020-12-15","14456"
"2020-12-16","14595"
"2020-12-17","14532"
"2020-12-18","14614"
"2020-12-19","14735"
"2020-12-20","14658"
"2020-12-21","14610"
"2020-12-22","14260"
"2020-12-23","14030"
"2020-12-24","13756"
"2020-12-25","12887"
"2020-12-26","12834"
"2020-12-27","13051"
"2020-12-28","13054"
