Date,TVL,Adjusted TVL
Mon May 30 2022,1491694321.71,2332840212.14
Tue May 31 2022,1424554788.9,3503316235.8
Wed Jun 01 2022,1429260260.89,3223659414.61
Thu Jun 02 2022,1391763064.69,3386801007.53
Fri Jun 03 2022,1429222373.81,3191284987.54
Sat Jun 04 2022,1426278978.99,3105855080.02
Sun Jun 05 2022,1454964160.37,3318827236.08
Mon Jun 06 2022,1436873287.04,3487221125.86
Tue Jun 07 2022,1439544513.69,3374591474.24
Wed Jun 08 2022,1436977744.46,3290237959.44
Thu Jun 09 2022,1384030883.26,3162638684.48
Fri Jun 10 2022,1331876472.66,3649063426.21
Sat Jun 11 2022,1295863510.66,3363455924.41
Sun Jun 12 2022,1184525739.01,3335421984.3
Mon Jun 13 2022,1121758598.81,3609716547.75
Tue Jun 14 2022,1108064393.34,3530033401.98
Wed Jun 15 2022,1068774508.81,3375149229.38
Thu Jun 16 2022,1073666435.16,3411836112.41
Fri Jun 17 2022,1042134011.84,3401832148.93
Sat Jun 18 2022,1120142515.15,3489682259.87
Sun Jun 19 2022,1126069148.88,3480742282.46
Mon Jun 20 2022,1140043983.57,4299405231.41
Tue Jun 21 2022,1102526442.87,3577646281.11
Wed Jun 22 2022,1135988798.96,3530992087.98
Thu Jun 23 2022,1174535347.56,3585317618.4
Fri Jun 24 2022,1183606642.19,3704929343.47
Sat Jun 25 2022,1180072904.57,3723054484.99
Sun Jun 26 2022,1169440246.6,3827123496.27
Mon Jun 27 2022,1138572790.79,6218769549.35
Tue Jun 28 2022,1120785622.64,3587588800.51
Wed Jun 29 2022,1084513807.85,3745505100.08
Thu Jun 30 2022,1082331046.91,3812527693.97
Fri Jul 01 2022,1087162064.53,3934663681.22
Sat Jul 02 2022,1085686217.42,3954709572.63
Sun Jul 03 2022,1114976048.19,3924414232.54
Mon Jul 04 2022,1109310258.07,3695234654.1
Tue Jul 05 2022,1128813746.06,3676730555.69
Wed Jul 06 2022,1146799595.03,3956106531.32
Thu Jul 07 2022,1144414147.28,4039406598.14
Fri Jul 08 2022,1141913241.55,2161052131.41
Sat Jul 09 2022,1114901443.55,2021266203.92
Sun Jul 10 2022,1097864473.5,2043728653.01
Mon Jul 11 2022,1066327711.47,3863044554.49
Tue Jul 12 2022,1095514511.2,3726742727.58
Wed Jul 13 2022,1116255898.19,3758579163.41
Thu Jul 14 2022,1145578011.54,3712888522.8
Fri Jul 15 2022,1179269425.56,3674048960.52
Sat Jul 16 2022,1178817406.96,4011101398.67
Sun Jul 17 2022,1228606387.22,4143131630.23
Mon Jul 18 2022,1228156332.31,4154302060.22
Tue Jul 19 2022,1202873325.44,3967011951.78
Wed Jul 20 2022,1213095287.96,4041812175.11
Thu Jul 21 2022,1195907124.88,4128279816.09
Fri Jul 22 2022,1194020354.18,3988452982.38
Sat Jul 23 2022,1216565542.99,4182361532.94
Sun Jul 24 2022,1178794453.57,3895560405.37
Mon Jul 25 2022,1141948794.97,3935846422.79
Tue Jul 26 2022,1211888888.89,3951333399.77
Wed Jul 27 2022,1256968178.01,3959936954
Thu Jul 28 2022,1291662220.85,3758411073.64
Fri Jul 29 2022,1283310175.41,3679946668.67
Sat Jul 30 2022,1273830751.58,3693446340.1
Sun Jul 31 2022,1261509809.38,3633025277.97
Mon Aug 01 2022,1256958041.26,3924723740.33
Tue Aug 02 2022,1255482141.61,3731756483.6
Wed Aug 03 2022,1238428111.78,3161029522.46
Thu Aug 04 2022,1268651944.61,3008273875.41
Fri Aug 05 2022,1263366824.61,2858064287.4
Sat Aug 06 2022,1269262700.44,2158345794.78
Sun Aug 07 2022,1288372705.16,2203490540.91
Mon Aug 08 2022,1255940978.3,1511464982.31
Tue Aug 09 2022,1304811072.33,1421033946.91
Wed Aug 10 2022,1297746956.26,1435803428.15
Thu Aug 11 2022,1318730592.66,1474286780.39
Fri Aug 12 2022,1328289172.07,1505269193.74
Sat Aug 13 2022,1311742271.34,1460441153.31
Sun Aug 14 2022,1300008383.49,1487144504.8
Mon Aug 15 2022,1287065112.56,1412853087.33
Tue Aug 16 2022,1270564335,1451003565.3
Wed Aug 17 2022,1266028532.77,1426254111.02
Thu Aug 18 2022,1175934572.74,1415849262.33
Fri Aug 19 2022,1167990669.09,1438587276.64
Sat Aug 20 2022,1176018297.29,1408067984.8
Sun Aug 21 2022,1167079493.8,1411221459.51
Mon Aug 22 2022,1192573913.33,1398849849.46
Tue Aug 23 2022,1181957138.8,1342225404.73
Wed Aug 24 2022,1204176125.82,1313022312.34
Thu Aug 25 2022,1150146008.33,1331463678.09
Fri Aug 26 2022,1128583993.05,1338806128.4
Sat Aug 27 2022,1124741821.14,1412408034.17
