"Date","Transaction Volume"
"2020-08-26","0"
"2020-08-27","0"
"2020-08-28","0"
"2020-08-29","0"
"2020-08-30","0"
"2020-08-31","0"
"2020-09-01","568699170.8425124"
"2020-09-02","454669940.6174819"
"2020-09-03","321791433.967664"
"2020-09-04","238404674.28196132"
"2020-09-05","276159735.1662594"
"2020-09-06","459937898.8848523"
"2020-09-07","224382412.91310763"
"2020-09-08","146115808.51411393"
"2020-09-09","348996752.31528276"
"2020-09-10","261779815.71617776"
"2020-09-11","295628356.3177147"
"2020-09-12","237105969.22486192"
"2020-09-13","217628254.69751018"
"2020-09-14","169142062.38804802"
"2020-09-15","192710597.41143432"
"2020-09-16","79424820.27962266"
"2020-09-17","107807139.3366329"
"2020-09-18","83432415.86517699"
"2020-09-19","71577086.52682886"
"2020-09-20","47412318.46401338"
"2020-09-21","45259826.98792111"
"2020-09-22","27644365.638800353"
"2020-09-23","37281925.397515215"
"2020-09-24","44987668.4895498"
"2020-09-25","31891023.088057548"
"2020-09-26","14845293.191637207"
"2020-09-27","42459796.79539128"
"2020-09-28","79202046.4916296"
"2020-09-29","37725150.75557219"
"2020-09-30","26050199.79748994"
"2020-10-01","30694451.12287111"
"2020-10-02","34779117.90810652"
"2020-10-03","6095089.446718226"
"2020-10-04","31412468.753548447"
"2020-10-05","29167922.968010243"
"2020-10-06","53259611.37925962"
"2020-10-07","49982964.86221184"
"2020-10-08","47935733.14240774"
"2020-10-09","38195397.180546656"
"2020-10-10","32800180.7618461"
"2020-10-11","34650536.79774931"
"2020-10-12","10294996.53793282"
"2020-10-13","28457759.85927199"
"2020-10-14","8798766.751027096"
"2020-10-15","29435449.856202405"
"2020-10-16","7802592.253061467"
"2020-10-17","2262091.878954639"
"2020-10-18","21957019.78344444"
"2020-10-19","24629509.0888236"
"2020-10-20","29881146.075095035"
"2020-10-21","19243133.554020103"
"2020-10-22","54375986.94092836"
"2020-10-23","8195325.539906881"
"2020-10-24","23023210.694746487"
"2020-10-25","10937401.030207455"
"2020-10-26","37882271.07364125"
"2020-10-27","30406361.335887775"
"2020-10-28","30614827.755304627"
"2020-10-29","22667942.126536015"
"2020-10-30","39015172.91087588"
"2020-10-31","19726112.370786957"
"2020-11-01","16649389.289131047"
"2020-11-02","23085018.238793556"
"2020-11-03","27434999.00022319"
"2020-11-04","40519591.625638515"
"2020-11-05","73492285.28080134"
"2020-11-06","85847476.482716"
"2020-11-07","106784817.05387509"
"2020-11-08","46065883.9389907"
"2020-11-09","60483878.683347315"
"2020-11-10","71940211.90603934"
"2020-11-11","89015502.53692676"
"2020-11-12","66406060.27042818"
"2020-11-13","157125248.62398428"
"2020-11-14","66476404.13937291"
"2020-11-15","99669936.09418286"
"2020-11-16","105532288.93857244"
"2020-11-17","99986554.83487542"
"2020-11-18","76013364.27387449"
"2020-11-19","114726425.99837688"
"2020-11-20","69517426.5572842"
"2020-11-21","50542921.80379051"
"2020-11-22","47779867.79246866"
"2020-11-23","43335021.751623556"
"2020-11-24","77409238.84319763"
