"Date","Active Addresses Count"
"2020-01-01","249"
"2020-01-02","256"
"2020-01-03","225"
"2020-01-04","494"
"2020-01-05","228"
"2020-01-06","566"
"2020-01-07","443"
"2020-01-08","356"
"2020-01-09","260"
"2020-01-10","247"
"2020-01-11","365"
"2020-01-12","205"
"2020-01-13","256"
"2020-01-14","617"
"2020-01-15","649"
"2020-01-16","256"
"2020-01-17","233"
"2020-01-18","203"
"2020-01-19","191"
"2020-01-20","166"
"2020-01-21","575"
"2020-01-22","440"
"2020-01-23","190"
"2020-01-24","197"
"2020-01-25","189"
"2020-01-26","159"
"2020-01-27","234"
"2020-01-28","292"
"2020-01-29","695"
"2020-01-30","283"
"2020-01-31","225"
"2020-02-01","195"
"2020-02-02","245"
"2020-02-03","658"
"2020-02-04","257"
"2020-02-05","433"
"2020-02-06","400"
"2020-02-07","367"
"2020-02-08","348"
"2020-02-09","435"
"2020-02-10","403"
"2020-02-11","348"
"2020-02-12","855"
"2020-02-13","405"
"2020-02-14","348"
"2020-02-15","299"
"2020-02-16","251"
"2020-02-17","274"
"2020-02-18","299"
"2020-02-19","364"
"2020-02-20","638"
"2020-02-21","281"
"2020-02-22","234"
"2020-02-23","236"
"2020-02-24","278"
"2020-02-25","287"
"2020-02-26","657"
"2020-02-27","290"
"2020-02-28","249"
"2020-02-29","179"
"2020-03-01","235"
"2020-03-02","534"
"2020-03-03","236"
"2020-03-04","338"
"2020-03-05","296"
"2020-03-06","371"
"2020-03-07","289"
"2020-03-08","229"
"2020-03-09","299"
"2020-03-10","312"
"2020-03-11","2129"
"2020-03-12","389"
"2020-03-13","307"
"2020-03-14","302"
"2020-03-15","231"
"2020-03-16","277"
"2020-03-17","279"
"2020-03-18","314"
"2020-03-19","307"
"2020-03-20","243"
"2020-03-21","196"
"2020-03-22","150"
"2020-03-23","217"
"2020-03-24","209"
"2020-03-25","370"
"2020-03-26","287"
"2020-03-27","225"
"2020-03-28","175"
"2020-03-29","208"
"2020-03-30","242"
"2020-03-31","201"
"2020-04-01","306"
"2020-04-02","299"
"2020-04-03","291"
"2020-04-04","222"
"2020-04-05","173"
"2020-04-06","293"
"2020-04-07","365"
"2020-04-08","417"
"2020-04-09","342"
"2020-04-10","297"
"2020-04-11","224"
"2020-04-12","241"
"2020-04-13","254"
"2020-04-14","262"
"2020-04-15","367"
"2020-04-16","354"
"2020-04-17","263"
"2020-04-18","322"
"2020-04-19","424"
"2020-04-20","336"
"2020-04-21","240"
"2020-04-22","329"
"2020-04-23","335"
"2020-04-24","333"
"2020-04-25","333"
"2020-04-26","368"
"2020-04-27","408"
"2020-04-28","386"
"2020-04-29","419"
"2020-04-30","357"
"2020-05-01","359"
"2020-05-02","383"
"2020-05-03","388"
"2020-05-04","297"
"2020-05-05","367"
"2020-05-06","471"
"2020-05-07","305"
"2020-05-08","352"
"2020-05-09","349"
"2020-05-10","374"
"2020-05-11","341"
"2020-05-12","338"
"2020-05-13","446"
"2020-05-14","330"
"2020-05-15","349"
"2020-05-16","343"
"2020-05-17","363"
"2020-05-18","322"
"2020-05-19","294"
"2020-05-20","418"
"2020-05-21","305"
"2020-05-22","336"
"2020-05-23","325"
"2020-05-24","236"
"2020-05-25","233"
"2020-05-26","300"
"2020-05-27","322"
"2020-05-28","311"
"2020-05-29","449"
"2020-05-30","355"
"2020-05-31","345"
"2020-06-01","348"
"2020-06-02","340"
"2020-06-03","362"
"2020-06-04","381"
"2020-06-05","406"
"2020-06-06","283"
"2020-06-07","255"
"2020-06-08","306"
"2020-06-09","400"
"2020-06-10","625"
"2020-06-11","625"
"2020-06-12","389"
"2020-06-13","579"
"2020-06-14","518"
"2020-06-15","379"
"2020-06-16","444"
"2020-06-17","431"
"2020-06-18","492"
"2020-06-19","848"
"2020-06-20","837"
"2020-06-21","629"
"2020-06-22","645"
"2020-06-23","735"
"2020-06-24","1398"
"2020-06-25","892"
"2020-06-26","714"
"2020-06-27","662"
"2020-06-28","646"
"2020-06-29","604"
"2020-06-30","453"
"2020-07-01","1128"
"2020-07-02","1232"
"2020-07-03","1049"
"2020-07-04","943"
"2020-07-05","752"
"2020-07-06","781"
"2020-07-07","758"
"2020-07-08","1081"
"2020-07-09","1882"
"2020-07-10","991"
"2020-07-11","750"
"2020-07-12","829"
"2020-07-13","853"
"2020-07-14","899"
"2020-07-15","1024"
"2020-07-16","852"
"2020-07-17","1006"
"2020-07-18","941"
"2020-07-19","965"
"2020-07-20","1305"
"2020-07-21","1156"
"2020-07-22","987"
"2020-07-23","930"
"2020-07-24","980"
"2020-07-25","827"
"2020-07-26","1079"
"2020-07-27","1097"
"2020-07-28","1037"
"2020-07-29","800"
"2020-07-30","787"
"2020-07-31","773"
"2020-08-01","992"
"2020-08-02","906"
"2020-08-03","923"
"2020-08-04","953"
"2020-08-05","1148"
"2020-08-06","1028"
"2020-08-07","838"
"2020-08-08","833"
"2020-08-09","831"
"2020-08-10","960"
"2020-08-11","1151"
"2020-08-12","2360"
"2020-08-13","2248"
"2020-08-14","1747"
"2020-08-15","2100"
"2020-08-16","1379"
"2020-08-17","1258"
"2020-08-18","1375"
"2020-08-19","1616"
"2020-08-20","1837"
"2020-08-21","1211"
"2020-08-22","1337"
"2020-08-23","1108"
"2020-08-24","1017"
"2020-08-25","1093"
"2020-08-26","1123"
"2020-08-27","1348"
"2020-08-28","1523"
"2020-08-29","1292"
"2020-08-30","1198"
"2020-08-31","1345"
"2020-09-01","1197"
"2020-09-02","1078"
"2020-09-03","1166"
"2020-09-04","1352"
"2020-09-05","1340"
"2020-09-06","1499"
"2020-09-07","1243"
"2020-09-08","1186"
"2020-09-09","1231"
"2020-09-10","1450"
"2020-09-11","1405"
"2020-09-12","1229"
"2020-09-13","1147"
"2020-09-14","910"
"2020-09-15","1066"
"2020-09-16","1215"
"2020-09-17","668"
"2020-09-18","928"
"2020-09-19","1280"
"2020-09-20","1037"
"2020-09-21","1161"
"2020-09-22","1039"
"2020-09-23","1015"
"2020-09-24","946"
"2020-09-25","1367"
"2020-09-26","1152"
"2020-09-27","1171"
"2020-09-28","977"
"2020-09-29","823"
"2020-09-30","974"
"2020-10-01","1029"
"2020-10-02","1045"
"2020-10-03","796"
"2020-10-04","779"
"2020-10-05","788"
"2020-10-06","1005"
"2020-10-07","1110"
"2020-10-08","913"
"2020-10-09","1015"
"2020-10-10","882"
"2020-10-11","922"
"2020-10-12","825"
"2020-10-13","762"
"2020-10-14","859"
"2020-10-15","722"
"2020-10-16","819"
"2020-10-17","784"
"2020-10-18","679"
"2020-10-19","757"
"2020-10-20","954"
"2020-10-21","885"
"2020-10-22","944"
"2020-10-23","781"
"2020-10-24","791"
"2020-10-25","775"
"2020-10-26","725"
"2020-10-27","766"
"2020-10-28","796"
"2020-10-29","675"
"2020-10-30","984"
"2020-10-31","783"
"2020-11-01","954"
"2020-11-02","766"
"2020-11-03","876"
"2020-11-04","746"
"2020-11-05","971"
"2020-11-06","1036"
"2020-11-07","1056"
"2020-11-08","1239"
"2020-11-09","1004"
"2020-11-10","1838"
"2020-11-11","1153"
"2020-11-12","770"
"2020-11-13","956"
"2020-11-14","921"
"2020-11-15","917"
"2020-11-16","861"
"2020-11-17","1102"
"2020-11-18","966"
"2020-11-19","1321"
"2020-11-20","1285"
"2020-11-21","964"
"2020-11-22","893"
"2020-11-23","969"
"2020-11-24","1118"
"2020-11-25","1227"
"2020-11-26","1138"
"2020-11-27","977"
"2020-11-28","844"
"2020-11-29","888"
"2020-11-30","1016"
"2020-12-01","880"
"2020-12-02","1194"
"2020-12-03","959"
"2020-12-04","844"
"2020-12-05","902"
"2020-12-06","814"
"2020-12-07","728"
"2020-12-08","837"
"2020-12-09","971"
"2020-12-10","811"
"2020-12-11","1676"
"2020-12-12","834"
"2020-12-13","1211"
"2020-12-14","1032"
"2020-12-15","1326"
"2020-12-16","1578"
"2020-12-17","1513"
"2020-12-18","2357"
"2020-12-19","2106"
"2020-12-20","1675"
"2020-12-21","1669"
"2020-12-22","2388"
"2020-12-23","3184"
"2020-12-24","2384"
"2020-12-25","1883"
"2020-12-26","2793"
"2020-12-27","2489"
"2020-12-28","2286"
"2020-12-29","2219"
"2020-12-30","2216"
"2020-12-31","2080"
"2021-01-01","2345"
"2021-01-02","2353"
"2021-01-03","2360"
"2021-01-04","3244"
