Date,TVL,Adjusted TVL
Sun Aug 29 2021,1362898709.18,826267284.25
Mon Aug 30 2021,1368069376.97,861962057.71
Tue Aug 31 2021,1510763207.21,907939034.55
Wed Sep 01 2021,1535475681.82,795951744.37
Thu Sep 02 2021,1519371193.75,729252661.71
Fri Sep 03 2021,1434260130.73,609471283.29
Sat Sep 04 2021,1484474459.5,563648561.71
Sun Sep 05 2021,1572774034.73,537584483.54
Mon Sep 06 2021,1250285160.14,533060724.78
Tue Sep 07 2021,1343360343.45,534160281.43
Wed Sep 08 2021,1369770295.75,557361216.88
Thu Sep 09 2021,1259640060.47,647768229.39
Fri Sep 10 2021,1303851076.97,690308180.04
Sat Sep 11 2021,1330134004.31,709593780.01
Sun Sep 12 2021,1516494867.85,680012136.5
Mon Sep 13 2021,1631528341.82,646816972.3
Tue Sep 14 2021,1810777465.12,592651117.54
Wed Sep 15 2021,0,0
Thu Sep 16 2021,0,0
Fri Sep 17 2021,0,0
Sat Sep 18 2021,0,0
Sun Sep 19 2021,0,0
Mon Sep 20 2021,0,0
Tue Sep 21 2021,0,0
Wed Sep 22 2021,0,0
Thu Sep 23 2021,1274354819.16,489605372.71
Fri Sep 24 2021,1230021779.8,551581056.37
Sat Sep 25 2021,1254557702.18,599578502.96
Sun Sep 26 2021,1202985629.93,602831448.83
Mon Sep 27 2021,1130180923.37,613772577.71
Tue Sep 28 2021,1098780645.23,577037252.2
Wed Sep 29 2021,1131497513.33,554675907.83
Thu Sep 30 2021,1217449881.38,560556356.65
Fri Oct 01 2021,1323851583.45,512815503.08
Sat Oct 02 2021,1268334970.85,522492041.94
Sun Oct 03 2021,1218677605.28,519409815.1
Mon Oct 04 2021,1242645280,507098795.61
Tue Oct 05 2021,1204181169.82,454660869.77
Wed Oct 06 2021,1216352084.14,435329623.78
Thu Oct 07 2021,1187489688.16,453832415.57
Fri Oct 08 2021,1196457361.37,475066832.56
Sat Oct 09 2021,1143935028.22,509950481.49
Sun Oct 10 2021,1119735538.22,492481723.33
Mon Oct 11 2021,1097744921.29,504901743.08
Tue Oct 12 2021,1086598891.76,535630724.06
Wed Oct 13 2021,1106514292.34,523663865.91
Thu Oct 14 2021,1165021375.42,489103039.56
