"Date","Active Addresses Count"
"2020-09-14","6"
"2020-09-15","6"
"2020-09-16","53"
"2020-09-17","178334"
"2020-09-18","86131"
"2020-09-19","41214"
"2020-09-20","22758"
"2020-09-21","18384"
"2020-09-22","14669"
"2020-09-23","15469"
"2020-09-24","15785"
"2020-09-25","10538"
"2020-09-26","11522"
"2020-09-27","9037"
"2020-09-28","8429"
"2020-09-29","7653"
"2020-09-30","7181"
"2020-10-01","7308"
"2020-10-02","6762"
"2020-10-03","5554"
"2020-10-04","5662"
"2020-10-05","6600"
"2020-10-06","7245"
"2020-10-07","6617"
"2020-10-08","6056"
"2020-10-09","5361"
"2020-10-10","4916"
"2020-10-11","4373"
"2020-10-12","5364"
"2020-10-13","5361"
"2020-10-14","5265"
"2020-10-15","4924"
"2020-10-16","5399"
"2020-10-17","4665"
"2020-10-18","4600"
"2020-10-19","4284"
"2020-10-20","4622"
"2020-10-21","5000"
"2020-10-22","5456"
"2020-10-23","4388"
"2020-10-24","4476"
"2020-10-25","4466"
"2020-10-26","4479"
"2020-10-27","4247"
"2020-10-28","3860"
"2020-10-29","3968"
"2020-10-30","5376"
"2020-10-31","4417"
"2020-11-01","3765"
"2020-11-02","3771"
"2020-11-03","3721"
"2020-11-04","3936"
"2020-11-05","5402"
"2020-11-06","4774"
"2020-11-07","4593"
"2020-11-08","3608"
"2020-11-09","3143"
"2020-11-10","3896"
"2020-11-11","3767"
"2020-11-12","3575"
"2020-11-13","5643"
"2020-11-14","5749"
"2020-11-15","6211"
"2020-11-16","5212"
"2020-11-17","7212"
"2020-11-18","6258"
"2020-11-19","5057"
"2020-11-20","4833"
"2020-11-21","4367"
"2020-11-22","3967"
"2020-11-23","4270"
"2020-11-24","4678"
"2020-11-25","3570"
"2020-11-26","3200"
"2020-11-27","2732"
"2020-11-28","2891"
"2020-11-29","2719"
"2020-11-30","3024"
"2020-12-01","3085"
"2020-12-02","3459"
"2020-12-03","3287"
"2020-12-04","3100"
"2020-12-05","2741"
"2020-12-06","2849"
"2020-12-07","2850"
"2020-12-08","2681"
"2020-12-09","2542"
"2020-12-10","2223"
"2020-12-11","2471"
"2020-12-12","2318"
"2020-12-13","2409"
"2020-12-14","2313"
"2020-12-15","2146"
"2020-12-16","2227"
"2020-12-17","3016"
"2020-12-18","2607"
"2020-12-19","3874"
"2020-12-20","2750"
"2020-12-21","2262"
"2020-12-22","2608"
