"Date","Addresses with balance greater than $10"
"2020-09-14","0"
"2020-09-15","0"
"2020-09-16","0"
"2020-09-17","0"
"2020-09-18","79836"
"2020-09-19","76019"
"2020-09-20","76630"
"2020-09-21","75480"
"2020-09-22","74192"
"2020-09-23","72884"
"2020-09-24","69538"
"2020-09-25","69931"
"2020-09-26","69881"
"2020-09-27","70015"
"2020-09-28","70005"
"2020-09-29","69890"
"2020-09-30","69694"
"2020-10-01","69730"
"2020-10-02","69493"
"2020-10-03","69475"
"2020-10-04","69268"
"2020-10-05","68406"
"2020-10-06","67385"
"2020-10-07","67786"
"2020-10-08","68459"
"2020-10-09","68872"
"2020-10-10","68737"
"2020-10-11","68917"
"2020-10-12","69168"
"2020-10-13","67902"
"2020-10-14","67527"
"2020-10-15","67540"
"2020-10-16","67750"
"2020-10-17","67794"
"2020-10-18","68052"
"2020-10-19","67979"
"2020-10-20","67542"
"2020-10-21","67703"
"2020-10-22","67922"
"2020-10-23","67813"
"2020-10-24","67736"
"2020-10-25","67364"
"2020-10-26","67314"
"2020-10-27","67547"
"2020-10-28","67248"
"2020-10-29","66968"
"2020-10-30","66693"
"2020-10-31","66356"
"2020-11-01","66525"
"2020-11-02","66533"
"2020-11-03","66432"
"2020-11-04","65427"
"2020-11-05","66595"
"2020-11-06","67626"
"2020-11-07","67584"
"2020-11-08","68135"
"2020-11-09","67739"
"2020-11-10","68529"
"2020-11-11","68412"
"2020-11-12","68844"
"2020-11-13","70743"
"2020-11-14","70695"
"2020-11-15","70963"
"2020-11-16","70797"
"2020-11-17","72142"
"2020-11-18","70624"
"2020-11-19","71111"
"2020-11-20","71556"
"2020-11-21","71680"
"2020-11-22","71477"
"2020-11-23","72119"
"2020-11-24","72236"
"2020-11-25","71923"
"2020-11-26","71635"
"2020-11-27","71397"
"2020-11-28","72082"
"2020-11-29","72230"
"2020-11-30","72821"
"2020-12-01","72587"
"2020-12-02","73280"
"2020-12-03","73162"
"2020-12-04","72554"
"2020-12-05","72776"
"2020-12-06","72739"
"2020-12-07","72943"
"2020-12-08","72128"
"2020-12-09","72681"
"2020-12-10","72238"
"2020-12-11","71926"
"2020-12-12","72319"
"2020-12-13","72726"
"2020-12-14","73380"
"2020-12-15","73138"
"2020-12-16","73632"
"2020-12-17","74065"
"2020-12-18","74306"
"2020-12-19","74634"
"2020-12-20","74405"
"2020-12-21","74113"
"2020-12-22","74631"
"2020-12-23","74101"
"2020-12-24","74502"
"2020-12-25","74678"
"2020-12-26","74680"
"2020-12-27","75187"
"2020-12-28","75551"
"2020-12-29","75662"
"2020-12-30","76436"
"2020-12-31","78741"
"2021-01-01","77650"
"2021-01-02","78160"
"2021-01-03","80110"
"2021-01-04","80432"
"2021-01-05","81978"
"2021-01-06","82533"
"2021-01-07","82721"
"2021-01-08","82498"
"2021-01-09","83202"
"2021-01-10","83183"
"2021-01-11","82385"
"2021-01-12","82961"
"2021-01-13","83992"
"2021-01-14","84752"
"2021-01-15","85565"
"2021-01-16","86798"
"2021-01-17","87440"
"2021-01-18","88307"
"2021-01-19","88281"
"2021-01-20","89001"
"2021-01-21","88161"
"2021-01-22","89374"
"2021-01-23","90364"
"2021-01-24","95060"
"2021-01-25","95595"
"2021-01-26","97929"
"2021-01-27","99525"
"2021-01-28","100803"
"2021-01-29","103204"
"2021-01-30","106756"
"2021-01-31","108145"
"2021-02-01","110866"
"2021-02-02","111881"
"2021-02-03","113638"
"2021-02-04","115436"
"2021-02-05","116325"
"2021-02-06","115605"
"2021-02-07","116365"
"2021-02-08","117825"
"2021-02-09","119029"
"2021-02-10","121327"
"2021-02-11","122679"
"2021-02-12","123088"
"2021-02-13","123636"
"2021-02-14","124063"
"2021-02-15","124183"
"2021-02-16","125231"
"2021-02-17","126036"
"2021-02-18","126827"
"2021-02-19","127151"
"2021-02-20","130168"
"2021-02-21","131739"
"2021-02-22","133014"
"2021-02-23","133282"
"2021-02-24","134421"
"2021-02-25","135092"
"2021-02-26","135399"
"2021-02-27","135896"
"2021-02-28","136283"
"2021-03-01","137518"
"2021-03-02","138199"
"2021-03-03","138188"
"2021-03-04","139368"
"2021-03-05","139979"
"2021-03-06","140885"
"2021-03-07","143067"
"2021-03-08","144284"
"2021-03-09","144948"
"2021-03-10","145834"
"2021-03-11","146900"
"2021-03-12","148268"
"2021-03-13","149701"
"2021-03-14","150348"
"2021-03-15","151000"
"2021-03-16","151484"
"2021-03-17","152138"
"2021-03-18","152204"
"2021-03-19","153482"
"2021-03-20","154083"
"2021-03-21","154618"
"2021-03-22","155784"
"2021-03-23","155034"
"2021-03-24","154404"
"2021-03-25","154261"
"2021-03-26","154964"
"2021-03-27","154659"
"2021-03-28","155121"
"2021-03-29","156161"
"2021-03-30","156826"
"2021-03-31","157394"
"2021-04-01","158144"
"2021-04-02","159029"
"2021-04-03","159767"
"2021-04-04","160753"
"2021-04-05","161573"
"2021-04-06","162586"
"2021-04-07","162816"
"2021-04-08","163725"
"2021-04-09","164268"
"2021-04-10","164915"
"2021-04-11","165587"
"2021-04-12","167548"
"2021-04-13","168176"
"2021-04-14","169376"
"2021-04-15","170539"
"2021-04-16","171308"
"2021-04-17","171988"
"2021-04-18","171943"
"2021-04-19","172748"
"2021-04-20","173774"
"2021-04-21","174872"
"2021-04-22","176348"
"2021-04-23","176707"
"2021-04-24","176101"
"2021-04-25","177742"
"2021-04-26","179668"
"2021-04-27","180880"
"2021-04-28","182828"
"2021-04-29","182869"
"2021-04-30","182643"
"2021-05-01","182592"
"2021-05-02","183561"
"2021-05-03","184745"
"2021-05-04","186467"
"2021-05-05","187907"
"2021-05-06","188343"
"2021-05-07","189274"
"2021-05-08","191107"
"2021-05-09","191997"
"2021-05-10","193092"
"2021-05-11","195029"
"2021-05-12","196147"
"2021-05-13","195613"
"2021-05-14","197114"
"2021-05-15","196566"
"2021-05-16","196662"
"2021-05-17","196373"
"2021-05-18","197164"
"2021-05-19","195749"
"2021-05-20","196301"
"2021-05-21","195847"
"2021-05-22","195719"
"2021-05-23","193850"
"2021-05-24","196670"
"2021-05-25","196978"
"2021-05-26","198124"
"2021-05-27","198293"
"2021-05-28","198065"
"2021-05-29","197608"
"2021-05-30","198129"
"2021-05-31","198822"
"2021-06-01","198909"
"2021-06-02","199286"
"2021-06-03","199725"
"2021-06-04","199487"
"2021-06-05","199004"
"2021-06-06","199233"
"2021-06-07","199034"
"2021-06-08","198970"
"2021-06-09","199587"
"2021-06-10","199343"
"2021-06-11","199117"
"2021-06-12","198918"
"2021-06-13","199610"
"2021-06-14","199899"
"2021-06-15","199990"
"2021-06-16","199401"
"2021-06-17","199696"
"2021-06-18","199217"
"2021-06-19","198922"
"2021-06-20","199576"
"2021-06-21","197503"
"2021-06-22","197818"
"2021-06-23","198698"
"2021-06-24","198997"
"2021-06-25","198184"
"2021-06-26","198166"
"2021-06-27","198834"
"2021-06-28","199413"
"2021-06-29","199728"
