"Date","Transaction Volume"
"2020-09-14","0"
"2020-09-15","0"
"2020-09-16","0"
"2020-09-17","0"
"2020-09-18","1288495584.6454425"
"2020-09-19","439790997.1811478"
"2020-09-20","259657519.33600527"
"2020-09-21","201323856.17493287"
"2020-09-22","169855951.34096816"
"2020-09-23","213102986.38959163"
"2020-09-24","192381283.1330942"
"2020-09-25","121267803.82938959"
"2020-09-26","140257453.18943053"
"2020-09-27","73221054.53299801"
"2020-09-28","106586031.02650183"
"2020-09-29","82491839.21481986"
"2020-09-30","71387224.88338047"
"2020-10-01","98770674.7365426"
"2020-10-02","135761809.57566914"
"2020-10-03","97394920.06235594"
"2020-10-04","73637617.47586112"
"2020-10-05","78755400.73065835"
"2020-10-06","121825429.00688834"
"2020-10-07","104023914.70260523"
"2020-10-08","84054987.46731624"
"2020-10-09","84293556.41317327"
"2020-10-10","40729057.92540953"
"2020-10-11","33733549.54456462"
"2020-10-12","57835138.77627124"
"2020-10-13","41279893.43985719"
"2020-10-14","60365382.4304332"
"2020-10-15","69237554.35668898"
"2020-10-16","73168328.20198661"
"2020-10-17","87839845.01545615"
"2020-10-18","79659585.6138871"
"2020-10-19","131414066.2199784"
"2020-10-20","58358003.9578428"
"2020-10-21","38313186.83333024"
"2020-10-22","37314436.646598175"
"2020-10-23","49693614.68009897"
"2020-10-24","25106292.294862974"
"2020-10-25","39102954.545827195"
"2020-10-26","30803867.5889978"
"2020-10-27","33493784.66640814"
"2020-10-28","26004216.489702184"
"2020-10-29","26819225.12471891"
"2020-10-30","49840786.927457035"
"2020-10-31","30822759.449281573"
"2020-11-01","38891825.76621451"
"2020-11-02","21206209.309762057"
"2020-11-03","24962130.41718315"
"2020-11-04","40289606.62141536"
"2020-11-05","174633000.093676"
"2020-11-06","86343756.93648028"
"2020-11-07","75683400.24445818"
"2020-11-08","34040427.41306021"
"2020-11-09","43295040.72193493"
"2020-11-10","93740413.66522428"
"2020-11-11","43429280.35059689"
"2020-11-12","44231822.052332304"
"2020-11-13","103275072.05612166"
"2020-11-14","126166055.28970829"
"2020-11-15","90265045.92675717"
"2020-11-16","97179052.32244354"
"2020-11-17","76664638.80390772"
"2020-11-18","74846500.76890801"
"2020-11-19","58970234.874274254"
"2020-11-20","81019737.93700919"
"2020-11-21","62330132.16415756"
"2020-11-22","55927177.809722245"
"2020-11-23","72698110.17154351"
"2020-11-24","76417526.63180828"
"2020-11-25","111752542.89049645"
"2020-11-26","86096250.50605135"
"2020-11-27","32500094.140047472"
"2020-11-28","31705780.975437365"
"2020-11-29","21362153.164957106"
"2020-11-30","50897454.088353716"
"2020-12-01","49245966.51518597"
"2020-12-02","53644467.58614781"
"2020-12-03","29518798.980263308"
"2020-12-04","25712084.251175866"
"2020-12-05","19630479.383442275"
"2020-12-06","23268371.76898346"
"2020-12-07","39676202.92892214"
"2020-12-08","29890490.573253915"
"2020-12-09","47877386.63412008"
"2020-12-10","20314502.44763795"
"2020-12-11","36597774.26373778"
"2020-12-12","15838698.114446456"
"2020-12-13","17527248.187469352"
"2020-12-14","35208808.202568755"
"2020-12-15","32263516.03229834"
"2020-12-16","35013114.127787046"
"2020-12-17","69675321.18758583"
"2020-12-18","74059742.13095686"
"2020-12-19","76024107.94448303"
"2020-12-20","29927862.063621834"
"2020-12-21","30662834.127261188"
"2020-12-22","44882422.34174246"
"2020-12-23","29200365.007185843"
"2020-12-24","30580538.73389265"
"2020-12-25","16863889.588400096"
"2020-12-26","22981792.032144025"
"2020-12-27","38743601.45061054"
"2020-12-28","48209239.59723071"
"2020-12-29","81999499.35038117"
"2020-12-30","69622524.1374477"
"2020-12-31","158787867.83503562"
"2021-01-01","90884160.60003805"
"2021-01-02","94687299.74210303"
"2021-01-03","93509127.76526329"
"2021-01-04","109092970.85102998"
"2021-01-05","103264550.87253992"
"2021-01-06","85467249.21451873"
"2021-01-07","73120873.89855856"
"2021-01-08","86681465.89731674"
"2021-01-09","60862964.79544335"
"2021-01-10","71488952.16176176"
"2021-01-11","112011012.39489613"
"2021-01-12","66045802.943103224"
"2021-01-13","90323312.77291623"
"2021-01-14","127435175.78875583"
"2021-01-15","183889779.10683438"
"2021-01-16","201306711.3866679"
"2021-01-17","172988183.93519622"
"2021-01-18","190475484.23841855"
"2021-01-19","192486333.52424312"
"2021-01-20","130071110.46125868"
"2021-01-21","145517209.3656977"
"2021-01-22","134507859.10092288"
"2021-01-23","143320439.33648953"
"2021-01-24","307856495.20156443"
"2021-01-25","323934666.04430896"
"2021-01-26","447077502.4165095"
"2021-01-27","401694462.4460589"
"2021-01-28","417500604.0518428"
"2021-01-29","308286166.68814135"
"2021-01-30","469888998.43951607"
"2021-01-31","477936569.72853273"
"2021-02-01","472350400.7352062"
"2021-02-02","454358217.28011286"
"2021-02-03","253879610.96100244"
"2021-02-04","355699617.7425148"
"2021-02-05","552734535.7771703"
"2021-02-06","329113870.56762487"
"2021-02-07","230092850.44680223"
"2021-02-08","243966785.29922378"
"2021-02-09","183984742.1519352"
"2021-02-10","418314439.8237351"
"2021-02-11","182329301.65574652"
"2021-02-12","292939442.9531835"
"2021-02-13","472793928.9925804"
"2021-02-14","120986854.67147934"
"2021-02-15","204600146.71125507"
"2021-02-16","239031813.84866467"
"2021-02-17","210594468.96134034"
"2021-02-18","186023255.6847089"
"2021-02-19","272005094.29374516"
"2021-02-20","1109535965.4797382"
"2021-02-21","469577405.8194024"
"2021-02-22","526726042.5837596"
"2021-02-23","540621197.3151948"
"2021-02-24","318447034.92140824"
"2021-02-25","198207255.80308977"
"2021-02-26","448169153.8533245"
"2021-02-27","190621572.21230945"
"2021-02-28","295767253.95806265"
"2021-03-01","168526335.09389117"
"2021-03-02","284172412.16439146"
"2021-03-03","181971032.77585283"
"2021-03-04","4010236839.0048456"
"2021-03-05","5046160756.742913"
"2021-03-06","288232165.8883071"
"2021-03-07","1688658352.5661585"
"2021-03-08","680621654.1267114"
"2021-03-09","763599349.4094383"
"2021-03-10","496174340.5017847"
"2021-03-11","444359499.86597"
"2021-03-12","886801556.9789419"
"2021-03-13","231640009.57398623"
"2021-03-14","213717524.77532014"
"2021-03-15","153507591.38755164"
"2021-03-16","206599279.8964796"
"2021-03-17","271764672.9819317"
"2021-03-18","157859958.86963072"
"2021-03-19","254884345.0882198"
"2021-03-20","299993553.1196009"
"2021-03-21","109559432.87919535"
"2021-03-22","326358377.3654013"
"2021-03-23","624726118.2421664"
"2021-03-24","391045926.36386"
"2021-03-25","262241650.06180972"
"2021-03-26","229173601.51370183"
"2021-03-27","94959628.48752037"
"2021-03-28","113823163.34432824"
"2021-03-29","301554350.03393394"
"2021-03-30","280377537.5522031"
"2021-03-31","217717948.08433717"
"2021-04-01","235083059.27888468"
"2021-04-02","611199667.1227401"
"2021-04-03","176809318.35111076"
"2021-04-04","92810356.38490012"
"2021-04-05","188614763.2788466"
"2021-04-06","123007491.18550576"
