Date,Users,Volume,Transactions
Fri Aug 26 2022,9268,9298865680,2691
Thu Aug 25 2022,8735,8463713471.2,2541
Wed Aug 24 2022,8074,4218637207.35,2164
Tue Aug 23 2022,6802,3528820986.72,2194
Mon Aug 22 2022,7173,12785229761.96,2351
Sun Aug 21 2022,6776,8346224931.36,2179
Sat Aug 20 2022,7352,12241702298.04,2456
Fri Aug 19 2022,7671,16515518597.71,2627
Thu Aug 18 2022,9003,12858629258.13,2911
Wed Aug 17 2022,7332,5792154510.38,2471
Tue Aug 16 2022,8301,20526336011.18,3112
Mon Aug 15 2022,8071,4064217169,2836
Sun Aug 14 2022,8352,6948562189.88,2672
Sat Aug 13 2022,9094,8676724157.91,3304
Fri Aug 12 2022,9062,9067312100.5,3654
Thu Aug 11 2022,7676,5117757112.68,2636
Wed Aug 10 2022,9091,9439447411.37,3305
Tue Aug 09 2022,8500,7494644798.9,2892
Mon Aug 08 2022,8113,6100614930.38,2720
Sun Aug 07 2022,8691,14192110852.25,3157
Sat Aug 06 2022,6966,3906111679.76,2744
Fri Aug 05 2022,7280,5109537227.67,3017
Thu Aug 04 2022,7330,5689472421.64,2992
Wed Aug 03 2022,6950,6760134044.42,2846
Tue Aug 02 2022,7562,10646624816.44,2939
Mon Aug 01 2022,7327,11830686654.38,2742
Sun Jul 31 2022,7030,9587525428.49,2450
Sat Jul 30 2022,7065,4964830377.16,2827
Fri Jul 29 2022,7502,5054203533.53,2922
Thu Jul 28 2022,7616,11292275665.66,2853
Wed Jul 27 2022,7959,7862428421.68,3295
Tue Jul 26 2022,7285,6771887488.84,2838
Mon Jul 25 2022,6658,4215608651.74,2208
Sun Jul 24 2022,6605,5883622720.65,2299
Sat Jul 23 2022,6282,5760525331.54,2739
Fri Jul 22 2022,6140,11946640860.67,2391
Thu Jul 21 2022,6879,6604579707.18,2784
Wed Jul 20 2022,7050,7475382004.41,2580
Tue Jul 19 2022,7461,12490224941.28,2721
Mon Jul 18 2022,7271,6790471349.83,2990
Sun Jul 17 2022,7913,4737827464.96,3174
Sat Jul 16 2022,5936,4603381946.03,2435
Fri Jul 15 2022,6578,2921109180.66,2584
Thu Jul 14 2022,5973,6987731105.22,2322
Wed Jul 13 2022,6033,4475305342,2201
Tue Jul 12 2022,6091,4992382640.38,2279
Mon Jul 11 2022,6242,6328687354.17,2647
Sun Jul 10 2022,5835,6025429682.25,2516
Sat Jul 09 2022,5786,6530534811.04,2250
Fri Jul 08 2022,5925,6964817565,2333
Thu Jul 07 2022,6234,4210125914.38,2643
Wed Jul 06 2022,6256,4174617789.63,2595
Tue Jul 05 2022,5600,2351823711.97,2477
Mon Jul 04 2022,5715,6550552264.68,3009
Sun Jul 03 2022,5824,3470703624.07,2566
Sat Jul 02 2022,5628,5376685384.62,2919
Fri Jul 01 2022,5726,6417357438.41,2803
Thu Jun 30 2022,5887,5348115617.45,2600
Wed Jun 29 2022,6111,3822446503.35,3152
Tue Jun 28 2022,5447,4664733620.64,3055
Mon Jun 27 2022,5241,2845404070.77,2905
Sun Jun 26 2022,5086,2243453415.41,2246
Sat Jun 25 2022,5073,3112962173.34,2331
Fri Jun 24 2022,4996,1002483308.7,2518
Thu Jun 23 2022,6111,5508187428,3423
Wed Jun 22 2022,5541,4866396952.66,2702
Tue Jun 21 2022,5862,2898295360.14,3223
Mon Jun 20 2022,6583,4971301715.24,2802
Sun Jun 19 2022,6731,4811409393.97,3261
Sat Jun 18 2022,7072,7116197737.12,3165
Fri Jun 17 2022,7850,11618436442.32,3414
Thu Jun 16 2022,6070,6379583075.1,2508
Wed Jun 15 2022,7433,5041201519.03,3019
Tue Jun 14 2022,8611,7806486994.24,3880
Mon Jun 13 2022,8147,8087709483.62,3320
Sun Jun 12 2022,9680,10278024596.74,4035
Sat Jun 11 2022,7497,7576629182.27,4395
Fri Jun 10 2022,7641,4475733679.43,3224
Thu Jun 09 2022,7821,2941000870.37,2227
Wed Jun 08 2022,8046,2170691973.94,2187
Tue Jun 07 2022,5551,2055140687.75,1838
Mon Jun 06 2022,6575,3421098256.66,2699
Sun Jun 05 2022,6891,2116298666.86,2631
Sat Jun 04 2022,6039,1117380690.14,2116
Fri Jun 03 2022,6041,2228013621.51,1574
Thu Jun 02 2022,5640,2266557209.23,1627
Wed Jun 01 2022,5067,3413790285.81,1714
Tue May 31 2022,5519,3243380151.52,2001
Mon May 30 2022,5589,3409016549.92,2020
Sun May 29 2022,5906,4090823881.03,2265
Sat May 28 2022,5298,1546143191.78,1970
Fri May 27 2022,5820,2134579957.68,2081
Thu May 26 2022,6561,3975307167.96,2454
Wed May 25 2022,6381,5303785755.26,2229
Tue May 24 2022,5257,2025712683.45,1779
Mon May 23 2022,5939,3307351107.43,2518
Sun May 22 2022,6574,3654153879.39,2368
Sat May 21 2022,5684,1680001245.12,2117
Fri May 20 2022,5417,4238963164.13,2258
Thu May 19 2022,5938,3544446090.5,2092
Wed May 18 2022,6813,3449118856.6,2497
Tue May 17 2022,6701,2787840577.69,2597
Mon May 16 2022,6248,2725433327.69,2251
Sun May 15 2022,7670,5158942424.78,3225
Sat May 14 2022,7972,3291502078.22,3507
Fri May 13 2022,8226,2408142969.54,3037
Thu May 12 2022,7910,4106530981.69,2907
Wed May 11 2022,9122,6997514553.06,3275
Tue May 10 2022,8798,6641860836.13,3671
Mon May 09 2022,8810,4076650252.81,3407
Sun May 08 2022,9672,5997112318.45,4226
Sat May 07 2022,9314,3997143228.6,5166
Fri May 06 2022,8363,2545698764.12,4883
Thu May 05 2022,7243,2865080201.37,3236
Wed May 04 2022,7841,2885046565.02,2837
