"Date","Active Addresses Count"
"2020-07-17","10"
"2020-07-18","365"
"2020-07-19","1505"
"2020-07-20","1947"
"2020-07-21","1715"
"2020-07-22","2015"
"2020-07-23","2089"
"2020-07-24","3146"
"2020-07-25","3803"
"2020-07-26","2442"
"2020-07-27","1296"
"2020-07-28","990"
"2020-07-29","1291"
"2020-07-30","947"
"2020-07-31","906"
"2020-08-01","959"
"2020-08-02","704"
"2020-08-03","617"
"2020-08-04","564"
"2020-08-05","567"
"2020-08-06","689"
"2020-08-07","809"
"2020-08-08","674"
"2020-08-09","457"
"2020-08-10","1753"
"2020-08-11","1531"
"2020-08-12","1496"
"2020-08-13","1396"
"2020-08-14","811"
"2020-08-15","770"
"2020-08-16","898"
"2020-08-17","1307"
"2020-08-18","1496"
"2020-08-19","1377"
"2020-08-20","2520"
"2020-08-21","1403"
"2020-08-22","1087"
"2020-08-23","1164"
"2020-08-24","1053"
"2020-08-25","840"
"2020-08-26","1023"
"2020-08-27","989"
"2020-08-28","1648"
"2020-08-29","2438"
"2020-08-30","3106"
"2020-08-31","2475"
"2020-09-01","1994"
"2020-09-02","2033"
"2020-09-03","1681"
"2020-09-04","1873"
"2020-09-05","1908"
"2020-09-06","1711"
"2020-09-07","1245"
"2020-09-08","1368"
"2020-09-09","1671"
"2020-09-10","2218"
"2020-09-11","2044"
"2020-09-12","2677"
"2020-09-13","2220"
"2020-09-14","2090"
"2020-09-15","2512"
"2020-09-16","2040"
"2020-09-17","1844"
"2020-09-18","2141"
"2020-09-19","2071"
"2020-09-20","1795"
"2020-09-21","2467"
"2020-09-22","1745"
"2020-09-23","1690"
"2020-09-24","1778"
"2020-09-25","1514"
"2020-09-26","1805"
"2020-09-27","1655"
"2020-09-28","1452"
"2020-09-29","2929"
"2020-09-30","1864"
"2020-10-01","2137"
"2020-10-02","2158"
"2020-10-03","1490"
"2020-10-04","2707"
"2020-10-05","1712"
"2020-10-06","1566"
"2020-10-07","2158"
"2020-10-08","2319"
"2020-10-09","1828"
"2020-10-10","1474"
"2020-10-11","1803"
"2020-10-12","1214"
"2020-10-13","4281"
"2020-10-14","1342"
"2020-10-15","1332"
"2020-10-16","1103"
"2020-10-17","1035"
"2020-10-18","1173"
"2020-10-19","1074"
"2020-10-20","1175"
"2020-10-21","1130"
"2020-10-22","1050"
"2020-10-23","1149"
"2020-10-24","1032"
"2020-10-25","783"
"2020-10-26","863"
"2020-10-27","892"
"2020-10-28","1152"
"2020-10-29","1626"
"2020-10-30","1458"
"2020-10-31","918"
"2020-11-01","863"
"2020-11-02","763"
"2020-11-03","1027"
"2020-11-04","1208"
"2020-11-05","1517"
"2020-11-06","1526"
"2020-11-07","2996"
"2020-11-08","1344"
"2020-11-09","1274"
"2020-11-10","2027"
"2020-11-11","1696"
"2020-11-12","1223"
"2020-11-13","1287"
"2020-11-14","990"
"2020-11-15","1141"
"2020-11-16","1259"
"2020-11-17","1943"
"2020-11-18","2205"
"2020-11-19","2973"
"2020-11-20","2502"
"2020-11-21","2341"
"2020-11-22","2173"
"2020-11-23","1606"
"2020-11-24","1682"
"2020-11-25","1407"
"2020-11-26","1650"
"2020-11-27","1527"
"2020-11-28","1207"
"2020-11-29","1086"
