"Date","Addresses with balance greater than $10"
"2020-07-17","0"
"2020-07-18","0"
"2020-07-19","0"
"2020-07-20","0"
"2020-07-21","0"
"2020-07-22","0"
"2020-07-23","0"
"2020-07-24","0"
"2020-07-25","3033"
"2020-07-26","3229"
"2020-07-27","3269"
"2020-07-28","3351"
"2020-07-29","3462"
"2020-07-30","3343"
"2020-07-31","3253"
"2020-08-01","2951"
"2020-08-02","2885"
"2020-08-03","2835"
"2020-08-04","2811"
"2020-08-05","2799"
"2020-08-06","2863"
"2020-08-07","2886"
"2020-08-08","2921"
"2020-08-09","2890"
"2020-08-10","3412"
"2020-08-11","2946"
"2020-08-12","2730"
"2020-08-13","3199"
"2020-08-14","3002"
"2020-08-15","3031"
"2020-08-16","3098"
"2020-08-17","3309"
"2020-08-18","3549"
"2020-08-19","3710"
"2020-08-20","3900"
"2020-08-21","3994"
"2020-08-22","4063"
"2020-08-23","4051"
"2020-08-24","4145"
"2020-08-25","4173"
"2020-08-26","4273"
"2020-08-27","4377"
"2020-08-28","4658"
"2020-08-29","5289"
"2020-08-30","6118"
"2020-08-31","6581"
"2020-09-01","6768"
"2020-09-02","6924"
"2020-09-03","7034"
"2020-09-04","7082"
"2020-09-05","7202"
"2020-09-06","7246"
"2020-09-07","7265"
"2020-09-08","7266"
"2020-09-09","7513"
"2020-09-10","7913"
"2020-09-11","8103"
"2020-09-12","8471"
"2020-09-13","8658"
"2020-09-14","8880"
"2020-09-15","9010"
"2020-09-16","9154"
"2020-09-17","9267"
"2020-09-18","9388"
"2020-09-19","9452"
"2020-09-20","9462"
"2020-09-21","9559"
"2020-09-22","9715"
"2020-09-23","9687"
"2020-09-24","9787"
"2020-09-25","9843"
"2020-09-26","10020"
"2020-09-27","10031"
"2020-09-28","10159"
"2020-09-29","10304"
"2020-09-30","10391"
"2020-10-01","10205"
"2020-10-02","10199"
"2020-10-03","10137"
"2020-10-04","10346"
"2020-10-05","10392"
"2020-10-06","10353"
"2020-10-07","10362"
"2020-10-08","10606"
"2020-10-09","10825"
"2020-10-10","10730"
"2020-10-11","10750"
"2020-10-12","10696"
"2020-10-13","7419"
"2020-10-14","7383"
"2020-10-15","7360"
"2020-10-16","7362"
"2020-10-17","7345"
"2020-10-18","7420"
"2020-10-19","7349"
"2020-10-20","7295"
"2020-10-21","7283"
"2020-10-22","7324"
"2020-10-23","7426"
"2020-10-24","7416"
"2020-10-25","7399"
"2020-10-26","7394"
"2020-10-27","7369"
"2020-10-28","7235"
"2020-10-29","7296"
"2020-10-30","7350"
"2020-10-31","7306"
"2020-11-01","7320"
"2020-11-02","7263"
"2020-11-03","7183"
"2020-11-04","7127"
"2020-11-05","7213"
"2020-11-06","7679"
"2020-11-07","7984"
"2020-11-08","8048"
"2020-11-09","8083"
"2020-11-10","8432"
"2020-11-11","8435"
"2020-11-12","8389"
"2020-11-13","8591"
"2020-11-14","8616"
"2020-11-15","8678"
"2020-11-16","8805"
"2020-11-17","9269"
"2020-11-18","9561"
"2020-11-19","9949"
"2020-11-20","10004"
"2020-11-21","9685"
"2020-11-22","9665"
"2020-11-23","9693"
"2020-11-24","9785"
"2020-11-25","9770"
"2020-11-26","9996"
"2020-11-27","10081"
"2020-11-28","10155"
"2020-11-29","10268"
"2020-11-30","10439"
"2020-12-01","10560"
"2020-12-02","10694"
"2020-12-03","10699"
"2020-12-04","10497"
"2020-12-05","10719"
"2020-12-06","10702"
"2020-12-07","10673"
"2020-12-08","10533"
"2020-12-09","10611"
"2020-12-10","10550"
"2020-12-11","10445"
"2020-12-12","10641"
"2020-12-13","10738"
"2020-12-14","10760"
"2020-12-15","10714"
"2020-12-16","10942"
"2020-12-17","11087"
"2020-12-18","11420"
"2020-12-19","11478"
"2020-12-20","11464"
"2020-12-21","11412"
"2020-12-22","11487"
"2020-12-23","11410"
"2020-12-24","11802"
"2020-12-25","12006"
"2020-12-26","12048"
"2020-12-27","12188"
"2020-12-28","12243"
"2020-12-29","12385"
"2020-12-30","12254"
"2020-12-31","12407"
"2021-01-01","12425"
"2021-01-02","12487"
"2021-01-03","12900"
"2021-01-04","13141"
"2021-01-05","13339"
"2021-01-06","13577"
"2021-01-07","14323"
"2021-01-08","14687"
"2021-01-09","15019"
"2021-01-10","15020"
"2021-01-11","14876"
"2021-01-12","14931"
"2021-01-13","15377"
"2021-01-14","15437"
"2021-01-15","15431"
"2021-01-16","15960"
"2021-01-17","16274"
"2021-01-18","16774"
