"Date","Transaction Volume"
"2020-07-17","0"
"2020-07-18","0"
"2020-07-19","0"
"2020-07-20","0"
"2020-07-21","0"
"2020-07-22","0"
"2020-07-23","0"
"2020-07-24","0"
"2020-07-25","158432331.46716183"
"2020-07-26","80288791.17403977"
"2020-07-27","37601573.66376547"
"2020-07-28","29837967.21398289"
"2020-07-29","30322723.48552419"
"2020-07-30","40564842.35733027"
"2020-07-31","34128340.90742285"
"2020-08-01","52369386.41186458"
"2020-08-02","24497686.436096974"
"2020-08-03","19224075.50949056"
"2020-08-04","21921838.695639726"
"2020-08-05","44692137.23602703"
"2020-08-06","18239615.173827"
"2020-08-07","29463489.181706157"
"2020-08-08","18797497.555488523"
"2020-08-09","17170108.32561077"
"2020-08-10","68595393.62499835"
"2020-08-11","148758204.1580763"
"2020-08-12","149985727.7790967"
"2020-08-13","180590202.63263646"
"2020-08-14","81514561.45152692"
"2020-08-15","40893328.27674268"
"2020-08-16","43280114.86769304"
"2020-08-17","104384769.22297396"
"2020-08-18","161863848.52824363"
"2020-08-19","302264116.15204906"
"2020-08-20","546763270.8432496"
"2020-08-21","191908834.27400404"
"2020-08-22","172364214.0163223"
"2020-08-23","134305746.09807107"
"2020-08-24","120788300.98575771"
"2020-08-25","108439551.75181718"
"2020-08-26","103171163.834044"
"2020-08-27","184864888.0741385"
"2020-08-28","497796455.19324285"
"2020-08-29","312048452.5716664"
"2020-08-30","478621173.38563484"
"2020-08-31","318327803.00315624"
"2020-09-01","339609530.6398033"
"2020-09-02","406772383.4824399"
"2020-09-03","395589592.0122041"
"2020-09-04","274206963.3761538"
"2020-09-05","361084706.65276223"
"2020-09-06","278159853.34235406"
"2020-09-07","97271917.88040236"
"2020-09-08","149912920.42941636"
"2020-09-09","473146457.0935842"
"2020-09-10","465921540.8603717"
"2020-09-11","591561996.9551795"
"2020-09-12","479148300.0385796"
"2020-09-13","409610291.39969826"
"2020-09-14","372491056.48905486"
"2020-09-15","386559637.531578"
"2020-09-16","458948509.3545624"
"2020-09-17","453389507.2327679"
"2020-09-18","430609727.6988566"
"2020-09-19","255463971.54979238"
"2020-09-20","218594050.41259465"
"2020-09-21","283559112.7693832"
"2020-09-22","127759883.78464109"
"2020-09-23","115875280.92119735"
"2020-09-24","232540339.39559433"
"2020-09-25","120401470.2897431"
"2020-09-26","142482484.69475827"
"2020-09-27","111565369.00376862"
"2020-09-28","92351496.15090327"
"2020-09-29","369605490.6918487"
"2020-09-30","211463508.74983963"
"2020-10-01","195816093.70008492"
"2020-10-02","208379973.66733286"
"2020-10-03","113005243.48926781"
"2020-10-04","271495536.75356525"
"2020-10-05","84230494.16138308"
"2020-10-06","159827946.6860391"
"2020-10-07","218336841.93500522"
"2020-10-08","340995326.35957396"
"2020-10-09","126705861.97609858"
"2020-10-10","82598266.75804977"
"2020-10-11","107244907.13306862"
"2020-10-12","111982551.38895155"
"2020-10-13","87519263.53692791"
"2020-10-14","111695293.92672011"
"2020-10-15","53495164.1786078"
"2020-10-16","71341138.3009909"
"2020-10-17","68113802.09008403"
"2020-10-18","64918444.38072388"
"2020-10-19","57041199.171030425"
"2020-10-20","50851091.08994593"
"2020-10-21","77605215.66712981"
"2020-10-22","45046432.81468477"
"2020-10-23","113068593.80526617"
"2020-10-24","26254085.755288262"
"2020-10-25","31310249.34587209"
"2020-10-26","68048814.4751332"
"2020-10-27","37377430.40637849"
"2020-10-28","94606944.8657813"
"2020-10-29","70425890.71002258"
"2020-10-30","89014031.17575593"
"2020-10-31","22078316.51618337"
"2020-11-01","31269480.828618173"
"2020-11-02","28887858.202612218"
"2020-11-03","57350555.178165734"
"2020-11-04","59002199.68888364"
"2020-11-05","135873825.94506752"
"2020-11-06","90527355.79139087"
"2020-11-07","236396032.8655788"
"2020-11-08","49147275.416867115"
"2020-11-09","73678179.28773849"
"2020-11-10","189746326.50373068"
"2020-11-11","89973560.40870206"
"2020-11-12","125953540.04474978"
"2020-11-13","68799024.88599265"
"2020-11-14","49280784.176689155"
"2020-11-15","94650362.42228027"
"2020-11-16","65227780.574805826"
"2020-11-17","130871337.28423071"
"2020-11-18","181162943.48237926"
"2020-11-19","276732784.107539"
"2020-11-20","160070471.18954045"
"2020-11-21","142737278.78460482"
"2020-11-22","230643217.2596999"
"2020-11-23","114518782.81079842"
"2020-11-24","172267420.8109769"
"2020-11-25","78509610.91173853"
"2020-11-26","212260663.86109427"
"2020-11-27","83461678.65519762"
