"Date","Active Addresses Count"
"2020-01-01","441"
"2020-01-02","482"
"2020-01-03","540"
"2020-01-04","459"
"2020-01-05","426"
"2020-01-06","469"
"2020-01-07","565"
"2020-01-08","824"
"2020-01-09","944"
"2020-01-10","962"
"2020-01-11","688"
"2020-01-12","751"
"2020-01-13","650"
"2020-01-14","933"
"2020-01-15","963"
"2020-01-16","767"
"2020-01-17","982"
"2020-01-18","689"
"2020-01-19","699"
"2020-01-20","657"
"2020-01-21","644"
"2020-01-22","541"
"2020-01-23","533"
"2020-01-24","564"
"2020-01-25","491"
"2020-01-26","490"
"2020-01-27","704"
"2020-01-28","1207"
"2020-01-29","691"
"2020-01-30","718"
"2020-01-31","648"
"2020-02-01","643"
"2020-02-02","787"
"2020-02-03","601"
"2020-02-04","948"
"2020-02-05","979"
"2020-02-06","1078"
"2020-02-07","1162"
"2020-02-08","931"
"2020-02-09","1077"
"2020-02-10","941"
"2020-02-11","1209"
"2020-02-12","1336"
"2020-02-13","1293"
"2020-02-14","1406"
"2020-02-15","1111"
"2020-02-16","1481"
"2020-02-17","993"
"2020-02-18","934"
"2020-02-19","850"
"2020-02-20","795"
"2020-02-21","812"
"2020-02-22","675"
"2020-02-23","669"
"2020-02-24","726"
"2020-02-25","788"
"2020-02-26","832"
"2020-02-27","840"
"2020-02-28","783"
"2020-02-29","584"
"2020-03-01","686"
"2020-03-02","794"
"2020-03-03","672"
"2020-03-04","679"
"2020-03-05","847"
"2020-03-06","768"
"2020-03-07","846"
"2020-03-08","709"
"2020-03-09","798"
"2020-03-10","840"
"2020-03-11","696"
"2020-03-12","1045"
"2020-03-13","1185"
"2020-03-14","664"
"2020-03-15","697"
"2020-03-16","795"
"2020-03-17","1309"
"2020-03-18","739"
"2020-03-19","997"
"2020-03-20","1064"
"2020-03-21","720"
"2020-03-22","741"
"2020-03-23","654"
"2020-03-24","754"
"2020-03-25","801"
"2020-03-26","935"
"2020-03-27","803"
"2020-03-28","660"
"2020-03-29","646"
"2020-03-30","631"
"2020-03-31","721"
"2020-04-01","594"
"2020-04-02","682"
"2020-04-03","748"
"2020-04-04","620"
"2020-04-05","509"
"2020-04-06","805"
"2020-04-07","768"
"2020-04-08","975"
"2020-04-09","783"
"2020-04-10","813"
"2020-04-11","657"
"2020-04-12","692"
"2020-04-13","665"
"2020-04-14","618"
"2020-04-15","686"
"2020-04-16","925"
"2020-04-17","723"
"2020-04-18","711"
"2020-04-19","730"
"2020-04-20","658"
"2020-04-21","732"
"2020-04-22","737"
"2020-04-23","782"
"2020-04-24","893"
"2020-04-25","821"
"2020-04-26","1008"
"2020-04-27","1181"
"2020-04-28","934"
"2020-04-29","1178"
"2020-04-30","1167"
"2020-05-01","901"
"2020-05-02","866"
"2020-05-03","897"
"2020-05-04","902"
"2020-05-05","876"
"2020-05-06","1229"
"2020-05-07","3631"
"2020-05-08","6625"
"2020-05-09","4535"
"2020-05-10","3939"
"2020-05-11","3089"
"2020-05-12","2676"
"2020-05-13","2160"
"2020-05-14","1923"
"2020-05-15","2427"
"2020-05-16","2052"
"2020-05-17","1599"
"2020-05-18","1461"
"2020-05-19","1507"
"2020-05-20","1468"
"2020-05-21","1401"
"2020-05-22","1546"
"2020-05-23","1454"
"2020-05-24","1210"
"2020-05-25","1142"
"2020-05-26","1450"
"2020-05-27","1249"
"2020-05-28","1149"
"2020-05-29","1242"
"2020-05-30","1283"
"2020-05-31","1193"
"2020-06-01","1148"
"2020-06-02","1253"
"2020-06-03","1081"
"2020-06-04","1083"
"2020-06-05","1016"
"2020-06-06","1033"
"2020-06-07","1031"
"2020-06-08","1011"
"2020-06-09","1684"
"2020-06-10","3152"
"2020-06-11","1718"
"2020-06-12","1262"
"2020-06-13","1279"
"2020-06-14","1305"
"2020-06-15","1153"
"2020-06-16","1053"
"2020-06-17","1053"
"2020-06-18","983"
"2020-06-19","1061"
"2020-06-20","1558"
"2020-06-21","1926"
"2020-06-22","1943"
"2020-06-23","1651"
"2020-06-24","1465"
"2020-06-25","1121"
"2020-06-26","1481"
"2020-06-27","1787"
"2020-06-28","1123"
"2020-06-29","995"
"2020-06-30","1034"
"2020-07-01","984"
"2020-07-02","1252"
"2020-07-03","3876"
"2020-07-04","3259"
"2020-07-05","1392"
"2020-07-06","1712"
"2020-07-07","1579"
"2020-07-08","2359"
"2020-07-09","1582"
"2020-07-10","1220"
"2020-07-11","1534"
"2020-07-12","1369"
"2020-07-13","1538"
"2020-07-14","1408"
"2020-07-15","1296"
"2020-07-16","1222"
"2020-07-17","1236"
"2020-07-18","1521"
"2020-07-19","1247"
"2020-07-20","1181"
"2020-07-21","1088"
"2020-07-22","1062"
"2020-07-23","1225"
"2020-07-24","1042"
"2020-07-25","1274"
"2020-07-26","1306"
"2020-07-27","1490"
"2020-07-28","1262"
"2020-07-29","1301"
"2020-07-30","1104"
"2020-07-31","1130"
"2020-08-01","1390"
"2020-08-02","1278"
"2020-08-03","1228"
"2020-08-04","1468"
"2020-08-05","1336"
"2020-08-06","1262"
"2020-08-07","1394"
"2020-08-08","1482"
"2020-08-09","1664"
"2020-08-10","2041"
"2020-08-11","1414"
"2020-08-12","1300"
"2020-08-13","1474"
"2020-08-14","1668"
"2020-08-15","2404"
"2020-08-16","2029"
"2020-08-17","2262"
"2020-08-18","1518"
"2020-08-19","1302"
"2020-08-20","1767"
"2020-08-21","5130"
"2020-08-22","2564"
"2020-08-23","1891"
"2020-08-24","1587"
"2020-08-25","1454"
"2020-08-26","1344"
"2020-08-27","1166"
"2020-08-28","1190"
"2020-08-29","1309"
"2020-08-30","1244"
"2020-08-31","1151"
"2020-09-01","1132"
"2020-09-02","1113"
"2020-09-03","922"
"2020-09-04","1091"
"2020-09-05","949"
"2020-09-06","955"
"2020-09-07","842"
"2020-09-08","822"
"2020-09-09","738"
"2020-09-10","731"
"2020-09-11","1006"
"2020-09-12","981"
"2020-09-13","850"
"2020-09-14","736"
"2020-09-15","756"
"2020-09-16","762"
"2020-09-17","620"
"2020-09-18","748"
"2020-09-19","755"
"2020-09-20","766"
"2020-09-21","745"
"2020-09-22","623"
"2020-09-23","673"
"2020-09-24","726"
"2020-09-25","750"
"2020-09-26","887"
"2020-09-27","681"
"2020-09-28","802"
"2020-09-29","621"
"2020-09-30","612"
"2020-10-01","647"
"2020-10-02","716"
"2020-10-03","689"
"2020-10-04","599"
"2020-10-05","664"
"2020-10-06","654"
"2020-10-07","631"
"2020-10-08","652"
"2020-10-09","621"
"2020-10-10","820"
"2020-10-11","745"
"2020-10-12","670"
"2020-10-13","793"
"2020-10-14","835"
"2020-10-15","668"
"2020-10-16","847"
"2020-10-17","773"
"2020-10-18","758"
"2020-10-19","629"
"2020-10-20","795"
"2020-10-21","726"
"2020-10-22","829"
"2020-10-23","643"
"2020-10-24","790"
"2020-10-25","765"
"2020-10-26","689"
"2020-10-27","740"
"2020-10-28","744"
"2020-10-29","671"
"2020-10-30","650"
"2020-10-31","753"
"2020-11-01","700"
"2020-11-02","799"
"2020-11-03","682"
"2020-11-04","648"
"2020-11-05","690"
"2020-11-06","916"
"2020-11-07","815"
"2020-11-08","846"
"2020-11-09","735"
"2020-11-10","1592"
"2020-11-11","830"
"2020-11-12","702"
"2020-11-13","858"
"2020-11-14","832"
"2020-11-15","829"
"2020-11-16","853"
"2020-11-17","913"
"2020-11-18","876"
"2020-11-19","809"
"2020-11-20","929"
"2020-11-21","1254"
"2020-11-22","1127"
"2020-11-23","1334"
"2020-11-24","1779"
"2020-11-25","1813"
"2020-11-26","1308"
"2020-11-27","982"
"2020-11-28","1089"
"2020-11-29","1070"
"2020-11-30","1059"
"2020-12-01","1128"
"2020-12-02","2059"
"2020-12-03","1089"
"2020-12-04","924"
"2020-12-05","900"
"2020-12-06","1003"
"2020-12-07","867"
"2020-12-08","777"
"2020-12-09","946"
"2020-12-10","736"
"2020-12-11","717"
"2020-12-12","2469"
"2020-12-13","892"
"2020-12-14","809"
"2020-12-15","788"
"2020-12-16","836"
"2020-12-17","1069"
"2020-12-18","957"
"2020-12-19","1191"
"2020-12-20","1015"
"2020-12-21","753"
"2020-12-22","806"
"2020-12-23","976"
"2020-12-24","1033"
"2020-12-25","1920"
"2020-12-26","980"
"2020-12-27","2454"
"2020-12-28","1199"
"2020-12-29","1221"
"2020-12-30","1239"
"2020-12-31","1080"
"2021-01-01","1083"
"2021-01-02","1358"
"2021-01-03","1525"
"2021-01-04","1403"
"2021-01-05","1658"
"2021-01-06","1811"
"2021-01-07","1850"
"2021-01-08","1726"
"2021-01-09","2201"
"2021-01-10","2106"
"2021-01-11","1283"
"2021-01-12","1189"
"2021-01-13","1587"
"2021-01-14","1465"
"2021-01-15","1296"
"2021-01-16","1795"
"2021-01-17","1715"
"2021-01-18","1472"
"2021-01-19","1468"
"2021-01-20","1291"
"2021-01-21","1054"
"2021-01-22","992"
"2021-01-23","1123"
"2021-01-24","1283"
"2021-01-25","1096"
"2021-01-26","961"
"2021-01-27","1327"
"2021-01-28","1805"
"2021-01-29","1800"
"2021-01-30","1752"
"2021-01-31","2478"
"2021-02-01","1662"
"2021-02-02","1476"
"2021-02-03","1648"
"2021-02-04","3196"
"2021-02-05","8748"
"2021-02-06","5062"
"2021-02-07","4576"
"2021-02-08","3107"
"2021-02-09","4250"
"2021-02-10","4960"
"2021-02-11","2915"
"2021-02-12","3807"
"2021-02-13","3398"
"2021-02-14","2804"
"2021-02-15","1783"
"2021-02-16","3294"
"2021-02-17","1956"
"2021-02-18","2024"
"2021-02-19","2887"
"2021-02-20","3472"
"2021-02-21","2184"
"2021-02-22","2343"
"2021-02-23","2526"
"2021-02-24","2036"
"2021-02-25","2264"
"2021-02-26","1558"
"2021-02-27","1529"
"2021-02-28","1552"
"2021-03-01","1431"
"2021-03-02","1391"
"2021-03-03","1572"
"2021-03-04","1772"
"2021-03-05","1808"
"2021-03-06","1454"
"2021-03-07","1238"
"2021-03-08","1995"
"2021-03-09","1423"
"2021-03-10","1511"
"2021-03-11","1098"
"2021-03-12","1116"
"2021-03-13","1333"
"2021-03-14","1324"
"2021-03-15","1373"
"2021-03-16","1195"
"2021-03-17","1133"
"2021-03-18","1608"
"2021-03-19","1414"
"2021-03-20","1263"
"2021-03-21","1178"
"2021-03-22","1000"
"2021-03-23","1032"
"2021-03-24","1131"
"2021-03-25","976"
"2021-03-26","866"
"2021-03-27","917"
"2021-03-28","1062"
"2021-03-29","1337"
"2021-03-30","1869"
"2021-03-31","1753"
"2021-04-01","1421"
"2021-04-02","1437"
"2021-04-03","1351"
"2021-04-04","1336"
"2021-04-05","1317"
"2021-04-06","1541"
"2021-04-07","1241"
"2021-04-08","1150"
"2021-04-09","2129"
"2021-04-10","2091"
"2021-04-11","1816"
"2021-04-12","1434"
"2021-04-13","2028"
"2021-04-14","1736"
"2021-04-15","1254"
"2021-04-16","1735"
"2021-04-17","1653"
"2021-04-18","1588"
"2021-04-19","1756"
"2021-04-20","1444"
"2021-04-21","1366"
"2021-04-22","1360"
"2021-04-23","1468"
"2021-04-24","1802"
"2021-04-25","1314"
"2021-04-26","1276"
"2021-04-27","1773"
"2021-04-28","1637"
"2021-04-29","2129"
"2021-04-30","1315"
"2021-05-01","1840"
"2021-05-02","1293"
"2021-05-03","1356"
"2021-05-04","1284"
"2021-05-05","1248"
"2021-05-06","1360"
"2021-05-07","1579"
"2021-05-08","1158"
"2021-05-09","1185"
"2021-05-10","1074"
"2021-05-11","894"
"2021-05-12","857"
"2021-05-13","1074"
"2021-05-14","957"
"2021-05-15","943"
"2021-05-16","931"
"2021-05-17","976"
"2021-05-18","1042"
"2021-05-19","1097"
"2021-05-20","1011"
"2021-05-21","931"
"2021-05-22","897"
"2021-05-23","919"
"2021-05-24","1087"
"2021-05-25","840"
"2021-05-26","1116"
"2021-05-27","1051"
"2021-05-28","771"
"2021-05-29","1011"
"2021-05-30","1043"
"2021-05-31","753"
"2021-06-01","758"
"2021-06-02","1000"
"2021-06-03","961"
"2021-06-04","908"
"2021-06-05","1253"
"2021-06-06","989"
"2021-06-07","721"
"2021-06-08","820"
"2021-06-09","751"
"2021-06-10","649"
"2021-06-11","581"
"2021-06-12","572"
"2021-06-13","992"
"2021-06-14","617"
"2021-06-15","720"
"2021-06-16","532"
"2021-06-17","681"
"2021-06-18","553"
"2021-06-19","455"
"2021-06-20","519"
"2021-06-21","590"
"2021-06-22","761"
"2021-06-23","642"
"2021-06-24","548"
"2021-06-25","654"
"2021-06-26","685"
"2021-06-27","491"
"2021-06-28","741"
"2021-06-29","972"
"2021-06-30","538"
"2021-07-01","800"
"2021-07-02","583"
"2021-07-03","672"
"2021-07-04","996"
"2021-07-05","515"
"2021-07-06","580"
"2021-07-07","581"
"2021-07-08","597"
"2021-07-09","824"
"2021-07-10","548"
"2021-07-11","495"
"2021-07-12","518"
"2021-07-13","437"
"2021-07-14","467"
"2021-07-15","434"
"2021-07-16","432"
"2021-07-17","386"
"2021-07-18","352"
"2021-07-19","515"
"2021-07-20","513"
"2021-07-21","496"
"2021-07-22","469"
"2021-07-23","411"
"2021-07-24","382"
"2021-07-25","355"
"2021-07-26","477"
"2021-07-27","453"
"2021-07-28","418"
"2021-07-29","540"
"2021-07-30","492"
"2021-07-31","599"
"2021-08-01","477"
"2021-08-02","453"
"2021-08-03","466"
"2021-08-04","486"
"2021-08-05","466"
"2021-08-06","439"
"2021-08-07","471"
"2021-08-08","661"
"2021-08-09","504"
"2021-08-10","466"
"2021-08-11","570"
"2021-08-12","497"
"2021-08-13","589"
"2021-08-14","599"
"2021-08-15","472"
"2021-08-16","532"
