"Date","Addresses with balance greater than $10"
"2020-01-01","44803"
"2020-01-02","44387"
"2020-01-03","44750"
"2020-01-04","45047"
"2020-01-05","45069"
"2020-01-06","45595"
"2020-01-07","45257"
"2020-01-08","46896"
"2020-01-09","46510"
"2020-01-10","46390"
"2020-01-11","46530"
"2020-01-12","47085"
"2020-01-13","46719"
"2020-01-14","47845"
"2020-01-15","48276"
"2020-01-16","48327"
"2020-01-17","48717"
"2020-01-18","48268"
"2020-01-19","47784"
"2020-01-20","47795"
"2020-01-21","48153"
"2020-01-22","48178"
"2020-01-23","47646"
"2020-01-24","47598"
"2020-01-25","47516"
"2020-01-26","47734"
"2020-01-27","47815"
"2020-01-28","47301"
"2020-01-29","47129"
"2020-01-30","47436"
"2020-01-31","47254"
"2020-02-01","47411"
"2020-02-02","47765"
"2020-02-03","47610"
"2020-02-04","48372"
"2020-02-05","48574"
"2020-02-06","49156"
"2020-02-07","49238"
"2020-02-08","49107"
"2020-02-09","49846"
"2020-02-10","49462"
"2020-02-11","49907"
"2020-02-12","50066"
"2020-02-13","50322"
"2020-02-14","51199"
"2020-02-15","50390"
"2020-02-16","49516"
"2020-02-17","49356"
"2020-02-18","49809"
"2020-02-19","49108"
"2020-02-20","48993"
"2020-02-21","49437"
"2020-02-22","49129"
"2020-02-23","49441"
"2020-02-24","48802"
"2020-02-25","48468"
"2020-02-26","47678"
"2020-02-27","47958"
"2020-02-28","47847"
"2020-02-29","47507"
"2020-03-01","47530"
"2020-03-02","48306"
"2020-03-03","48482"
"2020-03-04","48814"
"2020-03-05","49218"
"2020-03-06","49399"
"2020-03-07","48945"
"2020-03-08","47635"
"2020-03-09","47186"
"2020-03-10","48070"
"2020-03-11","47594"
"2020-03-12","43355"
"2020-03-13","43985"
"2020-03-14","43362"
"2020-03-15","43429"
"2020-03-16","42559"
"2020-03-17","42785"
"2020-03-18","42839"
"2020-03-19","43599"
"2020-03-20","43087"
"2020-03-21","43288"
"2020-03-22","42726"
"2020-03-23","43261"
"2020-03-24","43436"
"2020-03-25","43549"
"2020-03-26","43564"
"2020-03-27","43364"
"2020-03-28","43319"
"2020-03-29","43151"
"2020-03-30","43470"
"2020-03-31","43555"
"2020-04-01","43563"
"2020-04-02","43686"
"2020-04-03","43805"
"2020-04-04","43877"
"2020-04-05","43855"
"2020-04-06","44456"
"2020-04-07","44559"
"2020-04-08","44791"
"2020-04-09","45472"
"2020-04-10","44428"
"2020-04-11","44634"
"2020-04-12","44595"
"2020-04-13","44493"
"2020-04-14","44682"
"2020-04-15","44441"
"2020-04-16","44922"
"2020-04-17","44945"
"2020-04-18","45341"
"2020-04-19","44949"
"2020-04-20","44815"
"2020-04-21","44845"
"2020-04-22","45006"
"2020-04-23","45332"
"2020-04-24","45944"
"2020-04-25","46009"
"2020-04-26","46809"
"2020-04-27","47823"
"2020-04-28","47805"
"2020-04-29","48328"
"2020-04-30","47290"
"2020-05-01","48563"
"2020-05-02","48676"
"2020-05-03","48356"
"2020-05-04","48325"
"2020-05-05","48491"
"2020-05-06","49037"
"2020-05-07","53224"
"2020-05-08","56154"
"2020-05-09","57385"
"2020-05-10","57008"
"2020-05-11","56519"
"2020-05-12","57129"
"2020-05-13","57241"
"2020-05-14","57254"
"2020-05-15","58513"
"2020-05-16","58760"
"2020-05-17","58730"
"2020-05-18","58878"
"2020-05-19","58744"
"2020-05-20","58786"
"2020-05-21","57953"
"2020-05-22","58558"
"2020-05-23","58386"
"2020-05-24","57944"
"2020-05-25","58421"
"2020-05-26","59457"
"2020-05-27","59259"
"2020-05-28","59105"
"2020-05-29","59182"
"2020-05-30","59544"
"2020-05-31","58897"
"2020-06-01","59633"
"2020-06-02","59336"
"2020-06-03","59526"
"2020-06-04","59555"
"2020-06-05","59506"
"2020-06-06","59687"
"2020-06-07","59678"
"2020-06-08","59697"
"2020-06-09","60635"
"2020-06-10","61421"
"2020-06-11","60450"
"2020-06-12","61124"
"2020-06-13","61428"
"2020-06-14","61294"
"2020-06-15","61139"
"2020-06-16","61145"
"2020-06-17","61075"
"2020-06-18","60673"
"2020-06-19","60733"
"2020-06-20","61414"
"2020-06-21","61263"
"2020-06-22","61390"
"2020-06-23","61605"
"2020-06-24","61161"
"2020-06-25","60972"
"2020-06-26","61404"
"2020-06-27","60856"
"2020-06-28","60944"
"2020-06-29","61557"
"2020-06-30","61350"
"2020-07-01","61471"
"2020-07-02","61690"
"2020-07-03","62606"
"2020-07-04","62737"
"2020-07-05","63297"
"2020-07-06","63091"
"2020-07-07","63479"
"2020-07-08","64370"
"2020-07-09","64103"
"2020-07-10","63836"
"2020-07-11","64344"
"2020-07-12","64228"
"2020-07-13","63927"
"2020-07-14","63605"
"2020-07-15","63558"
"2020-07-16","63805"
"2020-07-17","63820"
"2020-07-18","64500"
"2020-07-19","64658"
"2020-07-20","64126"
"2020-07-21","64237"
"2020-07-22","64268"
"2020-07-23","64239"
"2020-07-24","64127"
"2020-07-25","64366"
"2020-07-26","64280"
"2020-07-27","63944"
"2020-07-28","64337"
"2020-07-29","64505"
"2020-07-30","64633"
"2020-07-31","64528"
"2020-08-01","65169"
"2020-08-02","64654"
"2020-08-03","64779"
"2020-08-04","65160"
"2020-08-05","65266"
"2020-08-06","65776"
"2020-08-07","65322"
"2020-08-08","66088"
"2020-08-09","66537"
"2020-08-10","67519"
"2020-08-11","66956"
"2020-08-12","67503"
"2020-08-13","67290"
"2020-08-14","69310"
"2020-08-15","68500"
"2020-08-16","70627"
"2020-08-17","70290"
"2020-08-18","70480"
"2020-08-19","69867"
"2020-08-20","71269"
"2020-08-21","72641"
"2020-08-22","73011"
"2020-08-23","73045"
"2020-08-24","73217"
"2020-08-25","72474"
"2020-08-26","72668"
"2020-08-27","72207"
"2020-08-28","72602"
"2020-08-29","72841"
"2020-08-30","72930"
"2020-08-31","72757"
"2020-09-01","72803"
"2020-09-02","72356"
"2020-09-03","70335"
"2020-09-04","71850"
"2020-09-05","69806"
"2020-09-06","70387"
"2020-09-07","70374"
"2020-09-08","69875"
"2020-09-09","70475"
"2020-09-10","70720"
"2020-09-11","72276"
"2020-09-12","72071"
"2020-09-13","71150"
"2020-09-14","70948"
"2020-09-15","70605"
"2020-09-16","70171"
"2020-09-17","70464"
"2020-09-18","70059"
"2020-09-19","70353"
"2020-09-20","69507"
"2020-09-21","68952"
"2020-09-22","69232"
"2020-09-23","68267"
"2020-09-24","69343"
"2020-09-25","69974"
"2020-09-26","69591"
"2020-09-27","69683"
"2020-09-28","70303"
"2020-09-29","70174"
"2020-09-30","70220"
"2020-10-01","69867"
"2020-10-02","69766"
"2020-10-03","69465"
"2020-10-04","69478"
"2020-10-05","69499"
"2020-10-06","68879"
"2020-10-07","69007"
"2020-10-08","69307"
"2020-10-09","69857"
"2020-10-10","69978"
"2020-10-11","69802"
"2020-10-12","69955"
"2020-10-13","70567"
"2020-10-14","69782"
"2020-10-15","69984"
"2020-10-16","69873"
"2020-10-17","69696"
"2020-10-18","69791"
"2020-10-19","69821"
"2020-10-20","69217"
"2020-10-21","69497"
"2020-10-22","69648"
"2020-10-23","69559"
"2020-10-24","69574"
"2020-10-25","69332"
"2020-10-26","69105"
"2020-10-27","69211"
"2020-10-28","68568"
"2020-10-29","68631"
"2020-10-30","68162"
"2020-10-31","68010"
"2020-11-01","68711"
"2020-11-02","68324"
"2020-11-03","68261"
"2020-11-04","67999"
"2020-11-05","69130"
"2020-11-06","69879"
"2020-11-07","69280"
"2020-11-08","69680"
"2020-11-09","69373"
"2020-11-10","69537"
"2020-11-11","69093"
"2020-11-12","68953"
"2020-11-13","69624"
"2020-11-14","69345"
"2020-11-15","69015"
"2020-11-16","69381"
"2020-11-17","69656"
"2020-11-18","69339"
"2020-11-19","69308"
"2020-11-20","69594"
"2020-11-21","70689"
"2020-11-22","70274"
"2020-11-23","71404"
"2020-11-24","72216"
"2020-11-25","72057"
"2020-11-26","71351"
"2020-11-27","71315"
"2020-11-28","71796"
"2020-11-29","71800"
"2020-11-30","72133"
"2020-12-01","71670"
"2020-12-02","71255"
"2020-12-03","71339"
"2020-12-04","70482"
"2020-12-05","70871"
"2020-12-06","70602"
"2020-12-07","70918"
"2020-12-08","70228"
"2020-12-09","70280"
"2020-12-10","70052"
"2020-12-11","69728"
"2020-12-12","69102"
"2020-12-13","69165"
"2020-12-14","69010"
"2020-12-15","69167"
"2020-12-16","69848"
"2020-12-17","69720"
"2020-12-18","69874"
"2020-12-19","69981"
"2020-12-20","69293"
"2020-12-21","68973"
"2020-12-22","68875"
"2020-12-23","67825"
"2020-12-24","68750"
